strategy,regime,trades,win_rate,avg_pnl,total_roi
orb_stocks_in_play_short,bear,13,0.2308,-0.7289,-9.4762
orb_stocks_in_play_short,bull,25,0.4,0.8087,20.2175
orb_stocks_in_play_short,neutral,4,0.5,3.9912,15.9648
pairs_mean_reversion_long,bear,74,0.3108,3.4146,252.6833
pairs_mean_reversion_long,bull,124,0.3145,-0.2529,-31.3631
pairs_mean_reversion_long,neutral,23,0.3043,-0.8672,-19.9449
pairs_mean_reversion_short,bear,19,0.1053,-2.26,-42.9395
pairs_mean_reversion_short,bull,12,0.3333,0.5964,7.1571
parabolic_sar_flip,bear,33,0.3636,2.4429,80.6142
parabolic_sar_flip,bull,32,0.125,-4.8081,-153.8592
parabolic_sar_flip,neutral,8,0.125,-6.4118,-51.2942
pead_long,bear,37,0.2703,1.5974,59.1022
pead_long,bull,57,0.2807,2.1564,122.9142
pead_long,neutral,13,0.3077,-2.7315,-35.5089
pead_short,bear,22,0.2273,-3.0562,-67.2353
pead_short,bull,64,0.3594,0.2148,13.7454
pead_short,neutral,4,0.5,3.7692,15.0768
pivot_r1_breakout,bear,6,0.1667,-3.5457,-21.2743
pivot_r1_breakout,bull,12,0.1667,-5.2677,-63.2127
pivot_s1_bounce,bear,4,0.0,-2.3324,-9.3296
pivot_s1_bounce,bull,13,0.3077,-4.4612,-57.9957
po3_bearish,bear,161,0.2236,-2.8975,-466.5036
po3_bearish,bull,154,0.2727,-0.2479,-38.184
po3_bearish,neutral,38,0.2895,-1.8339,-69.6866
po3_bullish,bear,67,0.3284,-1.2494,-83.7114
po3_bullish,bull,150,0.4267,-0.2178,-32.6762
po3_bullish,neutral,68,0.2794,-3.3721,-229.3033
po3_htf_aligned_long,bear,12,0.25,2.6834,32.2012
po3_htf_aligned_long,bull,23,0.087,-3.4825,-80.0966
po3_htf_aligned_short,bear,8,0.5,0.4903,3.9223
po3_htf_aligned_short,bull,9,0.2222,-3.1695,-28.5255
po3_htf_aligned_short,neutral,20,0.3,-0.7524,-15.0482
ppo_crossover,bear,21,0.381,2.1084,44.2762
ppo_crossover,bull,36,0.2778,-0.8149,-29.3357
ppo_crossover,neutral,4,0.0,-10.6225,-42.49
pre_fomc_long_sleeve,bear,12,0.5,5.2422,62.9064
pre_fomc_long_sleeve,bull,37,0.1892,-4.4245,-163.706
pre_fomc_long_sleeve,neutral,5,0.4,-1.1045,-5.5225
prev_day_high_break,bear,10,0.2,1.4031,14.0312
prev_day_high_break,bull,10,0.1,-6.0784,-60.7838
prev_day_low_bounce,bear,4,0.5,-0.8751,-3.5005
prev_day_low_bounce,bull,4,0.0,-8.6793,-34.717
r1_break_retest,bear,3,0.0,-7.3458,-22.0374
r1_break_retest,bull,11,0.2727,4.2858,47.1442
r1_break_retest,neutral,4,0.0,-14.1176,-56.4702
risk_off_bond_equity_short,bear,18,0.2222,-4.8573,-87.4319
risk_off_bond_equity_short,bull,7,0.4286,0.3711,2.5979
risk_off_bond_equity_short,neutral,4,0.25,-2.7831,-11.1323
roc_burst,bear,5,0.2,-5.0834,-25.4171
roc_burst,bull,12,0.1667,-5.2674,-63.2091
squeeze_breakout,bear,25,0.36,0.1056,2.6391
squeeze_breakout,bull,19,0.1579,-6.3267,-120.2071
squeeze_breakout,neutral,5,0.2,-6.1572,-30.7859
stochrsi_overbought_short,bear,23,0.3478,-0.058,-1.3343
