strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
pead_short,breakeven_plus_trail,90,0.4444,1.9271,3.3897,305.0729,-75.1507,30.7,1.0,45.59,True
xs_momentum_top_decile,earnings_blackout,74,0.527,4.7285,19.5662,1447.8953,-79.1236,132.4,0.7973,51.08,True
cpr_narrow_momentum_short,next_pivot_target,27,0.7037,0.3241,-1.9634,-53.013,-66.7155,4.6,1.0,28.15,True
prev_day_low_bounce,hybrid_50pct_target,9,0.6667,1.3661,1.2203,10.9827,-10.0,61.6,0.8889,52.65,True
pivot_s1_bounce,next_pivot_target,17,0.8824,2.2295,1.4464,24.5896,-10.0,8.6,1.0,80.3,True
htf_aligned_breakout_short,next_pivot_target,65,0.4308,0.3799,-4.1333,-268.6676,-258.1298,13.3,1.0,17.23,True
roc_burst,earnings_blackout,17,0.4706,0.9244,-1.3096,-22.2637,-161.4241,224.1,0.6471,18.82,True
htf_aligned_breakout_long,time_stop_20d,44,0.5909,2.258,7.0583,310.5656,-65.0533,28.1,1.0,53.64,True
break_retest_confluence,next_pivot_target,22,0.9091,3.3498,2.1362,46.9961,-10.0,11.6,1.0,81.36,True
insider_cluster_long,next_pivot_target,12,0.8333,1.0688,0.1176,1.4108,-13.1685,2.5,1.0,45.64,True
inside_bar_breakout,next_pivot_target,11,0.9091,2.7509,1.5917,17.5088,-10.0,11.7,1.0,81.36,True
