strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
macd_fast_crossover,next_pivot_target,57,0.6667,0.7195,-0.9219,-52.551,-60.9769,7.0,0.9825,26.67,False
macd_fast_crossover,hybrid_50pct_target,57,0.5263,1.1185,0.8523,48.5828,-218.7395,91.8,0.9123,24.61,False
macd_fast_crossover,fixed_4r_2r,57,0.3684,1.326,2.0594,117.3871,-137.5935,23.6,0.9825,24.52,False
macd_fast_crossover,class_time_stop,57,0.5088,1.0255,0.1663,9.4763,-123.7658,34.4,1.0,21.12,False
macd_fast_crossover,chandelier_3x,57,0.2982,1.2674,1.3317,75.9053,-160.7073,18.9,0.9649,19.95,False
macd_fast_crossover,trailing_10pct,57,0.3509,1.1029,0.5045,28.7562,-110.2689,34.0,0.9649,17.12,False
macd_fast_crossover,ma_exit_ema9,57,0.3509,1.0945,0.3087,17.5952,-58.8975,9.8,0.9825,16.87,False
macd_fast_crossover,regime_flip,57,0.386,0.7848,-1.5992,-91.157,-187.9029,27.6,1.0,15.44,False
macd_fast_crossover,time_stop_20d,57,0.386,0.7848,-1.5992,-91.157,-187.9029,27.6,1.0,15.44,False
macd_fast_crossover,time_stop_10d,57,0.3684,0.6529,-1.6159,-92.1073,-108.367,14.1,1.0,14.74,False
macd_fast_crossover,trailing_15pct,57,0.3158,1.0635,0.4407,25.1196,-188.7422,52.9,0.8947,14.54,False
macd_fast_crossover,multi_tier_partial,57,0.3509,0.4758,-1.4881,-84.8201,-84.4894,4.6,1.0,14.04,False
macd_fast_crossover,atr_trail_2x,57,0.3509,0.8722,-0.6111,-34.8317,-127.9023,18.2,0.9825,14.04,False
macd_fast_crossover,r_multiple_2r,57,0.2982,0.8764,-0.455,-25.9347,-67.254,6.5,0.9825,11.93,False
macd_fast_crossover,atr_trail_vix_conditional,57,0.2632,0.4376,-1.735,-98.8957,-115.0413,5.5,0.9825,10.53,False
macd_fast_crossover,smc_mitigation_zone,57,0.2456,0.5252,-1.3663,-77.8791,-99.0649,5.0,0.9825,9.82,False
macd_fast_crossover,atr_trail_mae_conditional,57,0.2456,0.5252,-1.3663,-77.8791,-99.0649,5.0,0.9825,9.82,False
macd_fast_crossover,mfe_lockin_trail,57,0.2456,0.3397,-1.9001,-108.3059,-106.2316,4.7,0.9825,9.82,False
macd_fast_crossover,reverse_signal,57,0.2456,0.5252,-1.3663,-77.8791,-99.0649,5.0,0.9825,9.82,False
macd_fast_crossover,atr_trail_1x,57,0.2456,0.5252,-1.3663,-77.8791,-99.0649,5.0,0.9825,9.82,False
macd_fast_crossover,r_multiple_3r,57,0.2281,0.9179,-0.3351,-19.1012,-121.5919,9.2,0.9825,9.12,False
macd_fast_crossover,trailing_5pct,57,0.1404,0.1834,-2.5902,-147.6403,-142.6403,7.3,0.9825,5.62,False
macd_fast_crossover,break_even_at_1r,57,0.1053,0.1357,-2.9905,-170.4595,-168.3852,7.2,0.9825,4.21,False
bollinger_tight,next_pivot_target,86,0.7791,2.1472,2.6326,226.4036,-68.0957,8.6,1.0,61.16,True
bollinger_tight,reverse_signal,86,0.6977,2.0283,5.9631,512.8281,-211.5758,57.1,1.0,57.91,False
bollinger_tight,earnings_blackout,86,0.6047,2.3747,9.6562,830.4357,-346.6955,177.7,0.8605,54.19,False
bollinger_tight,class_time_stop,86,0.593,1.9775,2.1226,182.5408,-48.3559,9.5,1.0,53.04,False
bollinger_tight,breakeven_plus_trail,86,0.5116,2.2765,3.9215,337.2525,-78.1458,33.6,0.9767,50.46,False
bollinger_tight,time_stop_10d,86,0.6163,1.8456,2.4808,213.3446,-64.3736,14.4,1.0,50.02,False
bollinger_tight,regime_flip,86,0.5233,1.6662,3.168,272.4475,-93.9488,28.9,1.0,40.92,False
bollinger_tight,time_stop_20d,86,0.5233,1.6662,3.168,272.4475,-93.9488,28.9,1.0,40.92,False
bollinger_tight,r_multiple_2r,86,0.4419,1.4995,1.8936,162.8488,-61.3098,9.9,1.0,32.66,False
bollinger_tight,hybrid_50pct_target,86,0.5465,0.8032,-1.9331,-166.2437,-471.1803,46.1,0.9535,21.86,False
bollinger_tight,ma_exit_ema9,86,0.4535,0.9852,-0.0202,-1.7383,-33.1452,1.5,1.0,18.14,False
bollinger_tight,r_multiple_3r,86,0.3023,1.1914,0.9068,77.9808,-142.0048,14.4,1.0,17.83,False
bollinger_tight,trailing_10pct,86,0.407,1.0184,0.0651,5.5956,-81.8709,25.0,0.9767,16.83,False
bollinger_tight,multi_tier_partial,86,0.4186,0.7007,-0.81,-69.6567,-65.4102,5.6,1.0,16.74,False
bollinger_tight,atr_trail_2x,86,0.407,0.9067,-0.3971,-34.1549,-94.2221,20.8,1.0,16.28,False
bollinger_tight,trailing_15pct,86,0.3837,0.9983,-0.01,-0.8609,-109.4182,49.5,0.9651,15.35,False
bollinger_tight,fixed_4r_2r,86,0.3721,0.9979,-0.0183,-1.571,-120.4768,37.3,1.0,14.88,False
bollinger_tight,atr_trail_vix_conditional,86,0.3372,0.8881,-0.3358,-28.8774,-68.2012,10.2,1.0,13.49,False
bollinger_tight,mfe_lockin_trail,86,0.2674,0.4967,-1.5171,-130.4684,-123.8969,5.5,1.0,10.7,False
bollinger_tight,trailing_5pct,86,0.2674,0.5841,-1.0571,-90.9146,-96.2628,9.1,1.0,10.7,False
bollinger_tight,smc_mitigation_zone,86,0.2558,0.414,-1.7666,-151.9239,-145.3524,5.7,1.0,10.23,False
bollinger_tight,atr_trail_1x,86,0.2558,0.414,-1.7666,-151.9239,-145.3524,5.7,1.0,10.23,False
bollinger_tight,atr_trail_mae_conditional,86,0.2558,0.414,-1.7666,-151.9239,-145.3524,5.7,1.0,10.23,False
bollinger_tight,break_even_at_1r,86,0.2558,0.8847,-0.324,-27.8681,-62.8749,11.3,1.0,10.23,False
bollinger_tight,chandelier_3x,86,0.0116,0.3913,-0.297,-25.5399,-29.9669,2.6,1.0,0.46,False
ichimoku_cloud_breakout,breakeven_plus_trail,72,0.4306,1.5022,2.5222,181.6005,-122.346,26.8,0.9861,32.29,True
ichimoku_cloud_breakout,next_pivot_target,72,0.6667,0.5961,-1.3631,-98.1467,-102.3677,7.4,1.0,26.67,False
ichimoku_cloud_breakout,hybrid_50pct_target,72,0.5833,0.3411,-17.8348,-1284.1028,-1613.3887,108.0,0.7778,23.33,False
ichimoku_cloud_breakout,class_time_stop,72,0.5417,1.0256,0.318,22.8935,-401.8868,69.5,1.0,22.44,False
ichimoku_cloud_breakout,fixed_4r_2r,72,0.3333,1.257,2.0449,147.2329,-211.203,25.6,0.9861,21.04,False
