tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
HIGH,8,0.125,-3.8259,0.1072,-30.6074,MEDIUM
MEDIUM_HIGH,3,1.0,10.8602,inf,32.5807,MEDIUM
MEDIUM,2,0.0,-9.3127,0.0,-18.6255,LOW
LOW,30,0.4667,-0.422,0.8844,-12.6607,LOW
