strategy,regime,trades,win_rate,avg_pnl,total_roi
bollinger_lower,bear,24,0.3333,-1.5977,-38.3459
bollinger_lower,bull,34,0.5294,1.211,41.1727
bollinger_lower,neutral,35,0.4857,4.1975,146.9142
bollinger_tight,bear,28,0.25,-1.9893,-55.6998
bollinger_tight,bull,21,0.3333,-1.4111,-29.6325
bollinger_tight,neutral,27,0.4074,0.1701,4.5925
cmf_flip,bear,5,0.6,1.9497,9.7487
cmf_flip,neutral,4,0.75,32.3903,129.5611
cpr_narrow_bullish,bear,14,0.2143,-0.9977,-13.9673
cpr_narrow_bullish,bull,25,0.44,1.4339,35.8486
cpr_narrow_bullish,neutral,15,0.5333,9.8458,147.6873
hull_rsi,bull,4,0.0,-7.8145,-31.2579
ichimoku_cloud_breakout,bull,3,0.3333,-3.0674,-9.2022
ichimoku_cloud_breakout,neutral,5,0.2,1.7995,8.9974
pivot_r1_breakout,bear,3,0.0,-5.2944,-15.8831
pivot_r1_breakout,bull,24,0.5,2.609,62.615
pivot_r1_breakout,neutral,7,0.4286,-1.1532,-8.0726
pivot_r2_continuation,bear,3,0.3333,9.499,28.4971
pivot_r2_continuation,bull,8,0.375,-2.8701,-22.9612
pivot_r2_continuation,neutral,5,0.4,10.728,53.64
stochrsi_oversold,bear,4,0.25,-0.2314,-0.9257
stochrsi_oversold,bull,9,0.6667,4.2452,38.2064
stochrsi_oversold,neutral,10,0.3,-0.14,-1.3998
supertrend_macd,bear,3,0.3333,-1.6187,-4.8562
ultimate_oscillator,bull,4,0.5,9.5149,38.0596
williams_r_oversold,bull,14,0.3571,4.2562,59.5875
williams_r_oversold,neutral,12,0.5,6.3385,76.0614
