preliminary_tier,confidence_tier,trades,win_rate,upgraded,downgraded
HIGH,HIGH,9,0.3333333333333333,False,False
LOW,LOW,1,0.0,False,False
MEDIUM,MEDIUM,2,0.5,False,False
MEDIUM_HIGH,MEDIUM_HIGH,1,1.0,False,False
VERY_HIGH,VERY_HIGH,1,1.0,False,False
