tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,1,1.0,9.0611,inf,9.0611,HIGH
HIGH,9,0.3333,-1.5927,0.6557,-14.3344,MEDIUM
MEDIUM_HIGH,1,1.0,1.335,inf,1.335,MEDIUM
MEDIUM,2,0.5,-1.5708,0.6859,-3.1416,LOW
LOW,1,0.0,-0.5182,0.0,-0.5182,LOW
