strategy,exit_method,hy_oas_band_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,compressed_lt_3,22,0.36363636363636365,-0.13680454545454548,-3.0097000000000005
bollinger_lower,atr_trail_1x,no_data,70,0.15714285714285714,-2.536235714285714,-177.5365
bollinger_lower,atr_trail_1x,normal_3_5,47,0.3404255319148936,1.383625531914894,65.03040000000001
bollinger_lower,atr_trail_2x,compressed_lt_3,22,0.45454545454545453,0.6502454545454546,14.3054
bollinger_lower,atr_trail_2x,no_data,70,0.4,1.06023,74.2161
bollinger_lower,atr_trail_2x,normal_3_5,47,0.40425531914893614,5.130204255319149,241.11960000000002
bollinger_lower,break_even_at_1r,compressed_lt_3,22,0.4090909090909091,2.790890909090909,61.3996
bollinger_lower,break_even_at_1r,no_data,70,0.11428571428571428,-1.5615671428571427,-109.30969999999999
bollinger_lower,break_even_at_1r,normal_3_5,47,0.1702127659574468,-0.17784042553191476,-8.358499999999994
bollinger_lower,breakeven_plus_trail,compressed_lt_3,22,0.5454545454545454,3.2851181818181816,72.2726
bollinger_lower,breakeven_plus_trail,no_data,70,0.42857142857142855,5.807745714285714,406.5422
bollinger_lower,breakeven_plus_trail,normal_3_5,47,0.3829787234042553,4.905051063829787,230.5374
bollinger_lower,class_time_stop,compressed_lt_3,22,0.45454545454545453,-2.621177272727273,-57.66590000000001
bollinger_lower,class_time_stop,no_data,70,0.5285714285714286,2.1983057142857145,153.8814
bollinger_lower,class_time_stop,normal_3_5,47,0.5531914893617021,4.193225531914894,197.08160000000004
bollinger_lower,earnings_blackout,compressed_lt_3,22,0.5454545454545454,86.03389090909091,1892.7456
bollinger_lower,earnings_blackout,no_data,70,0.6285714285714286,77.71520000000001,5440.064
bollinger_lower,earnings_blackout,normal_3_5,47,0.5531914893617021,65.06156170212766,3057.8934
bollinger_lower,fixed_4r_2r,compressed_lt_3,22,0.36363636363636365,-0.8305,-18.271
bollinger_lower,fixed_4r_2r,no_data,70,0.38571428571428573,3.9623728571428565,277.36609999999996
bollinger_lower,fixed_4r_2r,normal_3_5,47,0.46808510638297873,5.510814893617022,259.0083
bollinger_lower,hybrid_50pct_target,compressed_lt_3,22,0.45454545454545453,-0.005386363636363634,-0.11849999999999994
bollinger_lower,hybrid_50pct_target,no_data,70,0.5142857142857142,2.1681042857142856,151.76729999999998
bollinger_lower,hybrid_50pct_target,normal_3_5,47,0.48936170212765956,5.336578723404256,250.81920000000002
