strategy,regime,trades,win_rate,avg_pnl,total_roi
bollinger_lower,neutral,139,0.3525,0.9139,127.0344
bollinger_tight,neutral,124,0.3871,3.6976,458.5043
cmf_flip,neutral,13,0.1538,-4.7616,-61.9006
cpr_narrow_bullish,neutral,48,0.3333,0.5837,28.0179
hull_rsi,neutral,3,0.0,-6.7357,-20.2072
ichimoku_cloud_breakout,neutral,14,0.2857,-0.1069,-1.4964
macd_crossover,neutral,4,0.25,-5.2531,-21.0122
macd_fast_crossover,neutral,4,0.0,-7.8314,-31.3255
pivot_r1_breakout,neutral,122,0.4508,1.8226,222.3617
pivot_r2_continuation,neutral,21,0.2381,-3.4634,-72.7316
pivot_s2_bounce,neutral,3,0.3333,4.1143,12.343
stochrsi_oversold,neutral,24,0.375,-2.6611,-63.8668
supertrend_macd,neutral,4,0.0,-7.6706,-30.6824
ultimate_oscillator,neutral,10,0.2,-1.2061,-12.0606
williams_r_oversold,neutral,15,0.4667,2.5933,38.8991
