strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
stochrsi_oversold,next_pivot_target,24,0.7083,0.8754,-0.4873,-11.6954,-59.9165,17.1,28.33,False
stochrsi_oversold,time_stop_10d,24,0.5,0.871,-0.469,-11.257,-57.8688,14.9,20.0,False
stochrsi_oversold,time_stop_20d,24,0.4583,0.6404,-1.9859,-47.6616,-73.0961,29.5,18.33,False
stochrsi_oversold,regime_flip,24,0.4583,0.6404,-1.9859,-47.6616,-73.0961,29.5,18.33,False
stochrsi_oversold,hybrid_50pct_target,24,0.4167,0.8606,-0.813,-19.5112,-84.0564,52.2,16.67,False
stochrsi_oversold,ma_exit_ema9,24,0.4167,0.3313,-0.8994,-21.5846,-26.077,1.5,16.67,False
stochrsi_oversold,class_time_stop,24,0.375,0.7638,-1.4325,-34.3802,-83.9531,36.6,15.0,False
stochrsi_oversold,trailing_10pct,24,0.375,0.5603,-2.2072,-52.9719,-79.107,43.4,15.0,False
stochrsi_oversold,atr_trail_2x,24,0.375,0.805,-0.6615,-15.877,-39.0473,23.8,15.0,False
stochrsi_oversold,trailing_5pct,24,0.2917,0.5274,-1.1633,-27.92,-26.6791,11.9,11.67,False
stochrsi_oversold,fixed_4r_2r,24,0.25,0.4962,-4.972,-119.3275,-178.9371,40.6,10.0,False
stochrsi_oversold,trailing_15pct,24,0.2083,0.6396,-3.1557,-75.7357,-125.705,100.7,8.33,False
stochrsi_oversold,atr_trail_1x,24,0.2083,0.2796,-2.0122,-48.2935,-47.6368,7.8,8.33,False
stochrsi_oversold,r_multiple_2r,24,0.2083,0.4987,-2.285,-54.8398,-50.6902,11.5,8.33,False
stochrsi_oversold,break_even_at_1r,24,0.1667,0.4819,-1.6361,-39.266,-46.4632,17.5,6.67,False
stochrsi_oversold,r_multiple_3r,24,0.125,0.2514,-3.8767,-93.0419,-88.8923,13.8,5.0,False
cpr_narrow_bullish,earnings_blackout,49,0.6327,3.9969,41.4786,2032.4507,-209.0091,811.3,55.31,True
cpr_narrow_bullish,trailing_15pct,49,0.4286,1.8064,4.9499,242.5444,-134.3357,180.6,41.34,False
cpr_narrow_bullish,next_pivot_target,49,0.7755,0.4687,-0.9004,-44.12,-59.8614,8.4,31.02,False
cpr_narrow_bullish,time_stop_10d,49,0.4898,1.2585,0.6837,33.5031,-38.0666,14.7,27.35,False
cpr_narrow_bullish,breakeven_plus_trail,49,0.2653,1.5332,1.4965,73.3273,-33.6791,35.9,26.61,False
cpr_narrow_bullish,regime_flip,49,0.449,1.2086,0.9814,48.0878,-58.0748,29.2,24.22,False
cpr_narrow_bullish,time_stop_20d,49,0.449,1.2086,0.9814,48.0878,-58.0748,29.2,24.22,False
cpr_narrow_bullish,class_time_stop,49,0.3878,1.2604,1.396,68.4039,-59.5879,36.5,23.32,False
cpr_narrow_bullish,hybrid_50pct_target,49,0.5102,0.6917,-2.8134,-137.8543,-221.3959,127.2,20.41,False
cpr_narrow_bullish,trailing_10pct,49,0.3469,1.1288,0.6615,32.4145,-114.0475,80.3,17.74,False
cpr_narrow_bullish,ma_exit_ema9,49,0.3061,1.159,0.438,21.4619,-41.0993,13.4,17.01,False
cpr_narrow_bullish,atr_trail_2x,49,0.3265,1.1304,0.4438,21.7451,-53.5494,20.0,16.97,False
cpr_narrow_bullish,fixed_4r_2r,49,0.3265,1.0066,0.0293,1.4338,-54.7837,22.6,13.26,False
cpr_narrow_bullish,trailing_5pct,49,0.2449,0.5655,-1.4643,-71.751,-68.0517,20.9,9.8,False
cpr_narrow_bullish,r_multiple_2r,49,0.2245,0.5267,-1.3551,-66.3993,-80.1371,6.2,8.98,False
cpr_narrow_bullish,atr_trail_1x,49,0.1633,0.1025,-2.2198,-108.7709,-102.9716,4.8,6.53,False
cpr_narrow_bullish,r_multiple_3r,49,0.1429,0.3385,-2.0897,-102.3953,-97.5386,9.9,5.72,False
cpr_narrow_bullish,break_even_at_1r,49,0.0816,0.3649,-1.4646,-71.7676,-64.8373,12.3,3.26,False
cmf_flip,earnings_blackout,13,0.3846,2.0724,15.8728,206.3465,-73.5213,734.0,45.38,True
cmf_flip,time_stop_10d,13,0.6154,0.1938,-3.5297,-45.8858,-45.0829,14.5,24.62,False
cmf_flip,next_pivot_target,13,0.5385,0.5516,-2.0697,-26.9059,-43.9937,20.6,21.54,False
cmf_flip,ma_exit_ema9,13,0.3846,0.2995,-1.7324,-22.5212,-25.3085,1.0,15.38,False
cmf_flip,r_multiple_2r,13,0.3846,0.5239,-2.6487,-34.4329,-41.1661,10.7,15.38,False
cmf_flip,regime_flip,13,0.3077,0.3546,-3.0784,-40.019,-57.8023,29.5,12.31,False
cmf_flip,breakeven_plus_trail,13,0.3077,0.5268,-2.43,-31.59,-46.5334,55.4,12.31,False
cmf_flip,time_stop_20d,13,0.3077,0.3546,-3.0784,-40.019,-57.8023,29.5,12.31,False
cmf_flip,hybrid_50pct_target,13,0.2308,0.2502,-5.7674,-74.976,-80.0,69.6,9.23,False
cmf_flip,trailing_5pct,13,0.2308,0.1408,-2.3795,-30.9335,-31.0025,8.1,9.23,False
cmf_flip,atr_trail_2x,13,0.2308,0.1214,-5.1998,-67.5976,-70.5413,31.9,9.23,False
cmf_flip,class_time_stop,13,0.2308,0.352,-4.2709,-55.5217,-77.1384,36.5,9.23,False
cmf_flip,trailing_10pct,13,0.1538,0.2234,-4.4013,-57.2173,-58.4084,32.1,6.15,False
cmf_flip,fixed_4r_2r,13,0.1538,0.6631,-3.2435,-42.1659,-66.8472,61.5,6.15,False
cmf_flip,atr_trail_1x,13,0.1538,0.0861,-4.6027,-59.8357,-54.5964,4.4,6.15,False
cmf_flip,trailing_15pct,13,0.1538,0.0644,-7.9617,-103.5018,-91.2442,77.7,6.15,False
