strategy,exit_method,vix_term_structure,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,unknown,139,0.2517985611510791,-0.8310489208633094,-115.5158
bollinger_lower,atr_trail_2x,unknown,139,0.41007194244604317,2.3715187050359714,329.6411
bollinger_lower,break_even_at_1r,unknown,139,0.17985611510791366,-0.404810071942446,-56.26859999999999
bollinger_lower,breakeven_plus_trail,unknown,139,0.4316546762589928,5.1032532374100725,709.3522
bollinger_lower,class_time_stop,unknown,139,0.5251798561151079,2.1100510791366904,293.2971
bollinger_lower,earnings_blackout,unknown,139,0.5899280575539568,74.75325899280575,10390.703
bollinger_lower,fixed_4r_2r,unknown,139,0.41007194244604317,3.7273625899280574,518.1034
bollinger_lower,hybrid_50pct_target,unknown,139,0.49640287769784175,2.895453237410072,402.468
bollinger_lower,ma_exit_ema9,unknown,139,0.5323741007194245,-0.08374028776978418,-11.6399
bollinger_lower,next_pivot_target,unknown,139,0.4892086330935252,0.9609971223021583,133.5786
bollinger_lower,r_multiple_2r,unknown,139,0.38848920863309355,1.7159791366906474,238.5211
bollinger_lower,r_multiple_3r,unknown,139,0.302158273381295,1.7084776978417267,237.4784
bollinger_lower,regime_flip,unknown,139,0.5107913669064749,2.40383381294964,334.1329
bollinger_lower,time_stop_10d,unknown,139,0.539568345323741,2.2875942446043163,317.9756
bollinger_lower,time_stop_20d,unknown,139,0.5107913669064749,2.40383381294964,334.1329
bollinger_lower,trailing_10pct,unknown,139,0.31654676258992803,-0.1625956834532373,-22.600799999999985
bollinger_lower,trailing_15pct,unknown,139,0.3669064748201439,0.5266726618705035,73.2075
bollinger_lower,trailing_5pct,unknown,139,0.2589928057553957,-1.3584712230215827,-188.8275
bollinger_tight,atr_trail_1x,unknown,126,0.29365079365079366,-0.9476142857142857,-119.3994
bollinger_tight,atr_trail_2x,unknown,126,0.42857142857142855,0.9185960317460318,115.7431
bollinger_tight,break_even_at_1r,unknown,126,0.1984126984126984,-0.2770896825396825,-34.9133
bollinger_tight,breakeven_plus_trail,unknown,126,0.5079365079365079,6.1700833333333325,777.4304999999999
bollinger_tight,class_time_stop,unknown,126,0.6190476190476191,6.078826984126984,765.9322
bollinger_tight,earnings_blackout,unknown,126,0.6190476190476191,87.79238174603174,11061.8401
bollinger_tight,fixed_4r_2r,unknown,126,0.4365079365079365,3.317390476190476,417.9912
bollinger_tight,hybrid_50pct_target,unknown,126,0.5,3.164768253968254,398.7608
bollinger_tight,ma_exit_ema9,unknown,126,0.4523809523809524,-0.14189206349206354,-17.878400000000006
bollinger_tight,next_pivot_target,unknown,126,0.5952380952380952,0.6814436507936509,85.8619
bollinger_tight,r_multiple_2r,unknown,126,0.3492063492063492,0.4987650793650794,62.84440000000001
bollinger_tight,r_multiple_3r,unknown,126,0.30158730158730157,1.2062619047619048,151.989
bollinger_tight,regime_flip,unknown,126,0.6349206349206349,5.037773809523809,634.7595
bollinger_tight,time_stop_10d,unknown,126,0.5555555555555556,1.648713492063492,207.7379
bollinger_tight,time_stop_20d,unknown,126,0.6349206349206349,5.037773809523809,634.7595
bollinger_tight,trailing_10pct,unknown,126,0.35714285714285715,-0.23457857142857147,-29.556900000000006
bollinger_tight,trailing_15pct,unknown,126,0.4523809523809524,5.775999206349206,727.7759
bollinger_tight,trailing_5pct,unknown,126,0.24603174603174602,-1.1832404761904762,-149.0883
cmf_flip,atr_trail_1x,unknown,13,0.15384615384615385,-4.602746153846154,-59.8357
cmf_flip,atr_trail_2x,unknown,13,0.23076923076923078,-5.199815384615385,-67.5976
cmf_flip,break_even_at_1r,unknown,13,0.0,-4.376446153846154,-56.8938
cmf_flip,breakeven_plus_trail,unknown,13,0.3076923076923077,-2.4300000000000006,-31.590000000000007
cmf_flip,class_time_stop,unknown,13,0.23076923076923078,-4.270899999999999,-55.521699999999996
cmf_flip,earnings_blackout,unknown,13,0.38461538461538464,15.87280769230769,206.34649999999996
cmf_flip,fixed_4r_2r,unknown,13,0.15384615384615385,-3.243530769230769,-42.1659
cmf_flip,hybrid_50pct_target,unknown,13,0.23076923076923078,-5.767384615384615,-74.976
cmf_flip,ma_exit_ema9,unknown,13,0.38461538461538464,-1.7324,-22.5212
cmf_flip,next_pivot_target,unknown,13,0.5384615384615384,-2.0696846153846153,-26.9059
cmf_flip,r_multiple_2r,unknown,13,0.38461538461538464,-2.6486846153846155,-34.432900000000004
cmf_flip,r_multiple_3r,unknown,13,0.07692307692307693,-5.535984615384615,-71.9678
cmf_flip,regime_flip,unknown,13,0.3076923076923077,-3.078384615384615,-40.019
cmf_flip,time_stop_10d,unknown,13,0.6153846153846154,-3.529676923076923,-45.8858
cmf_flip,time_stop_20d,unknown,13,0.3076923076923077,-3.078384615384615,-40.019
cmf_flip,trailing_10pct,unknown,13,0.15384615384615385,-4.401330769230769,-57.217299999999994
cmf_flip,trailing_15pct,unknown,13,0.15384615384615385,-7.961676923076923,-103.5018
cmf_flip,trailing_5pct,unknown,13,0.23076923076923078,-2.3795,-30.933500000000002
cpr_narrow_bullish,atr_trail_1x,unknown,49,0.16326530612244897,-2.2198142857142855,-108.7709
cpr_narrow_bullish,atr_trail_2x,unknown,49,0.32653061224489793,0.44377755102040817,21.7451
cpr_narrow_bullish,break_even_at_1r,unknown,49,0.08163265306122448,-1.4646448979591837,-71.7676
cpr_narrow_bullish,breakeven_plus_trail,unknown,49,0.2653061224489796,1.4964755102040814,73.3273
cpr_narrow_bullish,class_time_stop,unknown,49,0.3877551020408163,1.3959979591836733,68.4039
cpr_narrow_bullish,earnings_blackout,unknown,49,0.6326530612244898,41.478585714285714,2032.4506999999999
cpr_narrow_bullish,fixed_4r_2r,unknown,49,0.32653061224489793,0.02926122448979585,1.4337999999999966
