strategy,sector,sector_criteria,direction_mix,total_trades,win_rate,win_rate_ci_low,win_rate_ci_high,statistically_random,profit_factor,expected_value,win_loss_ratio,avg_win_pct,avg_loss_pct,max_drawdown_pct,total_roi_pct,sharpe_ratio,calmar_ratio,kelly,avg_hold_days,best_trade_pct,worst_trade_pct,smart_money_lift,macro_correlation,regimes_profitable,regime_verdicts,best_regimes,passes_all,audit_flags,category,spy_benchmark_return,vs_benchmark,beats_benchmark,regime_bear_correction_2022,regime_rate_rising_2022_2023,regime_strong_bull_2023,regime_rate_falling_2024,regime_ai_sector_bull_2024,regime_tariff_shock_2025,regime_ai_divergence_2025_2026,regime_covid_crisis_2020
supertrend_macd,Information Technology,high_volatility,130L/0S,130,0.4308,0.3488,0.5167,True,1.9979,3.76,2.64,17.4756,-6.6194,-156.6259,488.7938,0.315,0.051,"{'full_kelly_pct': 21.52, 'quarter_kelly_pct': 5.38, 'note': 'reasonable'}",119.6,88.7964,-10.6776,,-0.0658,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_2.00_exceeds_audit_threshold', 'ci_lower_34.9pct_may_be_random']",trend,75.15,413.6438,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
morning_star,Energy,high_volatility,60L/15S,75,0.4267,0.321,0.5395,True,2.0576,3.7071,2.7648,16.9043,-6.114,-48.0517,278.0359,0.29,0.138,"{'full_kelly_pct': 21.93, 'quarter_kelly_pct': 5.48, 'note': 'reasonable'}",140.8,105.7627,-11.2552,,-0.2438,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_2.06_exceeds_audit_threshold', 'ci_lower_32.1pct_may_be_random']",candle,75.15,202.8859,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
cpr_narrow_momentum,Energy,high_volatility,100L/27S,127,0.4173,0.3352,0.5043,True,1.8452,3.0742,2.5763,16.0822,-6.2423,-167.7125,390.4258,0.259,0.038,"{'full_kelly_pct': 19.12, 'quarter_kelly_pct': 4.78, 'note': 'reasonable'}",123.1,88.8462,-11.2851,,-0.1638,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.85_exceeds_audit_threshold', 'ci_lower_33.5pct_may_be_random']",confluence,75.15,315.2758,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
macd_crossover,Volatility,medium_volatility,84L/48S,132,0.4167,0.3361,0.502,True,1.3467,1.4034,1.8854,13.0827,-6.939,-105.0515,185.2486,0.153,0.032,"{'full_kelly_pct': 10.73, 'quarter_kelly_pct': 2.68, 'note': 'reasonable'}",105.7,81.6614,-11.1044,,-0.0365,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_33.6pct_may_be_random'],momentum,75.15,110.0986,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
camarilla_r3_breakout,Unknown,medium_volatility,41L/0S,41,0.4146,0.2776,0.5663,True,2.1528,4.1317,3.0392,18.6088,-6.1229,-49.4128,169.4,0.286,0.138,"{'full_kelly_pct': 22.2, 'quarter_kelly_pct': 5.55, 'note': 'reasonable'}",152.8,82.6148,-10.4186,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_2.15_exceeds_audit_threshold', 'ci_lower_27.8pct_may_be_random']",pivot,75.15,94.25,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
williams_r_oversold,Energy,high_volatility,78L/6S,84,0.4048,0.3062,0.5117,True,1.8008,3.1428,2.6482,17.4609,-6.5935,-76.4551,263.9976,0.265,0.082,"{'full_kelly_pct': 18.0, 'quarter_kelly_pct': 4.5, 'note': 'reasonable'}",126.7,91.6687,-10.3361,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.80_exceeds_audit_threshold', 'ci_lower_30.6pct_may_be_random']",momentum,75.15,188.8476,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
prev_day_high_break,Volatility,medium_volatility,35L/20S,55,0.4,0.2812,0.5319,True,1.7379,2.4779,2.6069,14.5891,-5.5963,-98.3622,136.2818,0.193,0.042,"{'full_kelly_pct': 16.98, 'quarter_kelly_pct': 4.25, 'note': 'reasonable'}",149.8,91.3567,-12.285,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.74_exceeds_audit_threshold', 'ci_lower_28.1pct_may_be_random']",pivot,75.15,61.1318,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pivot_s1_bounce,Information Technology,high_volatility,27L/3S,30,0.4,0.2459,0.5768,True,1.5844,2.7032,2.3766,18.3216,-7.709,-49.8023,81.097,0.187,0.082,"{'full_kelly_pct': 14.75, 'quarter_kelly_pct': 3.69, 'note': 'reasonable'}",166.4,52.4869,-12.0923,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.58_exceeds_audit_threshold', 'ci_lower_24.6pct_may_be_random']",pivot,75.15,5.947,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
macd_ichimoku,Unknown,medium_volatility,42L/6S,48,0.375,0.2522,0.5164,True,1.8596,3.0694,3.0994,17.7067,-5.713,-46.2869,147.3317,0.222,0.108,"{'full_kelly_pct': 17.33, 'quarter_kelly_pct': 4.33, 'note': 'reasonable'}",155.3,81.6971,-12.3148,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.86_exceeds_audit_threshold', 'ci_lower_25.2pct_may_be_random']",confluence,75.15,72.1817,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
bollinger_lower,Information Technology,high_volatility,134L/36S,170,0.3706,0.3016,0.4453,True,1.4187,1.8786,2.4096,17.1758,-7.1281,-253.4232,319.3683,0.179,0.019,"{'full_kelly_pct': 10.94, 'quarter_kelly_pct': 2.73, 'note': 'reasonable'}",98.3,103.721,-11.4804,,-0.2784,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_30.2pct_may_be_random'],mean_reversion,75.15,244.2183,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
