strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
bollinger_tight,trailing_15pct,244,0.3525,1.9959,6.1225,1493.8923,-282.3511,168.8,43.98,True
bollinger_lower,trailing_15pct,170,0.4471,2.9265,10.429,1772.9237,-154.4038,205.8,47.88,True
hull_rsi,trailing_15pct,219,0.3881,1.9932,6.0513,1325.2254,-252.4661,171.1,45.32,True
stochrsi_oversold,breakeven_plus_trail,167,0.2575,2.3694,2.6571,443.7397,-54.3094,52.3,40.3,True
pivot_r2_continuation,trailing_15pct,109,0.4128,2.0527,5.8086,633.1398,-113.6401,202.3,46.51,True
cpr_narrow_bullish,trailing_15pct,271,0.3838,1.8723,5.4473,1476.2093,-476.965,150.7,41.52,True
supertrend_macd,hybrid_50pct_target,130,0.6615,1.9634,3.2609,423.9122,-111.7362,112.0,55.36,True
macd_crossover,trailing_15pct,132,0.447,2.2846,6.7956,897.0172,-93.6836,206.9,47.88,True
williams_stoch_dual,next_pivot_target,167,0.8263,0.9504,-0.0849,-14.1826,-94.8091,16.5,33.05,True
awesome_oscillator,trailing_15pct,75,0.3467,2.4755,9.5077,713.0743,-100.2838,269.3,43.87,True
ppo_crossover,next_pivot_target,55,0.6909,0.5336,-0.8323,-45.774,-54.4202,11.2,27.64,True
pivot_r1_breakout,trailing_15pct,143,0.4545,2.6406,8.279,1183.9006,-81.0351,206.6,48.18,True
cpr_narrow_momentum,trailing_10pct,127,0.4724,2.5118,4.7166,599.0119,-139.9979,123.1,48.9,True
golden_cross_9_21,next_pivot_target,51,0.7647,1.3832,0.3143,16.0275,-9.6939,16.5,57.54,True
three_white_soldiers,time_stop_10d,33,0.6667,2.63,1.3933,45.9783,-6.7227,14.3,76.58,True
tema_dema,trailing_15pct,82,0.4634,2.4297,7.7164,632.7488,-86.1277,254.2,48.54,True
cmf_flip,time_stop_20d,61,0.6557,1.4631,0.9025,55.0506,-26.9089,29.5,40.12,True
ichimoku_cloud_breakout,trailing_15pct,112,0.4375,2.4199,8.1946,917.7951,-182.7925,216.2,47.5,True
williams_r_oversold,next_pivot_target,84,0.8571,1.8924,1.2748,107.0832,-20.0,15.5,61.06,True
