date,event,z_score,today_dispersion
2023-09-11,dispersion_cb_triggered_dec128,3.3235,0.044297
2023-10-19,dispersion_cb_triggered_dec128,5.7606,0.041412
2023-10-25,dispersion_cb_triggered_dec128,4.1174,0.046008
2024-01-25,dispersion_cb_triggered_dec128,9.9796,0.058152
2024-02-22,dispersion_cb_triggered_dec128,3.9707,0.066933
