strategy,regime,trades,win_rate,avg_pnl,total_roi
adx_initiation,crisis_CRISIS_FLAG,5,0.6,0.1341,0.6703
awesome_oscillator,crisis_CRISIS_FLAG,53,0.3208,-0.7523,-39.8741
awesome_oscillator,neutral,7,0.2857,1.24,8.6797
bollinger_lower,crisis_CRISIS_FLAG,226,0.3319,-0.0483,-10.9243
bollinger_lower,neutral,27,0.2222,-4.3766,-118.1695
bollinger_tight,crisis_CRISIS_FLAG,318,0.3522,0.2769,88.0592
bollinger_tight,neutral,40,0.125,-5.6478,-225.914
bollinger_upper_short,crisis_CRISIS_FLAG,5,0.0,-4.2532,-21.266
bullish_engulfing_support,crisis_CRISIS_FLAG,11,0.4545,1.3337,14.6705
bullish_engulfing_support,neutral,4,0.0,-3.5159,-14.0636
camarilla_r3_breakout,crisis_CRISIS_FLAG,30,0.3667,-0.0972,-2.9153
camarilla_r3_breakout,neutral,7,0.7143,2.2815,15.9703
camarilla_rsi_obv,crisis_CRISIS_FLAG,3,0.0,-0.7243,-2.173
camarilla_s3_bounce,crisis_CRISIS_FLAG,12,0.4167,-0.573,-6.8758
cmf_flip,crisis_CRISIS_FLAG,47,0.2979,-1.2285,-57.7416
cmf_flip,neutral,7,0.2857,-3.251,-22.7569
cpr_narrow_bullish,crisis_CRISIS_FLAG,459,0.3529,0.0943,43.2755
cpr_narrow_bullish,neutral,45,0.3111,-1.8599,-83.695
cpr_narrow_momentum,crisis_CRISIS_FLAG,148,0.3581,0.7057,104.4401
cpr_narrow_momentum,neutral,19,0.4211,-1.1599,-22.0374
cpr_narrow_momentum_short,crisis_CRISIS_FLAG,25,0.24,-1.9983,-49.9564
cpr_narrow_momentum_short,neutral,13,0.0,-6.7011,-87.1137
doji_at_support,crisis_CRISIS_FLAG,3,0.6667,8.0351,24.1053
donchian_10_breakout,crisis_CRISIS_FLAG,9,0.3333,-1.5507,-13.9561
donchian_10_breakout,neutral,4,0.0,-8.1769,-32.7075
