strategy,exit_method,regime_changed_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,no,5,0.0,-2.16064,-10.8032
avwap_252_breakout,atr_trail_2x,no,5,0.0,-4.36704,-21.8352
avwap_252_breakout,atr_trail_mae_conditional,no,5,0.0,-2.16064,-10.8032
avwap_252_breakout,atr_trail_vix_conditional,no,5,0.0,-2.33886,-11.6943
avwap_252_breakout,break_even_at_1r,no,5,0.0,-2.11788,-10.5894
avwap_252_breakout,breakeven_plus_trail,no,5,0.0,-4.180960000000001,-20.9048
avwap_252_breakout,chandelier_3x,no,5,0.0,-0.27454,-1.3727
avwap_252_breakout,class_time_stop,no,5,0.2,-19.4773,-97.3865
avwap_252_breakout,earnings_blackout,no,5,0.2,-57.217060000000004,-286.0853
avwap_252_breakout,fixed_4r_2r,no,5,0.0,-6.417320000000001,-32.086600000000004
avwap_252_breakout,hybrid_50pct_target,no,5,0.8,2.8536,14.268
avwap_252_breakout,ma_exit_ema9,no,5,0.2,-2.24464,-11.2232
avwap_252_breakout,mfe_lockin_trail,no,5,0.0,-2.16064,-10.8032
avwap_252_breakout,multi_tier_partial,no,5,0.4,-1.82964,-9.1482
avwap_252_breakout,next_pivot_target,no,5,0.4,-3.974,-19.87
avwap_252_breakout,r_multiple_2r,no,5,0.4,-0.41581999999999997,-2.0791
avwap_252_breakout,r_multiple_3r,no,5,0.0,-2.92784,-14.6392
avwap_252_breakout,regime_flip,no,5,0.4,-18.9454,-94.727
avwap_252_breakout,reverse_signal,no,5,0.0,-2.16064,-10.8032
avwap_252_breakout,smc_mitigation_zone,no,5,0.2,-1.7171599999999998,-8.585799999999999
avwap_252_breakout,time_stop_10d,no,5,0.2,-1.5932,-7.966
avwap_252_breakout,time_stop_20d,no,5,0.4,-18.9454,-94.727
avwap_252_breakout,trailing_10pct,no,5,0.2,-6.04242,-30.2121
avwap_252_breakout,trailing_15pct,no,5,0.2,-6.24742,-31.237099999999998
avwap_252_breakout,trailing_5pct,no,5,0.2,-3.4699199999999997,-17.3496
buyback_8k_recent_long,atr_trail_1x,no,17,0.35294117647058826,-0.8480294117647059,-14.416500000000001
buyback_8k_recent_long,atr_trail_2x,no,17,0.23529411764705882,-1.2256,-20.8352
buyback_8k_recent_long,atr_trail_mae_conditional,no,17,0.35294117647058826,-0.8480294117647059,-14.416500000000001
buyback_8k_recent_long,atr_trail_vix_conditional,no,17,0.29411764705882354,-0.6772,-11.512400000000001
buyback_8k_recent_long,break_even_at_1r,no,17,0.11764705882352941,0.021964705882352848,0.3733999999999984
buyback_8k_recent_long,breakeven_plus_trail,no,17,0.11764705882352941,-0.6994647058823531,-11.890900000000002
buyback_8k_recent_long,chandelier_3x,no,17,0.23529411764705882,-0.8722941176470589,-14.829
buyback_8k_recent_long,class_time_stop,no,17,0.5882352941176471,-0.4945411764705882,-8.4072
buyback_8k_recent_long,earnings_blackout,no,17,0.5294117647058824,-8.597282352941177,-146.1538
buyback_8k_recent_long,fixed_4r_2r,no,17,0.17647058823529413,-2.7023411764705885,-45.939800000000005
buyback_8k_recent_long,hybrid_50pct_target,no,17,0.7058823529411765,0.5365176470588235,9.120800000000001
buyback_8k_recent_long,ma_exit_ema9,no,17,0.4117647058823529,-0.7775647058823528,-13.218599999999999
buyback_8k_recent_long,mfe_lockin_trail,no,17,0.35294117647058826,-0.6749058823529411,-11.4734
buyback_8k_recent_long,multi_tier_partial,no,17,0.47058823529411764,-0.6784764705882353,-11.5341
buyback_8k_recent_long,next_pivot_target,no,17,0.4117647058823529,-1.2945588235294119,-22.0075
buyback_8k_recent_long,r_multiple_2r,no,17,0.29411764705882354,-0.5278235294117648,-8.973
buyback_8k_recent_long,r_multiple_3r,no,17,0.23529411764705882,-0.27729411764705886,-4.714
buyback_8k_recent_long,regime_flip,no,17,0.5294117647058824,0.06718823529411769,1.1422000000000008
buyback_8k_recent_long,reverse_signal,no,17,0.35294117647058826,-0.8480294117647059,-14.416500000000001
buyback_8k_recent_long,smc_mitigation_zone,no,17,0.35294117647058826,-0.7968176470588235,-13.5459
buyback_8k_recent_long,time_stop_10d,no,17,0.47058823529411764,0.2434529411764706,4.1387
buyback_8k_recent_long,time_stop_20d,no,17,0.5294117647058824,0.06718823529411769,1.1422000000000008
buyback_8k_recent_long,trailing_10pct,no,17,0.17647058823529413,-3.762229411764706,-63.9579
buyback_8k_recent_long,trailing_15pct,no,17,0.35294117647058826,-3.6315529411764707,-61.7364
buyback_8k_recent_long,trailing_5pct,no,17,0.29411764705882354,-0.6505588235294117,-11.0595
cpr_narrow_bullish,atr_trail_1x,no,7,0.14285714285714285,-1.2858857142857143,-9.0012
cpr_narrow_bullish,atr_trail_2x,no,7,0.42857142857142855,2.1970714285714283,15.379499999999998
cpr_narrow_bullish,atr_trail_mae_conditional,no,7,0.14285714285714285,-1.2858857142857143,-9.0012
cpr_narrow_bullish,atr_trail_vix_conditional,no,7,0.2857142857142857,0.9309142857142858,6.516400000000001
cpr_narrow_bullish,break_even_at_1r,no,7,0.0,-1.3934857142857144,-9.7544
cpr_narrow_bullish,breakeven_plus_trail,no,7,0.2857142857142857,1.0938714285714286,7.6571
cpr_narrow_bullish,chandelier_3x,no,7,0.42857142857142855,0.5838285714285719,4.086800000000004
cpr_narrow_bullish,class_time_stop,no,7,0.42857142857142855,1.3910857142857138,9.737599999999997
cpr_narrow_bullish,earnings_blackout,no,7,0.5714285714285714,100.86398571428572,706.0479
cpr_narrow_bullish,fixed_4r_2r,no,7,0.2857142857142857,-1.3433714285714284,-9.403599999999999
cpr_narrow_bullish,hybrid_50pct_target,no,7,0.42857142857142855,-2.4648857142857143,-17.2542
cpr_narrow_bullish,ma_exit_ema9,no,7,0.42857142857142855,3.135185714285714,21.946299999999997
cpr_narrow_bullish,mfe_lockin_trail,no,7,0.14285714285714285,-1.2858857142857143,-9.0012
cpr_narrow_bullish,multi_tier_partial,no,7,0.42857142857142855,-0.781,-5.4670000000000005
cpr_narrow_bullish,next_pivot_target,no,7,0.7142857142857143,0.6816000000000001,4.7712
cpr_narrow_bullish,r_multiple_2r,no,7,0.2857142857142857,-0.39912857142857155,-2.7939000000000007
cpr_narrow_bullish,r_multiple_3r,no,7,0.2857142857142857,0.44065714285714247,3.0845999999999973
