tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,3,0.0,-7.7255,0.0,-23.1764,HIGH
HIGH,207,0.2657,-2.4362,0.4964,-504.3026,MEDIUM
