date,event,z_score,today_dispersion,ticker,level,reason,exit_price,dd_from_peak,rolling_peak_equity,current_equity
2022-05-05,dispersion_cb_triggered_dec128,3.6024,0.033059,,,,,,,
2022-05-26,,,,DG,1.0,overnight_gap_up_15.1pct,224.78,,,
2022-06-13,halt_triggered,,,,6.0,,,-0.2047,100099.88,79609.7
2022-08-18,halt_triggered,,,,6.0,,,-0.2088,100099.88,79198.93
2022-10-18,halt_triggered,,,,6.0,,,-0.3791,100099.88,62148.44
2022-12-20,halt_triggered,,,,6.0,,,-0.3695,100099.88,63109.340000000004
2023-02-21,halt_triggered,,,,6.0,,,-0.3821,100099.88,61851.92
2023-04-25,,,,FRC,1.0,overnight_gap_down_23.7pct,12.21,,,
2023-04-25,halt_triggered,,,,6.0,,,-0.4166,100099.88,58393.840000000004
2023-06-27,halt_triggered,,,,6.0,,,-0.45,100099.88,55059.32
2023-08-29,halt_triggered,,,,6.0,,,-0.462,100099.88,53852.38
2023-10-31,halt_triggered,,,,6.0,,,-0.4735,100099.88,52701.66
2024-01-02,halt_triggered,,,,6.0,,,-0.5269,100099.88,47359.98
2024-01-24,,,,DD,1.0,overnight_gap_down_13.7pct,26.9665,,,
2024-03-04,dispersion_cb_triggered_dec128,9.1147,0.054284,,,,,,,
2024-03-05,halt_triggered,,,,6.0,,,-0.569,100099.88,43146.62
2024-03-13,,,,DLTR,1.0,overnight_gap_down_13.7pct,129.15,,,
2024-04-19,halt_resumed,,,,6.0,,,-0.5528,100099.88,44762.9
2024-04-22,halt_triggered,,,,6.0,,,-0.5528,100099.88,44762.9
2024-05-29,halt_resumed,,,,6.0,,,-0.5404,100099.88,46005.770000000004
2024-05-30,halt_triggered,,,,6.0,,,-0.5404,100099.88,46005.770000000004
2024-07-25,,,,EW,1.0,overnight_gap_down_26.4pct,64.01,,,
2024-07-30,halt_triggered,,,,6.0,,,-0.5854,100099.88,41501.76
2024-08-02,halt_resumed,,,,6.0,,,-0.39,100099.88,61057.840000000004
2024-08-05,halt_triggered,,,,6.0,,,-0.3908,100099.88,60975.95
2024-10-07,halt_triggered,,,,6.0,,,-0.383,100099.88,61760.63
2024-12-09,halt_triggered,,,,6.0,,,-0.383,100099.88,61760.63
2025-02-10,halt_triggered,,,,6.0,,,-0.383,100099.88,61760.63
2025-04-14,halt_triggered,,,,6.0,,,-0.3847,100099.88,61591.72
2025-05-23,halt_resumed,,,,6.0,,,-0.3534,100099.88,64727.79
2025-05-26,halt_triggered,,,,6.0,,,-0.3534,100099.88,64727.79
2025-07-28,halt_triggered,,,,6.0,,,-0.3627,100099.88,63793.33
2025-08-01,halt_resumed,,,,6.0,,,-0.346,100099.88,65465.48
2025-08-04,halt_triggered,,,,6.0,,,-0.346,100099.88,65465.48
2025-10-06,halt_triggered,,,,6.0,,,-0.3444,100099.88,65623.11
2025-12-08,halt_triggered,,,,6.0,,,-0.3518,100099.88,64883.5
2026-02-09,halt_triggered,,,,6.0,,,-0.3902,100099.88,61040.42
2026-03-05,halt_resumed,,,,6.0,,,-0.3721,100099.88,62853.7
2026-03-06,halt_triggered,,,,6.0,,,-0.3749,100099.88,62568.840000000004
