tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
EXCEPTIONAL,1,0.0,-10.8574,0.0,-10.8574,HIGH
HIGH,136,0.3529,0.6761,1.1599,91.944,MEDIUM
