strategy,point_sharpe,ci_low,ci_high,n_trades,method
bollinger_lower,0.3404568522536798,-4.738192855514774,4.0358132986474695,56,bootstrap
bollinger_tight,0.5847404911550683,-6.174056596241141,4.024145365918523,48,bootstrap
camarilla_r3_breakout,0.0,,,1,insufficient_sample
cmf_flip,-85.95359992184063,,,2,insufficient_sample
cpr_narrow_bullish,-3.4284481053125195,-11.15081857934207,1.449011092059886,42,bootstrap
hull_rsi,0.0,,,1,insufficient_sample
ichimoku_cloud_breakout,-41.98253148995623,,,5,insufficient_sample
macd_crossover,-26.59090049154529,,,2,insufficient_sample
pivot_r1_breakout,-0.7309497579197549,,,20,insufficient_sample
pivot_r2_continuation,3.75233387941954,,,10,insufficient_sample
pivot_s3_capitulation,0.0,,,1,insufficient_sample
prev_day_low_bounce,0.0,,,1,insufficient_sample
stochrsi_oversold,-11.258183609848167,,,21,insufficient_sample
williams_r_oversold,0.2813371726001539,,,13,insufficient_sample
williams_stoch_dual,4.960517074752275,,,2,insufficient_sample
