strategy,exit_method,mae_bucket,n,win_rate,avg_pnl_pct,total_pnl_pct
cmf_flip,ma_exit_ema9,q4_ge_10pct,7,0.42857142857142855,0.06572857142857126,0.46009999999999884
cmf_flip,mfe_lockin_trail,q4_ge_10pct,7,0.14285714285714285,-1.5171857142857144,-10.6203
cmf_flip,multi_tier_partial,q4_ge_10pct,7,0.5714285714285714,-0.5567428571428571,-3.8971999999999998
cmf_flip,next_pivot_target,q4_ge_10pct,7,0.7142857142857143,-0.8958142857142858,-6.270700000000001
cmf_flip,r_multiple_2r,q4_ge_10pct,7,0.2857142857142857,-0.7879857142857142,-5.515899999999999
cmf_flip,r_multiple_3r,q4_ge_10pct,7,0.2857142857142857,0.3567142857142858,2.4970000000000008
cmf_flip,regime_flip,q4_ge_10pct,7,0.5714285714285714,-0.7931714285714282,-5.552199999999997
cmf_flip,reverse_signal,q4_ge_10pct,7,0.14285714285714285,-1.5171857142857144,-10.6203
cmf_flip,smc_mitigation_zone,q4_ge_10pct,7,0.14285714285714285,-0.9747428571428571,-6.8232
cmf_flip,time_stop_10d,q4_ge_10pct,7,0.5714285714285714,3.5105428571428567,24.5738
cmf_flip,time_stop_20d,q4_ge_10pct,7,0.5714285714285714,-0.7931714285714282,-5.552199999999997
cmf_flip,trailing_10pct,q4_ge_10pct,7,0.2857142857142857,-1.9710285714285714,-13.7972
cmf_flip,trailing_15pct,q4_ge_10pct,7,0.2857142857142857,5.661371428571428,39.629599999999996
cmf_flip,trailing_5pct,q4_ge_10pct,7,0.14285714285714285,-1.6233285714285712,-11.363299999999999
htf_aligned_breakout_long,atr_trail_1x,q4_ge_10pct,8,0.125,-1.6035000000000001,-12.828000000000001
htf_aligned_breakout_long,atr_trail_2x,q4_ge_10pct,8,0.375,-1.852525,-14.8202
htf_aligned_breakout_long,atr_trail_mae_conditional,q4_ge_10pct,8,0.125,-1.6035000000000001,-12.828000000000001
htf_aligned_breakout_long,atr_trail_vix_conditional,q4_ge_10pct,8,0.25,-0.9973000000000001,-7.978400000000001
htf_aligned_breakout_long,break_even_at_1r,q4_ge_10pct,8,0.0,-1.3255375,-10.6043
htf_aligned_breakout_long,breakeven_plus_trail,q4_ge_10pct,8,0.375,-0.3181125,-2.5449
htf_aligned_breakout_long,chandelier_3x,q4_ge_10pct,8,0.5,-0.10641250000000005,-0.8513000000000004
htf_aligned_breakout_long,class_time_stop,q4_ge_10pct,8,0.625,4.242512499999999,33.940099999999994
htf_aligned_breakout_long,earnings_blackout,q4_ge_10pct,8,1.0,47.319975,378.5598
htf_aligned_breakout_long,fixed_4r_2r,q4_ge_10pct,8,0.375,-2.156625,-17.253
htf_aligned_breakout_long,hybrid_50pct_target,q4_ge_10pct,8,0.625,-0.4544374999999998,-3.6354999999999986
htf_aligned_breakout_long,ma_exit_ema9,q4_ge_10pct,8,0.5,-1.2049875,-9.6399
htf_aligned_breakout_long,mfe_lockin_trail,q4_ge_10pct,8,0.125,-1.6035000000000001,-12.828000000000001
htf_aligned_breakout_long,multi_tier_partial,q4_ge_10pct,8,0.5,-0.7261625,-5.8093
htf_aligned_breakout_long,next_pivot_target,q4_ge_10pct,8,0.625,-1.1052625,-8.8421
htf_aligned_breakout_long,r_multiple_2r,q4_ge_10pct,8,0.25,-1.63755,-13.1004
htf_aligned_breakout_long,r_multiple_3r,q4_ge_10pct,8,0.25,-1.3652000000000002,-10.921600000000002
htf_aligned_breakout_long,regime_flip,q4_ge_10pct,8,0.625,4.8114375,38.4915
htf_aligned_breakout_long,reverse_signal,q4_ge_10pct,8,0.125,-1.6035000000000001,-12.828000000000001
htf_aligned_breakout_long,smc_mitigation_zone,q4_ge_10pct,8,0.125,-1.6035000000000001,-12.828000000000001
htf_aligned_breakout_long,time_stop_10d,q4_ge_10pct,8,0.875,2.4103624999999997,19.282899999999998
htf_aligned_breakout_long,time_stop_20d,q4_ge_10pct,8,0.625,4.8114375,38.4915
htf_aligned_breakout_long,trailing_10pct,q4_ge_10pct,8,0.375,-2.443,-19.544
htf_aligned_breakout_long,trailing_15pct,q4_ge_10pct,8,0.625,0.6313875,5.0511
htf_aligned_breakout_long,trailing_5pct,q4_ge_10pct,8,0.25,-2.0824125,-16.6593
monthly_bias_momentum_long,atr_trail_1x,q4_ge_10pct,22,0.13636363636363635,-1.6275045454545456,-35.8051
monthly_bias_momentum_long,atr_trail_2x,q4_ge_10pct,22,0.2727272727272727,1.1987909090909092,26.373400000000004
monthly_bias_momentum_long,atr_trail_mae_conditional,q4_ge_10pct,22,0.13636363636363635,-1.6275045454545456,-35.8051
monthly_bias_momentum_long,atr_trail_vix_conditional,q4_ge_10pct,22,0.22727272727272727,-0.9216318181818182,-20.2759
monthly_bias_momentum_long,break_even_at_1r,q4_ge_10pct,22,0.13636363636363635,-1.3281999999999998,-29.220399999999998
monthly_bias_momentum_long,breakeven_plus_trail,q4_ge_10pct,22,0.4090909090909091,8.425463636363638,185.36020000000002
monthly_bias_momentum_long,chandelier_3x,q4_ge_10pct,22,0.2727272727272727,2.8979318181818177,63.75449999999999
monthly_bias_momentum_long,class_time_stop,q4_ge_10pct,22,0.5,1.7341590909090911,38.151500000000006
monthly_bias_momentum_long,earnings_blackout,q4_ge_10pct,22,0.7272727272727273,75.38531363636363,1658.4769
monthly_bias_momentum_long,fixed_4r_2r,q4_ge_10pct,22,0.3181818181818182,0.5569045454545455,12.251900000000001
monthly_bias_momentum_long,hybrid_50pct_target,q4_ge_10pct,22,0.7272727272727273,6.5585,144.287
monthly_bias_momentum_long,ma_exit_ema9,q4_ge_10pct,22,0.18181818181818182,-0.07094545454545456,-1.5608000000000004
monthly_bias_momentum_long,mfe_lockin_trail,q4_ge_10pct,22,0.13636363636363635,-1.6172363636363636,-35.5792
monthly_bias_momentum_long,multi_tier_partial,q4_ge_10pct,22,0.2727272727272727,-1.366190909090909,-30.0562
monthly_bias_momentum_long,next_pivot_target,q4_ge_10pct,22,0.5454545454545454,-0.500509090909091,-11.011200000000002
monthly_bias_momentum_long,r_multiple_2r,q4_ge_10pct,22,0.22727272727272727,-1.2287772727272726,-27.033099999999997
monthly_bias_momentum_long,r_multiple_3r,q4_ge_10pct,22,0.22727272727272727,-0.6051590909090909,-13.313500000000001
monthly_bias_momentum_long,regime_flip,q4_ge_10pct,22,0.6363636363636364,1.8332727272727274,40.332
monthly_bias_momentum_long,reverse_signal,q4_ge_10pct,22,0.13636363636363635,-1.6275045454545456,-35.8051
monthly_bias_momentum_long,smc_mitigation_zone,q4_ge_10pct,22,0.22727272727272727,-1.3667090909090909,-30.0676
monthly_bias_momentum_long,time_stop_10d,q4_ge_10pct,22,0.3181818181818182,-0.2570499999999999,-5.655099999999997
monthly_bias_momentum_long,time_stop_20d,q4_ge_10pct,22,0.6363636363636364,1.8332727272727274,40.332
monthly_bias_momentum_long,trailing_10pct,q4_ge_10pct,22,0.45454545454545453,4.19579090909091,92.30740000000002
monthly_bias_momentum_long,trailing_15pct,q4_ge_10pct,22,0.5454545454545454,7.4646954545454545,164.2233
monthly_bias_momentum_long,trailing_5pct,q4_ge_10pct,22,0.18181818181818182,-1.801940909090909,-39.6427
po3_bullish,atr_trail_1x,q4_ge_10pct,12,0.25,-0.7901083333333334,-9.481300000000001
po3_bullish,atr_trail_2x,q4_ge_10pct,12,0.25,-0.7856833333333334,-9.4282
po3_bullish,atr_trail_mae_conditional,q4_ge_10pct,12,0.25,-0.7901083333333334,-9.481300000000001
po3_bullish,atr_trail_vix_conditional,q4_ge_10pct,12,0.25,-1.3120583333333333,-15.7447
po3_bullish,break_even_at_1r,q4_ge_10pct,12,0.0,-1.6052833333333334,-19.2634
po3_bullish,breakeven_plus_trail,q4_ge_10pct,12,0.25,-0.20353333333333323,-2.442399999999999
po3_bullish,chandelier_3x,q4_ge_10pct,12,0.25,-0.5548166666666666,-6.6578
po3_bullish,class_time_stop,q4_ge_10pct,12,0.5833333333333334,0.3060000000000001,3.672000000000001
po3_bullish,earnings_blackout,q4_ge_10pct,12,0.4166666666666667,-7.643533333333333,-91.7224
po3_bullish,fixed_4r_2r,q4_ge_10pct,12,0.3333333333333333,-1.1683333333333334,-14.020000000000001
po3_bullish,hybrid_50pct_target,q4_ge_10pct,12,0.6666666666666666,1.2963416666666665,15.556099999999997
po3_bullish,ma_exit_ema9,q4_ge_10pct,12,0.16666666666666666,-1.7699999999999998,-21.24
po3_bullish,mfe_lockin_trail,q4_ge_10pct,12,0.25,-0.6925416666666666,-8.3105
po3_bullish,multi_tier_partial,q4_ge_10pct,12,0.4166666666666667,-0.6061416666666667,-7.273700000000001
po3_bullish,next_pivot_target,q4_ge_10pct,12,0.75,0.2054416666666665,2.465299999999998
po3_bullish,r_multiple_2r,q4_ge_10pct,12,0.16666666666666666,-1.3965499999999997,-16.758599999999998
po3_bullish,r_multiple_3r,q4_ge_10pct,12,0.08333333333333333,-1.9817833333333332,-23.781399999999998
po3_bullish,regime_flip,q4_ge_10pct,12,0.5833333333333334,1.0022666666666664,12.027199999999997
po3_bullish,reverse_signal,q4_ge_10pct,12,0.25,-0.7901083333333334,-9.481300000000001
po3_bullish,smc_mitigation_zone,q4_ge_10pct,12,0.25,-0.6517416666666668,-7.820900000000001
