date,level,event,dd_from_peak,rolling_peak_equity,current_equity,z_score,today_dispersion
2022-06-27,6.0,halt_triggered,-0.2236,100000.0,77642.05,,
2022-08-29,6.0,halt_triggered,-0.3109,100000.0,68913.2,,
2022-10-31,6.0,halt_triggered,-0.3379,100000.0,66206.16,,
2023-01-02,6.0,halt_triggered,-0.3633,100000.0,63668.090000000004,,
2023-03-06,6.0,halt_triggered,-0.3638,100000.0,63618.51,,
2023-05-05,,dispersion_cb_triggered_dec128,,,,5.7265,0.066198
2023-05-08,6.0,halt_triggered,-0.3925,100000.0,60748.74,,
2023-07-07,,dispersion_cb_triggered_dec128,,,,4.0805,0.063635
2023-07-10,6.0,halt_triggered,-0.3925,100000.0,60748.74,,
2023-09-11,6.0,halt_triggered,-0.4025,100000.0,59753.16,,
2023-11-13,6.0,halt_triggered,-0.4366,100000.0,56342.7,,
2023-12-13,6.0,halt_resumed,-0.4063,100000.0,59368.08,,
2023-12-14,6.0,halt_triggered,-0.4063,100000.0,59368.08,,
2024-02-13,6.0,halt_triggered,-0.4075,100000.0,59251.43,,
2024-04-12,6.0,halt_resumed,-0.3852,100000.0,61483.97,,
2024-04-15,6.0,halt_triggered,-0.3425,100000.0,65754.37,,
2024-06-03,6.0,halt_resumed,-0.3044,100000.0,69564.19,,
2024-06-04,6.0,halt_triggered,-0.3044,100000.0,69564.19,,
2024-08-02,6.0,halt_resumed,-0.2215,100000.0,77853.42,,
2024-08-05,6.0,halt_triggered,-0.2232,100000.0,77681.95,,
2024-10-07,6.0,halt_triggered,-0.2153,100000.0,78471.91,,
2024-12-09,6.0,halt_triggered,-0.2153,100000.0,78471.91,,
2025-02-10,6.0,halt_triggered,-0.2153,100000.0,78471.91,,
2025-04-14,6.0,halt_triggered,-0.2254,100000.0,77464.70999999999,,
2025-06-16,6.0,halt_triggered,-0.257,100000.0,74301.32,,
2025-08-18,6.0,halt_triggered,-0.259,100000.0,74098.34,,
2025-10-20,6.0,halt_triggered,-0.2659,100000.0,73411.70999999999,,
2025-12-22,6.0,halt_triggered,-0.2704,100000.0,72963.69,,
2026-02-23,6.0,halt_triggered,-0.3001,100000.0,69991.36,,
2026-04-27,6.0,halt_triggered,-0.2905,100000.0,70954.79000000001,,
