strategy,exit_method,universe_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
break_retest_confluence,break_even_at_1r,T1c,4,0.25,2.503775,10.0151
break_retest_confluence,breakeven_plus_trail,T1a,1,0.0,-5.4958,-5.4958
break_retest_confluence,breakeven_plus_trail,T1c,4,0.25,5.84455,23.3782
break_retest_confluence,class_time_stop,T1a,1,0.0,-13.2631,-13.2631
break_retest_confluence,class_time_stop,T1c,4,0.75,5.327075000000001,21.308300000000003
break_retest_confluence,earnings_blackout,T1a,1,1.0,85.7894,85.7894
break_retest_confluence,earnings_blackout,T1c,4,0.0,-63.598524999999995,-254.39409999999998
break_retest_confluence,fixed_4r_2r,T1a,1,0.0,-5.4958,-5.4958
break_retest_confluence,fixed_4r_2r,T1c,4,0.25,1.1467249999999998,4.586899999999999
break_retest_confluence,hybrid_50pct_target,T1a,1,0.0,-10.0,-10.0
break_retest_confluence,hybrid_50pct_target,T1c,4,0.75,-13.983024999999998,-55.93209999999999
break_retest_confluence,ma_exit_ema9,T1a,1,0.0,-0.7924,-0.7924
break_retest_confluence,ma_exit_ema9,T1c,4,0.5,-0.6164499999999999,-2.4657999999999998
break_retest_confluence,next_pivot_target,T1a,1,0.0,-10.0,-10.0
break_retest_confluence,next_pivot_target,T1c,4,1.0,3.7568,15.0272
break_retest_confluence,r_multiple_2r,T1a,1,0.0,-2.7479,-2.7479
break_retest_confluence,r_multiple_2r,T1c,4,0.5,3.112825,12.4513
break_retest_confluence,r_multiple_3r,T1a,1,0.0,-2.7479,-2.7479
break_retest_confluence,r_multiple_3r,T1c,4,0.25,2.16975,8.679
break_retest_confluence,regime_flip,T1a,1,0.0,-13.2786,-13.2786
break_retest_confluence,regime_flip,T1c,4,0.5,3.4003499999999995,13.601399999999998
break_retest_confluence,time_stop_10d,T1a,1,0.0,-10.2249,-10.2249
break_retest_confluence,time_stop_10d,T1c,4,0.5,5.102925,20.4117
break_retest_confluence,time_stop_20d,T1a,1,0.0,-13.2786,-13.2786
break_retest_confluence,time_stop_20d,T1c,4,0.5,3.4003499999999995,13.601399999999998
break_retest_confluence,trailing_10pct,T1a,1,0.0,-9.4266,-9.4266
break_retest_confluence,trailing_10pct,T1c,4,0.25,0.3688499999999999,1.4753999999999996
break_retest_confluence,trailing_15pct,T1a,1,0.0,-14.3098,-14.3098
break_retest_confluence,trailing_15pct,T1c,4,0.25,1.8560749999999997,7.424299999999999
break_retest_confluence,trailing_5pct,T1a,1,0.0,-4.9855,-4.9855
break_retest_confluence,trailing_5pct,T1c,4,0.5,-1.0468,-4.1872
cpr_narrow_bullish,atr_trail_1x,T1a,9,0.3333333333333333,-0.6511999999999999,-5.860799999999999
cpr_narrow_bullish,atr_trail_1x,T1c,36,0.3333333333333333,-0.7067055555555556,-25.4414
cpr_narrow_bullish,atr_trail_2x,T1a,9,0.4444444444444444,0.9206444444444445,8.2858
cpr_narrow_bullish,atr_trail_2x,T1c,36,0.3888888888888889,-30.70691666666666,-1105.4489999999998
cpr_narrow_bullish,break_even_at_1r,T1a,9,0.0,-1.046611111111111,-9.4195
cpr_narrow_bullish,break_even_at_1r,T1c,36,0.2222222222222222,3.8422888888888895,138.32240000000002
cpr_narrow_bullish,breakeven_plus_trail,T1a,9,0.3333333333333333,-0.7641888888888888,-6.877699999999999
cpr_narrow_bullish,breakeven_plus_trail,T1c,36,0.5277777777777778,10.614038888888889,382.1054
cpr_narrow_bullish,class_time_stop,T1a,9,0.7777777777777778,3.950088888888889,35.5508
cpr_narrow_bullish,class_time_stop,T1c,36,0.4722222222222222,-25.058138888888887,-902.093
cpr_narrow_bullish,earnings_blackout,T1a,9,0.4444444444444444,-0.4730888888888906,-4.257800000000016
cpr_narrow_bullish,earnings_blackout,T1c,36,0.6666666666666666,-66.64821666666666,-2399.3357999999994
cpr_narrow_bullish,fixed_4r_2r,T1a,9,0.4444444444444444,2.9029777777777777,26.1268
cpr_narrow_bullish,fixed_4r_2r,T1c,36,0.4722222222222222,1.5788972222222224,56.840300000000006
cpr_narrow_bullish,hybrid_50pct_target,T1a,9,0.7777777777777778,1.6185222222222224,14.5667
cpr_narrow_bullish,hybrid_50pct_target,T1c,36,0.5555555555555556,-35.8662,-1291.1832
cpr_narrow_bullish,ma_exit_ema9,T1a,9,0.3333333333333333,1.0764444444444443,9.687999999999999
cpr_narrow_bullish,ma_exit_ema9,T1c,36,0.3888888888888889,-32.199261111111106,-1159.1734
cpr_narrow_bullish,next_pivot_target,T1a,9,1.0,1.3415888888888887,12.0743
cpr_narrow_bullish,next_pivot_target,T1c,36,0.8055555555555556,0.21563333333333337,7.762800000000001
cpr_narrow_bullish,r_multiple_2r,T1a,9,0.5555555555555556,2.1832555555555557,19.6493
cpr_narrow_bullish,r_multiple_2r,T1c,36,0.5277777777777778,2.0160111111111108,72.57639999999999
cpr_narrow_bullish,r_multiple_3r,T1a,9,0.4444444444444444,2.6743222222222225,24.068900000000003
cpr_narrow_bullish,r_multiple_3r,T1c,36,0.4722222222222222,3.0035250000000002,108.1269
cpr_narrow_bullish,regime_flip,T1a,9,0.7777777777777778,3.298055555555555,29.682499999999997
cpr_narrow_bullish,regime_flip,T1c,36,0.5555555555555556,-25.67764722222222,-924.3952999999999
cpr_narrow_bullish,time_stop_10d,T1a,9,0.6666666666666666,1.3909333333333334,12.5184
cpr_narrow_bullish,time_stop_10d,T1c,36,0.5833333333333334,3.3190722222222226,119.48660000000001
cpr_narrow_bullish,time_stop_20d,T1a,9,0.7777777777777778,3.298055555555555,29.682499999999997
cpr_narrow_bullish,time_stop_20d,T1c,36,0.5555555555555556,-25.67764722222222,-924.3952999999999
cpr_narrow_bullish,trailing_10pct,T1a,9,0.3333333333333333,-1.6115888888888887,-14.504299999999999
cpr_narrow_bullish,trailing_10pct,T1c,36,0.5277777777777778,-24.566163888888887,-884.3819
cpr_narrow_bullish,trailing_15pct,T1a,9,0.1111111111111111,6.051344444444444,54.4621
cpr_narrow_bullish,trailing_15pct,T1c,36,0.4722222222222222,-22.107961111111113,-795.8866
cpr_narrow_bullish,trailing_5pct,T1a,9,0.3333333333333333,-0.1621666666666668,-1.4595000000000011
cpr_narrow_bullish,trailing_5pct,T1c,36,0.3333333333333333,-32.84553888888889,-1182.4394
hull_rsi,atr_trail_1x,T1a,2,0.0,-1.675,-3.35
hull_rsi,atr_trail_1x,T1c,15,0.13333333333333333,-2.8295933333333334,-42.4439
hull_rsi,atr_trail_2x,T1a,2,0.5,-0.9818499999999999,-1.9636999999999998
