strategy,exit_method,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_tight,trailing_5pct,long_ge_11d,19,0.15789473684210525,-1.1640052631578948,-22.1161
bollinger_tight,trailing_5pct,medium_4_10d,2,0.5,0.9612,1.9224
break_retest_confluence,atr_trail_1x,long_ge_11d,4,0.75,0.062975,0.2519
break_retest_confluence,atr_trail_1x,medium_4_10d,1,0.0,-1.834,-1.834
break_retest_confluence,atr_trail_2x,long_ge_11d,4,0.5,3.07855,12.3142
break_retest_confluence,atr_trail_2x,medium_4_10d,1,0.0,-4.9855,-4.9855
break_retest_confluence,break_even_at_1r,long_ge_11d,4,0.25,2.503775,10.0151
break_retest_confluence,break_even_at_1r,medium_4_10d,1,0.0,-2.7479,-2.7479
break_retest_confluence,breakeven_plus_trail,long_ge_11d,4,0.25,5.84455,23.3782
break_retest_confluence,breakeven_plus_trail,medium_4_10d,1,0.0,-5.4958,-5.4958
break_retest_confluence,class_time_stop,long_ge_11d,4,0.75,5.327075000000001,21.308300000000003
break_retest_confluence,class_time_stop,medium_4_10d,1,0.0,-13.2631,-13.2631
break_retest_confluence,earnings_blackout,long_ge_11d,4,0.0,-63.598524999999995,-254.39409999999998
break_retest_confluence,earnings_blackout,medium_4_10d,1,1.0,85.7894,85.7894
break_retest_confluence,fixed_4r_2r,long_ge_11d,4,0.25,1.1467249999999998,4.586899999999999
break_retest_confluence,fixed_4r_2r,medium_4_10d,1,0.0,-5.4958,-5.4958
break_retest_confluence,hybrid_50pct_target,long_ge_11d,4,0.75,-13.983024999999998,-55.93209999999999
break_retest_confluence,hybrid_50pct_target,medium_4_10d,1,0.0,-10.0,-10.0
break_retest_confluence,ma_exit_ema9,long_ge_11d,4,0.5,-0.6164499999999999,-2.4657999999999998
break_retest_confluence,ma_exit_ema9,medium_4_10d,1,0.0,-0.7924,-0.7924
break_retest_confluence,next_pivot_target,long_ge_11d,4,1.0,3.7568,15.0272
break_retest_confluence,next_pivot_target,medium_4_10d,1,0.0,-10.0,-10.0
break_retest_confluence,r_multiple_2r,long_ge_11d,4,0.5,3.112825,12.4513
break_retest_confluence,r_multiple_2r,medium_4_10d,1,0.0,-2.7479,-2.7479
break_retest_confluence,r_multiple_3r,long_ge_11d,4,0.25,2.16975,8.679
break_retest_confluence,r_multiple_3r,medium_4_10d,1,0.0,-2.7479,-2.7479
break_retest_confluence,regime_flip,long_ge_11d,4,0.5,3.4003499999999995,13.601399999999998
break_retest_confluence,regime_flip,medium_4_10d,1,0.0,-13.2786,-13.2786
break_retest_confluence,time_stop_10d,long_ge_11d,4,0.5,5.102925,20.4117
break_retest_confluence,time_stop_10d,medium_4_10d,1,0.0,-10.2249,-10.2249
break_retest_confluence,time_stop_20d,long_ge_11d,4,0.5,3.4003499999999995,13.601399999999998
break_retest_confluence,time_stop_20d,medium_4_10d,1,0.0,-13.2786,-13.2786
break_retest_confluence,trailing_10pct,long_ge_11d,4,0.25,0.3688499999999999,1.4753999999999996
break_retest_confluence,trailing_10pct,medium_4_10d,1,0.0,-9.4266,-9.4266
break_retest_confluence,trailing_15pct,long_ge_11d,4,0.25,1.8560749999999997,7.424299999999999
break_retest_confluence,trailing_15pct,medium_4_10d,1,0.0,-14.3098,-14.3098
break_retest_confluence,trailing_5pct,long_ge_11d,4,0.5,-1.0468,-4.1872
break_retest_confluence,trailing_5pct,medium_4_10d,1,0.0,-4.9855,-4.9855
cpr_narrow_bullish,atr_trail_1x,long_ge_11d,37,0.35135135135135137,-0.41659999999999997,-15.4142
cpr_narrow_bullish,atr_trail_1x,medium_4_10d,6,0.3333333333333333,-1.0082166666666668,-6.049300000000001
cpr_narrow_bullish,atr_trail_1x,short_le_3d,2,0.0,-4.91935,-9.8387
cpr_narrow_bullish,atr_trail_2x,long_ge_11d,37,0.4864864864864865,-28.285118918918915,-1046.5493999999999
cpr_narrow_bullish,atr_trail_2x,medium_4_10d,6,0.0,-5.001683333333333,-30.0101
cpr_narrow_bullish,atr_trail_2x,short_le_3d,2,0.0,-10.30185,-20.6037
cpr_narrow_bullish,break_even_at_1r,long_ge_11d,37,0.1891891891891892,3.9276405405405406,145.3227
cpr_narrow_bullish,break_even_at_1r,medium_4_10d,6,0.16666666666666666,-1.09685,-6.5811
cpr_narrow_bullish,break_even_at_1r,short_le_3d,2,0.0,-4.91935,-9.8387
cpr_narrow_bullish,breakeven_plus_trail,long_ge_11d,37,0.5675675675675675,11.691127027027028,432.5717
cpr_narrow_bullish,breakeven_plus_trail,medium_4_10d,6,0.16666666666666666,-6.277766666666666,-37.666599999999995
cpr_narrow_bullish,breakeven_plus_trail,short_le_3d,2,0.0,-9.8387,-19.6774
cpr_narrow_bullish,class_time_stop,long_ge_11d,37,0.6216216216216216,-21.018462162162162,-777.6831
cpr_narrow_bullish,class_time_stop,medium_4_10d,6,0.16666666666666666,-10.829416666666667,-64.9765
