date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price
2022-05-09,dispersion_cb_triggered_dec128,3.4106,0.032507,,,,,,,
2022-07-01,halt_triggered,,,6.0,-0.2169,100000.0,78307.53,,,
2022-08-31,halt_triggered,,,6.0,-0.2668,100000.0,73315.63,,,
2022-11-01,halt_triggered,,,6.0,-0.2527,100000.0,74731.58,,,
2022-11-16,,,,1.0,,,,AAP,overnight_gap_down_15.7pct,155.0
2023-01-03,halt_triggered,,,6.0,-0.2844,100000.0,71562.98999999999,,,
2023-03-07,halt_triggered,,,6.0,-0.3207,100000.0,67928.67,,,
2023-05-09,halt_triggered,,,6.0,-0.3283,100000.0,67170.19,,,
2023-07-11,halt_triggered,,,6.0,-0.3499,100000.0,65008.63,,,
2023-09-12,halt_triggered,,,6.0,-0.3803,100000.0,61970.29,,,
2023-11-14,halt_triggered,,,6.0,-0.4075,100000.0,59248.29,,,
2023-12-22,halt_resumed,,,6.0,-0.3727,100000.0,62725.86,,,
2023-12-25,halt_triggered,,,6.0,-0.3727,100000.0,62725.86,,,
2024-02-26,halt_triggered,,,6.0,-0.3612,100000.0,63883.95,,,
2024-04-29,halt_triggered,,,6.0,-0.3591,100000.0,64093.04,,,
2024-07-01,halt_triggered,,,6.0,-0.3668,100000.0,63319.0,,,
2024-07-24,halt_resumed,,,6.0,-0.3507,100000.0,64934.41,,,
2024-07-25,halt_triggered,,,6.0,-0.3588,100000.0,64115.57,,,
2024-08-02,halt_resumed,,,6.0,-0.2307,100000.0,76928.61,,,
2024-08-05,halt_triggered,,,6.0,-0.2317,100000.0,76826.76,,,
2024-10-07,halt_triggered,,,6.0,-0.2414,100000.0,75863.53,,,
2024-12-09,halt_triggered,,,6.0,-0.2414,100000.0,75863.53,,,
2025-02-10,halt_triggered,,,6.0,-0.2459,100000.0,75406.88,,,
2025-04-14,halt_triggered,,,6.0,-0.2459,100000.0,75406.88,,,
2025-06-16,halt_triggered,,,6.0,-0.3015,100000.0,69845.16,,,
2025-08-18,halt_triggered,,,6.0,-0.2867,100000.0,71327.16,,,
2025-10-10,halt_resumed,,,6.0,-0.2316,100000.0,76839.88,,,
2025-10-13,halt_triggered,,,6.0,-0.2316,100000.0,76839.88,,,
2025-10-16,halt_resumed,,,6.0,-0.2072,100000.0,79284.68,,,
2025-10-17,halt_triggered,,,6.0,-0.2072,100000.0,79284.68,,,
2025-12-17,halt_triggered,,,6.0,-0.2112,100000.0,78877.4,,,
2026-02-17,halt_triggered,,,6.0,-0.2136,100000.0,78637.8,,,
2026-04-21,halt_triggered,,,6.0,-0.2022,100000.0,79783.39,,,
2022-05-05,dispersion_cb_triggered_dec128,3.6024,0.033059,,,,,,,
2022-05-26,,,,1.0,,,,DG,overnight_gap_up_15.1pct,224.78
2022-06-13,halt_triggered,,,6.0,-0.2047,100099.88,79609.7,,,
2022-08-18,halt_triggered,,,6.0,-0.2088,100099.88,79198.93,,,
2022-10-18,halt_triggered,,,6.0,-0.3791,100099.88,62148.44,,,
2022-12-20,halt_triggered,,,6.0,-0.3695,100099.88,63109.34,,,
2023-02-21,halt_triggered,,,6.0,-0.3821,100099.88,61851.92,,,
2023-04-25,,,,1.0,,,,FRC,overnight_gap_down_23.7pct,12.21
2023-04-25,halt_triggered,,,6.0,-0.4166,100099.88,58393.84,,,
2023-06-27,halt_triggered,,,6.0,-0.45,100099.88,55059.32,,,
2023-08-29,halt_triggered,,,6.0,-0.462,100099.88,53852.38,,,
2023-10-31,halt_triggered,,,6.0,-0.4735,100099.88,52701.66,,,
2024-01-02,halt_triggered,,,6.0,-0.5269,100099.88,47359.98,,,
2024-01-24,,,,1.0,,,,DD,overnight_gap_down_13.7pct,26.9665
2024-03-04,dispersion_cb_triggered_dec128,9.1147,0.054284,,,,,,,
2024-03-05,halt_triggered,,,6.0,-0.569,100099.88,43146.62,,,
2024-03-13,,,,1.0,,,,DLTR,overnight_gap_down_13.7pct,129.15
