strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
ichimoku_cloud_breakout,break_even_at_1r,8,0.0,0.0,-3.3416,-26.7328,-24.476,8.5,0.0,False
supertrend_macd,earnings_blackout,10,1.0,999.0,272.917,2729.1695,0.0,898.2,100.0,True
supertrend_macd,ma_exit_ema9,10,0.3,2.7804,2.2994,22.9937,-7.0981,5.8,61.35,False
supertrend_macd,r_multiple_2r,10,0.5,2.4062,3.6108,36.1083,-12.6386,10.1,61.04,False
supertrend_macd,r_multiple_3r,10,0.4,2.0851,3.6228,36.2277,-12.6386,17.6,57.04,False
supertrend_macd,atr_trail_2x,10,0.5,2.6809,5.4674,54.6735,-17.809,19.6,53.29,False
supertrend_macd,trailing_15pct,10,0.4,2.0353,6.0685,60.6853,-23.8315,96.2,46.0,False
supertrend_macd,breakeven_plus_trail,10,0.3,2.4059,3.8797,38.7972,-21.1984,35.4,42.0,False
supertrend_macd,atr_trail_1x,10,0.5,1.2132,0.3288,3.2884,-12.759,4.9,37.26,False
supertrend_macd,next_pivot_target,10,0.7,0.8004,-0.6042,-6.0417,-14.7824,5.7,35.83,False
supertrend_macd,hybrid_50pct_target,10,0.4,1.5183,3.1096,31.096,-20.0,61.4,31.55,False
supertrend_macd,time_stop_10d,10,0.5,1.2453,0.975,9.7498,-25.7256,14.6,27.36,False
supertrend_macd,fixed_4r_2r,10,0.4,1.3629,2.4944,24.9435,-25.277,28.6,26.89,False
supertrend_macd,time_stop_20d,10,0.4,1.2185,1.6806,16.8062,-47.4138,28.9,22.55,False
supertrend_macd,regime_flip,10,0.4,1.2185,1.6806,16.8062,-47.4138,28.9,22.55,False
supertrend_macd,trailing_10pct,10,0.2,1.3656,1.6062,16.0625,-42.3065,34.4,18.97,False
supertrend_macd,break_even_at_1r,10,0.1,1.3193,0.5659,5.659,-17.7219,23.6,17.0,False
supertrend_macd,class_time_stop,10,0.4,0.9168,-0.6763,-6.7633,-56.9575,36.1,16.0,False
supertrend_macd,trailing_5pct,10,0.3,0.7686,-0.445,-4.4503,-19.2351,4.9,13.15,False
bollinger_tight,next_pivot_target,21,1.0,999.0,3.3934,71.262,0.0,5.2,100.0,True
bollinger_tight,ma_exit_ema9,21,0.5714,3.4146,1.8061,37.9274,-8.088,2.0,70.72,False
bollinger_tight,earnings_blackout,21,0.9524,89.1911,189.4365,3978.1662,-45.1085,810.0,68.1,False
bollinger_tight,r_multiple_2r,21,0.5238,2.7351,2.9594,62.1467,-13.5729,9.7,60.59,False
bollinger_tight,time_stop_20d,21,0.619,2.4782,4.1347,86.8285,-36.4585,28.4,54.76,False
bollinger_tight,regime_flip,21,0.619,2.4782,4.1347,86.8285,-36.4585,28.4,54.76,False
bollinger_tight,breakeven_plus_trail,21,0.3333,6.0812,6.9938,146.869,-16.1289,34.2,49.14,False
bollinger_tight,time_stop_10d,21,0.4762,2.105,2.4388,51.2153,-29.8381,14.2,49.05,False
bollinger_tight,trailing_15pct,21,0.4286,4.0521,19.4134,407.6815,-88.7382,160.8,47.14,False
bollinger_tight,fixed_4r_2r,21,0.4286,2.048,4.187,87.9266,-51.0611,25.8,47.14,False
bollinger_tight,atr_trail_2x,21,0.381,3.2603,4.7399,99.5384,-19.3369,19.5,46.23,False
bollinger_tight,hybrid_50pct_target,21,0.5238,1.8361,3.9815,83.612,-66.2555,73.0,46.04,False
bollinger_tight,break_even_at_1r,21,0.0952,5.3911,3.6599,76.8587,-11.9256,11.2,45.92,False
bollinger_tight,r_multiple_3r,21,0.381,2.5273,3.2652,68.5702,-25.0935,13.0,45.24,False
bollinger_tight,trailing_10pct,21,0.2857,2.6978,5.8615,123.0919,-50.8088,63.2,41.43,False
bollinger_tight,class_time_stop,21,0.4762,1.4108,2.7173,57.0631,-93.8556,35.5,31.37,False
bollinger_tight,atr_trail_1x,21,0.3333,0.64,-0.4175,-8.7682,-17.6877,4.9,16.8,False
bollinger_tight,trailing_5pct,21,0.1905,0.2511,-0.9616,-20.1937,-23.5824,8.9,7.62,False
stochrsi_oversold,earnings_blackout,13,1.0,999.0,181.4749,2359.1739,0.0,761.3,100.0,True
stochrsi_oversold,ma_exit_ema9,13,0.5385,1.8527,0.7667,9.9667,-7.4071,2.5,66.01,False
stochrsi_oversold,class_time_stop,13,0.7692,2.2655,4.0559,52.7263,-38.8309,36.0,60.77,False
stochrsi_oversold,hybrid_50pct_target,13,0.6154,2.1557,4.4449,57.7833,-30.0,49.8,54.62,False
stochrsi_oversold,break_even_at_1r,13,0.2308,2.3937,2.9181,37.9359,-15.4647,14.2,46.03,False
stochrsi_oversold,atr_trail_2x,13,0.3846,2.1551,4.0355,52.4611,-25.5224,20.2,45.38,False
stochrsi_oversold,next_pivot_target,13,0.7692,0.9193,-0.1936,-2.517,-11.1938,4.0,43.98,False
stochrsi_oversold,trailing_15pct,13,0.3846,1.9232,5.4915,71.3889,-62.8714,85.2,43.08,False
stochrsi_oversold,trailing_10pct,13,0.4615,1.7889,3.0202,39.262,-24.8599,32.2,42.13,False
stochrsi_oversold,breakeven_plus_trail,13,0.4615,1.7456,2.9256,38.0334,-35.9038,29.1,40.83,False
