strategy,exit_method,smart_money_signal_present,n,win_rate,avg_pnl_pct,total_pnl_pct
morning_star,regime_flip,no,5,0.2,-6.402760000000001,-32.0138
morning_star,time_stop_10d,no,5,0.0,-6.8873999999999995,-34.437
morning_star,time_stop_20d,no,5,0.2,-6.402760000000001,-32.0138
morning_star,trailing_10pct,no,5,0.0,-9.10098,-45.5049
morning_star,trailing_15pct,no,5,0.2,-3.2884599999999997,-16.4423
morning_star,trailing_5pct,no,5,0.0,-4.14184,-20.7092
stochrsi_oversold,atr_trail_1x,no,7,0.0,-2.7881,-19.5167
stochrsi_oversold,atr_trail_2x,no,7,0.14285714285714285,1.4973142857142858,10.481200000000001
stochrsi_oversold,break_even_at_1r,no,7,0.0,-2.646714285714286,-18.527
stochrsi_oversold,breakeven_plus_trail,no,7,0.14285714285714285,0.6339857142857142,4.437899999999999
stochrsi_oversold,class_time_stop,no,7,0.42857142857142855,4.462642857142856,31.238499999999995
stochrsi_oversold,earnings_blackout,no,7,0.5714285714285714,6.922642857142857,48.4585
stochrsi_oversold,fixed_3r_2r,no,7,0.14285714285714285,-2.8135857142857144,-19.6951
stochrsi_oversold,hybrid_50pct_target,no,7,0.5714285714285714,2.7611285714285714,19.3279
stochrsi_oversold,ma_exit_ema9,no,7,0.2857142857142857,-1.4069714285714288,-9.8488
stochrsi_oversold,next_pivot_target,no,7,0.2857142857142857,-4.741885714285715,-33.193200000000004
stochrsi_oversold,r_multiple_2r,no,7,0.0,-3.1499142857142854,-22.0494
stochrsi_oversold,r_multiple_3r,no,7,0.0,-3.1499142857142854,-22.0494
stochrsi_oversold,regime_flip,no,7,0.2857142857142857,-0.6196285714285718,-4.337400000000002
stochrsi_oversold,time_stop_10d,no,7,0.14285714285714285,-4.725914285714286,-33.0814
stochrsi_oversold,time_stop_20d,no,7,0.2857142857142857,-0.6196285714285718,-4.337400000000002
stochrsi_oversold,trailing_10pct,no,7,0.14285714285714285,-2.5993142857142857,-18.1952
stochrsi_oversold,trailing_15pct,no,7,0.2857142857142857,1.0269428571428574,7.188600000000001
stochrsi_oversold,trailing_5pct,no,7,0.0,-4.342757142857143,-30.3993
