strategy,regime,trades,win_rate,avg_pnl,total_roi
bollinger_lower,unknown,3,0.0,-8.1408,-24.4224
bollinger_tight,unknown,8,0.0,-9.2299,-73.839
cpr_narrow_bullish,unknown,7,0.2857,-1.6146,-11.3019
cpr_narrow_momentum,unknown,3,1.0,12.4523,37.3569
hull_rsi,unknown,5,0.6,7.9365,39.6827
macd_crossover,unknown,3,1.0,19.293,57.8789
macd_fast_crossover,unknown,3,1.0,19.6991,59.0974
morning_star,unknown,5,0.0,-9.3481,-46.7407
rsi_oversold,unknown,3,0.0,-10.2567,-30.7701
stochrsi_overbought_short,unknown,3,0.0,-10.2372,-30.7115
stochrsi_oversold,unknown,7,0.1429,-2.6892,-18.8244
supertrend_macd,unknown,3,0.6667,10.7017,32.1052
williams_stoch_dual,unknown,3,0.6667,13.4719,40.4158
