strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
orb_stocks_in_play_short,time_stop_10d,14,0.4286,0.6751,-1.5331,-21.4632,-56.5037,14.2,1.0,17.14,False
orb_stocks_in_play_short,trailing_10pct,14,0.4286,0.4995,-2.123,-29.7217,-35.6768,15.4,1.0,17.14,False
orb_stocks_in_play_short,hybrid_50pct_target,14,0.4286,0.0372,-176.1288,-2465.8029,-2264.6184,416.0,0.4286,17.14,False
orb_stocks_in_play_short,fixed_4r_2r,14,0.4286,0.6978,-4.7205,-66.0867,-139.0591,67.7,1.0,17.14,False
orb_stocks_in_play_short,smc_mitigation_zone,14,0.4286,0.2999,-3.3145,-46.4036,-47.3068,4.9,1.0,17.14,False
orb_stocks_in_play_short,class_time_stop,14,0.4286,0.2459,-13.0013,-182.0181,-207.9966,35.0,1.0,17.14,False
orb_stocks_in_play_short,chandelier_3x,14,0.3571,0.1571,-8.7617,-122.6638,-111.7269,27.6,1.0,14.28,False
orb_stocks_in_play_short,break_even_at_1r,14,0.3571,0.2818,-4.694,-65.7162,-66.3209,14.1,1.0,14.28,False
orb_stocks_in_play_short,regime_flip,14,0.3571,0.2988,-8.9388,-125.1426,-152.9484,28.5,1.0,14.28,False
orb_stocks_in_play_short,time_stop_20d,14,0.3571,0.2988,-8.9388,-125.1426,-152.9484,28.5,1.0,14.28,False
orb_stocks_in_play_short,atr_trail_2x,14,0.3571,0.19,-7.5965,-106.3509,-97.4731,23.4,1.0,14.28,False
orb_stocks_in_play_short,reverse_signal,14,0.2857,0.2164,-4.2656,-59.7188,-59.1753,8.9,1.0,11.43,False
orb_stocks_in_play_short,multi_tier_partial,14,0.2857,0.3676,-3.4425,-48.1948,-58.5113,8.9,1.0,11.43,False
orb_stocks_in_play_short,mfe_lockin_trail,14,0.2857,0.2634,-4.0095,-56.1332,-59.1753,8.9,1.0,11.43,False
orb_stocks_in_play_short,atr_trail_vix_conditional,14,0.2857,0.2621,-5.0332,-70.4645,-68.465,13.6,1.0,11.43,False
orb_stocks_in_play_short,r_multiple_3r,14,0.2857,0.6507,-2.8594,-40.0321,-59.7564,20.7,1.0,11.43,False
orb_stocks_in_play_short,atr_trail_mae_conditional,14,0.2857,0.2164,-4.2656,-59.7188,-59.1753,8.9,1.0,11.43,False
orb_stocks_in_play_short,atr_trail_1x,14,0.2857,0.2164,-4.2656,-59.7188,-59.1753,8.9,1.0,11.43,False
orb_stocks_in_play_short,ma_exit_ema9,14,0.2857,0.1967,-4.2278,-59.1895,-51.9023,9.9,1.0,11.43,False
orb_stocks_in_play_short,earnings_blackout,14,0.2857,0.0676,-181.5368,-2541.5145,-2412.0002,963.3,0.0,11.43,False
orb_stocks_in_play_short,r_multiple_2r,14,0.2857,0.4338,-4.6352,-64.893,-75.7746,13.6,1.0,11.43,False
orb_stocks_in_play_short,trailing_15pct,14,0.2143,0.1765,-5.2662,-73.7262,-61.5082,23.4,1.0,8.57,False
orb_stocks_in_play_short,trailing_5pct,14,0.1429,0.231,-2.0823,-29.1522,-29.9966,4.1,1.0,5.72,False
smc_inverse_fvg,r_multiple_2r,28,0.5,1.9326,2.4062,67.3722,-15.4036,12.4,0.9286,54.87,True
smc_inverse_fvg,breakeven_plus_trail,28,0.4286,2.334,3.2118,89.9309,-31.6535,39.4,0.9286,47.14,False
smc_inverse_fvg,earnings_blackout,28,0.4286,2.2677,34.8696,976.3476,-581.7862,693.8,0.0,47.14,False
smc_inverse_fvg,ma_exit_ema9,28,0.3929,1.8641,2.0672,57.8813,-20.4812,15.9,0.9643,41.64,False
smc_inverse_fvg,trailing_10pct,28,0.4286,1.7243,2.192,61.3755,-25.3466,39.3,0.9286,38.87,False
smc_inverse_fvg,chandelier_3x,28,0.5357,1.5691,1.9144,53.6044,-30.4433,31.8,0.9286,38.5,False
smc_inverse_fvg,time_stop_10d,28,0.5357,1.338,1.2518,35.0496,-31.321,14.0,1.0,31.57,False
smc_inverse_fvg,hybrid_50pct_target,28,0.6429,0.4851,-7.2881,-204.0654,-263.4201,157.8,0.7857,25.72,False
smc_inverse_fvg,class_time_stop,28,0.6071,1.0006,0.0033,0.0914,-46.6735,35.2,1.0,24.3,False
smc_inverse_fvg,regime_flip,28,0.5714,0.9815,-0.1135,-3.1785,-44.2399,28.2,1.0,22.86,False
smc_inverse_fvg,time_stop_20d,28,0.5714,0.9815,-0.1135,-3.1785,-44.2399,28.2,1.0,22.86,False
smc_inverse_fvg,trailing_5pct,28,0.3929,0.7077,-0.4919,-13.7728,-15.4485,9.8,0.9643,22.54,False
smc_inverse_fvg,r_multiple_3r,28,0.3571,1.2646,0.945,26.4591,-29.1972,16.1,0.9286,22.22,False
smc_inverse_fvg,atr_trail_2x,28,0.4286,1.1465,0.5816,16.2838,-32.1902,25.4,0.9286,21.54,False
smc_inverse_fvg,next_pivot_target,28,0.5357,0.9734,-0.1187,-3.3243,-61.6587,21.6,0.9286,21.43,False
smc_inverse_fvg,smc_mitigation_zone,28,0.3929,1.1524,0.2411,6.7511,-19.6801,5.5,0.9643,20.77,False
smc_inverse_fvg,trailing_15pct,28,0.3214,1.2261,1.0322,28.901,-59.0557,67.0,0.9286,19.64,False
smc_inverse_fvg,multi_tier_partial,28,0.4643,0.9324,-0.1397,-3.913,-31.4352,5.3,1.0,18.57,False
smc_inverse_fvg,mfe_lockin_trail,28,0.3214,0.5932,-0.8675,-24.2907,-29.6588,4.8,0.9643,12.86,False
smc_inverse_fvg,reverse_signal,28,0.3214,0.8283,-0.3661,-10.2497,-29.9581,5.8,0.9643,12.86,False
smc_inverse_fvg,atr_trail_mae_conditional,28,0.3214,0.8283,-0.3661,-10.2497,-29.9581,5.8,0.9643,12.86,False
smc_inverse_fvg,atr_trail_1x,28,0.3214,0.8283,-0.3661,-10.2497,-29.9581,5.8,0.9643,12.86,False
smc_inverse_fvg,fixed_4r_2r,28,0.3214,0.7284,-1.9367,-54.2266,-87.9327,38.2,0.9286,12.86,False
smc_inverse_fvg,break_even_at_1r,28,0.2143,1.1345,0.3106,8.696,-47.9653,19.4,0.9643,12.61,False
smc_inverse_fvg,atr_trail_vix_conditional,28,0.25,0.7177,-0.7716,-21.6057,-43.4964,13.0,0.9286,10.0,False
po3_bearish,time_stop_10d,19,0.6316,1.2659,1.5055,28.6049,-65.7252,14.3,1.0,33.24,True
po3_bearish,r_multiple_3r,19,0.3684,1.4802,2.0911,39.7315,-33.0954,12.2,1.0,29.14,False
po3_bearish,next_pivot_target,19,0.6842,0.8702,-0.6002,-11.4046,-40.083,9.8,1.0,27.37,False
po3_bearish,hybrid_50pct_target,19,0.6316,0.1725,-51.7183,-982.6483,-1086.2548,371.4,0.6316,25.26,False
po3_bearish,time_stop_20d,19,0.5263,0.8761,-0.733,-13.9274,-59.3993,28.7,1.0,21.05,False
po3_bearish,regime_flip,19,0.5263,0.8761,-0.733,-13.9274,-59.3993,28.7,1.0,21.05,False
po3_bearish,r_multiple_2r,19,0.4211,1.13,0.5385,10.2309,-31.6015,8.2,1.0,20.74,False
po3_bearish,smc_mitigation_zone,19,0.4211,0.3789,-1.5191,-28.8626,-42.0611,3.4,1.0,16.84,False
po3_bearish,multi_tier_partial,19,0.4211,0.3436,-1.9411,-36.8806,-40.8718,4.1,1.0,16.84,False
po3_bearish,breakeven_plus_trail,19,0.3684,0.5082,-3.4216,-65.01,-91.1094,20.4,1.0,14.74,False
po3_bearish,class_time_stop,19,0.3684,0.3624,-5.5909,-106.2262,-135.5301,36.1,1.0,14.74,False
po3_bearish,trailing_15pct,19,0.3684,0.5697,-2.9147,-55.3788,-83.2509,34.9,1.0,14.74,False
po3_bearish,earnings_blackout,19,0.3158,0.0699,-74.56,-1416.6399,-1407.3105,925.7,0.0,12.63,False
po3_bearish,trailing_10pct,19,0.3158,0.6247,-1.6728,-31.7838,-56.6973,14.2,1.0,12.63,False
po3_bearish,atr_trail_2x,19,0.3158,0.5336,-3.042,-57.7976,-76.3864,21.4,1.0,12.63,False
po3_bearish,reverse_signal,19,0.2632,0.197,-2.4422,-46.4022,-49.5557,4.3,1.0,10.53,False
po3_bearish,atr_trail_vix_conditional,19,0.2632,0.5264,-1.9183,-36.4468,-67.9944,12.2,1.0,10.53,False
po3_bearish,ma_exit_ema9,19,0.2632,0.5668,-1.7049,-32.3937,-48.169,10.3,1.0,10.53,False
po3_bearish,fixed_4r_2r,19,0.2632,0.4469,-6.0444,-114.844,-160.2245,33.2,1.0,10.53,False
po3_bearish,mfe_lockin_trail,19,0.2632,0.2393,-2.3136,-43.9584,-49.5557,4.3,1.0,10.53,False
po3_bearish,atr_trail_mae_conditional,19,0.2632,0.197,-2.4422,-46.4022,-49.5557,4.3,1.0,10.53,False
po3_bearish,atr_trail_1x,19,0.2632,0.197,-2.4422,-46.4022,-49.5557,4.3,1.0,10.53,False
po3_bearish,chandelier_3x,19,0.2105,0.2491,-5.3075,-100.8424,-99.6909,22.8,1.0,8.42,False
po3_bearish,trailing_5pct,19,0.2105,0.3973,-1.3328,-25.3231,-35.236,4.8,1.0,8.42,False
po3_bearish,break_even_at_1r,19,0.2105,0.5608,-1.5494,-29.4392,-45.388,9.3,1.0,8.42,False
htf_aligned_breakout_short,mfe_lockin_trail,13,0.3846,2.0911,2.3407,30.4294,-12.9759,8.7,1.0,55.92,True
htf_aligned_breakout_short,atr_trail_mae_conditional,13,0.3846,1.9819,2.1063,27.3823,-12.9759,8.8,1.0,55.38,False
htf_aligned_breakout_short,reverse_signal,13,0.3846,1.9819,2.1063,27.3823,-12.9759,8.8,1.0,55.38,False
htf_aligned_breakout_short,atr_trail_1x,13,0.3846,1.9819,2.1063,27.3823,-12.9759,8.8,1.0,55.38,False
htf_aligned_breakout_short,smc_mitigation_zone,13,0.3077,1.9113,2.0232,26.3015,-13.9495,7.8,1.0,48.72,False
htf_aligned_breakout_short,fixed_4r_2r,13,0.3846,1.7649,4.1832,54.3812,-28.3712,28.5,1.0,38.33,False
htf_aligned_breakout_short,trailing_10pct,13,0.5385,1.455,1.7953,23.3388,-27.944,50.1,0.9231,35.19,False
htf_aligned_breakout_short,multi_tier_partial,13,0.4615,1.0041,0.0086,0.112,-12.9759,8.4,1.0,29.12,False
htf_aligned_breakout_short,hybrid_50pct_target,13,0.6923,0.247,-29.6058,-384.8751,-453.6987,314.7,0.6154,27.69,False
htf_aligned_breakout_short,ma_exit_ema9,13,0.2308,1.5262,1.723,22.399,-23.9389,15.5,1.0,25.02,False
htf_aligned_breakout_short,breakeven_plus_trail,13,0.3846,1.2933,1.1691,15.1979,-26.1074,19.6,1.0,24.18,False
htf_aligned_breakout_short,time_stop_20d,13,0.3846,1.1263,0.6747,8.7716,-45.396,27.8,1.0,19.17,False
htf_aligned_breakout_short,regime_flip,13,0.3846,1.1263,0.6747,8.7716,-45.396,27.8,1.0,19.17,False
htf_aligned_breakout_short,next_pivot_target,13,0.4615,0.7089,-1.4458,-18.7954,-48.1127,20.1,1.0,18.46,False
htf_aligned_breakout_short,r_multiple_3r,13,0.2308,1.2502,0.9804,12.7451,-30.9376,12.4,1.0,16.74,False
htf_aligned_breakout_short,atr_trail_2x,13,0.3077,1.1065,0.4886,6.352,-33.2823,21.8,1.0,15.5,False
htf_aligned_breakout_short,class_time_stop,13,0.3846,0.7246,-2.4556,-31.9222,-80.0896,34.0,1.0,15.38,False
htf_aligned_breakout_short,trailing_15pct,13,0.3846,0.6318,-2.659,-34.5664,-59.1176,58.2,0.9231,15.38,False
htf_aligned_breakout_short,r_multiple_2r,13,0.2308,1.2034,0.797,10.3612,-33.3215,10.6,1.0,15.33,False
htf_aligned_breakout_short,atr_trail_vix_conditional,13,0.3077,1.0531,0.1673,2.1752,-23.254,10.2,1.0,13.9,False
htf_aligned_breakout_short,trailing_5pct,13,0.2308,0.7815,-0.4884,-6.3494,-17.6826,13.8,1.0,12.71,False
htf_aligned_breakout_short,time_stop_10d,13,0.3077,0.8925,-0.3914,-5.0882,-35.1158,14.4,1.0,12.31,False
htf_aligned_breakout_short,break_even_at_1r,13,0.2308,1.012,0.0301,0.3916,-18.2835,9.2,1.0,12.17,False
htf_aligned_breakout_short,chandelier_3x,13,0.2308,0.9615,-0.1936,-2.5173,-37.4279,26.5,1.0,9.23,False
htf_aligned_breakout_short,earnings_blackout,13,0.1538,0.012,-90.6617,-1178.6017,-985.2745,859.9,0.0,6.15,False
macd_fast_crossover,smc_mitigation_zone,6,0.3333,0.3573,-0.4743,-2.8457,-3.9878,5.5,1.0,37.35,True
macd_fast_crossover,time_stop_10d,6,0.3333,0.0637,-2.1467,-12.8802,-7.5494,15.0,1.0,32.01,False
macd_fast_crossover,trailing_5pct,6,0.3333,0.5547,-0.9026,-5.4155,-8.0739,24.2,1.0,31.22,False
macd_fast_crossover,mfe_lockin_trail,6,0.1667,0.3747,-1.1768,-7.0611,-3.9878,9.2,1.0,30.69,False
macd_fast_crossover,multi_tier_partial,6,0.1667,0.4303,-1.0721,-6.4328,-3.9878,9.2,1.0,30.69,False
macd_fast_crossover,atr_trail_mae_conditional,6,0.1667,0.3747,-1.1768,-7.0611,-3.9878,9.2,1.0,30.69,False
macd_fast_crossover,reverse_signal,6,0.1667,0.3747,-1.1768,-7.0611,-3.9878,9.2,1.0,30.69,False
