strategy,exit_reason,is_n,is_wr_pct,is_mean_pct,is_sum_pp,oos_n,oos_wr_pct,oos_mean_pct,oos_sum_pp
smc_order_block_bounce,trailing_stop,0.0,0.0,0.0,0.0,1.0,0.0,-10.93,-10.93
smc_premium_short,trailing_stop,1.0,0.0,-4.81,-4.81,0.0,0.0,0.0,0.0
stochrsi_overbought_short,time_stop_30d_mfe<0.5pct_batch213,1.0,0.0,-2.37,-2.37,0.0,0.0,0.0,0.0
stochrsi_overbought_short,trailing_stop,6.0,16.67,-6.0,-36.03,2.0,0.0,-4.24,-8.47
stochrsi_oversold,strategy_time_stop_10d_batch282,0.0,0.0,0.0,0.0,1.0,100.0,1.16,1.16
stochrsi_oversold,trailing_stop,0.0,0.0,0.0,0.0,1.0,0.0,-0.29,-0.29
ultimate_oscillator,trailing_stop,2.0,50.0,5.0,10.0,2.0,0.0,-9.47,-18.93
volume_spike_breakout,circuit_breaker_1,1.0,0.0,-14.41,-14.41,0.0,0.0,0.0,0.0
williams_r_oversold,end_of_backtest,0.0,0.0,0.0,0.0,1.0,100.0,25.17,25.17
williams_r_oversold,trailing_stop,2.0,50.0,29.8,59.61,2.0,50.0,20.8,41.6
xs_combined_momentum_low_ivol,trailing_stop,1.0,0.0,-11.25,-11.25,0.0,0.0,0.0,0.0
xs_low_beta_long,end_of_backtest,0.0,0.0,0.0,0.0,4.0,100.0,7.29,29.17
xs_low_beta_long,time_stop_20d_mfe<0.5pct_batch213,3.0,0.0,-3.0,-9.0,1.0,0.0,-2.2,-2.2
xs_low_beta_long,trailing_stop,14.0,21.43,1.11,15.49,8.0,62.5,2.43,19.41
xs_momentum_bottom_decile_short,trailing_stop,2.0,50.0,10.76,21.53,2.0,0.0,-10.39,-20.77
xs_momentum_top_decile,circuit_breaker_1,0.0,0.0,0.0,0.0,1.0,0.0,-6.26,-6.26
xs_momentum_top_decile,class_time_stop_factor_20d_batch284,6.0,33.33,1.59,9.51,3.0,100.0,9.96,29.88
xs_momentum_top_decile,trailing_stop,0.0,0.0,0.0,0.0,2.0,50.0,-2.26,-4.51
