strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
bollinger_lower,ma_exit_ema9,20,0.45,1.3476,0.3457,6.9148,-8.2646,1.0,1.0,46.03,True
hull_rsi,breakeven_plus_trail,13,0.5385,3.3284,5.5879,72.6423,-26.2516,34.6,1.0,51.54,True
orb_stocks_in_play_short,breakeven_plus_trail,14,0.6429,0.5269,-4.3837,-61.3715,-116.1021,25.8,1.0,25.72,True
smc_inverse_fvg,r_multiple_2r,28,0.5,1.9326,2.4062,67.3722,-15.4036,12.4,0.9286,54.87,True
po3_bearish,time_stop_10d,19,0.6316,1.2659,1.5055,28.6049,-65.7252,14.3,1.0,33.24,True
htf_aligned_breakout_short,mfe_lockin_trail,13,0.3846,2.0911,2.3407,30.4294,-12.9759,8.7,1.0,55.92,True
macd_fast_crossover,smc_mitigation_zone,6,0.3333,0.3573,-0.4743,-2.8457,-3.9878,5.5,1.0,37.35,True
stochrsi_overbought_short,multi_tier_partial,9,0.6667,3.9026,3.5455,31.9093,-5.3875,153.2,1.0,78.59,True
avwap_252_breakout,hybrid_50pct_target,8,1.0,999.0,6.7033,53.6266,0.0,101.2,0.875,100.0,True
orb_stocks_in_play_long,class_time_stop,35,0.6,3.2971,6.4255,224.8918,-57.8289,33.7,1.0,54.0,True
cpr_narrow_bullish,hybrid_50pct_target,18,0.5,1.3971,1.9857,35.7427,-50.0,38.8,0.9444,31.91,True
pivot_r1_breakout,chandelier_3x,10,0.5,1.9941,4.2736,42.7365,-13.5989,31.5,1.0,59.42,True
buyback_8k_recent_long,time_stop_10d,24,0.5833,1.704,2.2917,55.0005,-32.6937,13.9,1.0,44.45,True
xs_low_beta_long,next_pivot_target,30,0.9,2.2437,0.4582,13.7471,-5.1409,7.7,1.0,88.29,True
smc_bos_continuation,breakeven_plus_trail,19,0.5263,2.0353,2.6424,50.2058,-25.6546,28.9,1.0,51.05,True
po3_bullish,next_pivot_target,19,0.7895,0.5202,-0.7038,-13.3713,-17.5788,6.1,1.0,35.21,True
htf_aligned_breakout_long,trailing_15pct,16,0.375,2.2203,9.965,159.4392,-80.2838,78.9,0.9375,45.0,True
monthly_bias_momentum_long,time_stop_20d,26,0.5769,1.799,3.5687,92.786,-43.0621,28.7,1.0,47.05,True
smc_choch_reversal,time_stop_10d,19,0.6316,3.573,2.7749,52.7223,-11.241,13.9,1.0,68.4,True
xs_momentum_top_decile,next_pivot_target,12,0.8333,5.3286,2.7498,32.9973,-3.4242,6.8,1.0,88.2,True
avwap_50_reclaim,hybrid_50pct_target,18,0.9444,77.2478,9.6949,174.5084,-2.2887,119.0,0.8889,94.34,True
williams_r_oversold,fixed_4r_2r,5,0.8,6.0844,12.1965,60.9827,0.0,22.6,0.8,92.0,True
