strategy,exit_method,confidence_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,multi_tier_partial,VERY_HIGH,2,0.0,-2.0568,-4.1136
avwap_50_reclaim,next_pivot_target,HIGH,16,0.75,0.5146437500000002,8.234300000000003
avwap_50_reclaim,next_pivot_target,VERY_HIGH,2,1.0,0.42219999999999996,0.8443999999999999
avwap_50_reclaim,r_multiple_2r,HIGH,16,0.5,2.8269875,45.2318
avwap_50_reclaim,r_multiple_2r,VERY_HIGH,2,0.0,-2.0568,-4.1136
avwap_50_reclaim,r_multiple_3r,HIGH,16,0.4375,3.12913125,50.0661
avwap_50_reclaim,r_multiple_3r,VERY_HIGH,2,0.0,-2.0568,-4.1136
avwap_50_reclaim,regime_flip,HIGH,16,0.625,-9.36964375,-149.9143
avwap_50_reclaim,regime_flip,VERY_HIGH,2,0.5,0.1905,0.381
avwap_50_reclaim,reverse_signal,HIGH,16,0.4375,1.2661875,20.259
avwap_50_reclaim,reverse_signal,VERY_HIGH,2,0.0,-2.0568,-4.1136
avwap_50_reclaim,smc_mitigation_zone,HIGH,16,0.375,-0.08120625000000004,-1.2993000000000006
avwap_50_reclaim,smc_mitigation_zone,VERY_HIGH,2,0.0,-2.0568,-4.1136
avwap_50_reclaim,time_stop_10d,HIGH,16,0.75,-9.80323125,-156.8517
avwap_50_reclaim,time_stop_10d,VERY_HIGH,2,0.0,-3.23995,-6.4799
avwap_50_reclaim,time_stop_20d,HIGH,16,0.625,-9.36964375,-149.9143
avwap_50_reclaim,time_stop_20d,VERY_HIGH,2,0.5,0.1905,0.381
avwap_50_reclaim,trailing_10pct,HIGH,16,0.3125,0.5182062500000001,8.291300000000001
avwap_50_reclaim,trailing_10pct,VERY_HIGH,2,0.0,-4.8238,-9.6476
avwap_50_reclaim,trailing_15pct,HIGH,16,0.375,-0.2158375,-3.4534
avwap_50_reclaim,trailing_15pct,VERY_HIGH,2,0.0,-7.770300000000001,-15.540600000000001
avwap_50_reclaim,trailing_5pct,HIGH,16,0.375,-0.07491250000000005,-1.1986000000000008
avwap_50_reclaim,trailing_5pct,VERY_HIGH,2,0.0,-4.4258,-8.8516
bollinger_lower,atr_trail_1x,HIGH,19,0.15789473684210525,-1.9681842105263156,-37.3955
bollinger_lower,atr_trail_1x,VERY_HIGH,1,1.0,1.0733,1.0733
bollinger_lower,atr_trail_2x,HIGH,19,0.2631578947368421,-3.596857894736842,-68.3403
bollinger_lower,atr_trail_2x,VERY_HIGH,1,1.0,25.6891,25.6891
bollinger_lower,atr_trail_mae_conditional,HIGH,19,0.15789473684210525,-1.9681842105263156,-37.3955
bollinger_lower,atr_trail_mae_conditional,VERY_HIGH,1,1.0,1.0733,1.0733
bollinger_lower,atr_trail_vix_conditional,HIGH,19,0.21052631578947367,-1.9338315789473686,-36.7428
