strategy,exit_method,smart_money_signal_present,n,win_rate,avg_pnl_pct,total_pnl_pct
po3_htf_aligned_long,hybrid_50pct_target,yes,40,0.45,0.01255999999999997,0.5023999999999988
po3_htf_aligned_long,ma_exit_ema9,yes,40,0.25,0.7776574999999999,31.106299999999997
po3_htf_aligned_long,mfe_lockin_trail,yes,40,0.2,-2.279605,-91.1842
po3_htf_aligned_long,multi_tier_partial,yes,40,0.325,-2.0188975,-80.7559
po3_htf_aligned_long,next_pivot_target,yes,40,0.725,3.0113475000000003,120.45390000000002
po3_htf_aligned_long,r_multiple_2r,yes,40,0.35,0.16235749999999996,6.494299999999998
po3_htf_aligned_long,r_multiple_3r,yes,40,0.225,-0.5800375000000001,-23.201500000000003
po3_htf_aligned_long,regime_flip,yes,40,0.425,1.005225,40.209
po3_htf_aligned_long,reverse_signal,yes,40,0.2,-2.13808,-85.5232
po3_htf_aligned_long,smc_mitigation_zone,yes,40,0.2,-2.13808,-85.5232
po3_htf_aligned_long,time_stop_10d,yes,40,0.5,-1.5634850000000002,-62.53940000000001
po3_htf_aligned_long,time_stop_20d,yes,40,0.425,1.005225,40.209
po3_htf_aligned_long,trailing_10pct,yes,40,0.275,-1.1243600000000002,-44.97440000000001
po3_htf_aligned_long,trailing_15pct,yes,40,0.3,0.3196825000000004,12.787300000000016
po3_htf_aligned_long,trailing_5pct,yes,40,0.225,-1.554335,-62.1734
po3_htf_aligned_short,atr_trail_1x,yes,46,0.2391304347826087,-2.9574304347826086,-136.0418
po3_htf_aligned_short,atr_trail_2x,yes,46,0.3695652173913043,0.2868978260869566,13.197300000000002
po3_htf_aligned_short,atr_trail_mae_conditional,yes,46,0.2391304347826087,-2.9574304347826086,-136.0418
po3_htf_aligned_short,atr_trail_vix_conditional,yes,46,0.32608695652173914,-2.6252391304347826,-120.761
po3_htf_aligned_short,break_even_at_1r,yes,46,0.21739130434782608,-2.733078260869565,-125.7216
po3_htf_aligned_short,breakeven_plus_trail,yes,46,0.5434782608695652,4.834580434782609,222.3907
po3_htf_aligned_short,chandelier_3x,yes,46,0.21739130434782608,-2.131145652173913,-98.0327
