strategy,regime,trades,win_rate,avg_pnl,total_roi
avwap_50_reclaim,bull,4,1.0,6.1308,24.5232
bollinger_lower,bear,4,0.0,-1.8324,-7.3295
bollinger_lower,neutral,15,0.0667,-2.306,-34.5907
bollinger_tight,neutral,10,0.1,-4.8615,-48.6151
cpr_narrow_bullish,bull,8,0.375,0.0613,0.4908
cpr_narrow_bullish,neutral,9,0.2222,-3.2743,-29.4683
cpr_narrow_momentum,bear,6,0.0,-9.0947,-54.5684
hull_rsi,bear,12,0.0833,-3.6387,-43.6639
monthly_bias_momentum_long,bull,9,0.4444,7.3217,65.895
po3_bullish,neutral,8,0.25,-3.3752,-27.002
smc_choch_reversal,neutral,3,0.3333,-1.2129,-3.6388
stochrsi_oversold,neutral,4,0.5,-0.0357,-0.1426
totm_long,bear,4,0.0,-8.8285,-35.3141
xs_low_beta_long,bull,3,0.3333,6.385,19.1551
