strategy,exit_method,regime_changed_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,multi_tier_partial,no,19,0.21052631578947367,-0.579336842105263,-11.007399999999999
bollinger_lower,next_pivot_target,no,19,0.5263157894736842,-1.9042315789473683,-36.1804
bollinger_lower,r_multiple_2r,no,19,0.15789473684210525,-0.9622,-18.2818
bollinger_lower,r_multiple_3r,no,19,0.10526315789473684,-0.5889315789473684,-11.189699999999998
bollinger_lower,regime_flip,no,19,0.3684210526315789,0.8178789473684208,15.539699999999996
bollinger_lower,reverse_signal,no,19,0.15789473684210525,-0.303242105263158,-5.761600000000001
bollinger_lower,smc_mitigation_zone,no,19,0.3157894736842105,-0.2393684210526316,-4.548
bollinger_lower,time_stop_10d,no,19,0.3157894736842105,-0.46094736842105277,-8.758000000000003
bollinger_lower,time_stop_20d,no,19,0.3684210526315789,0.8178789473684208,15.539699999999996
bollinger_lower,trailing_10pct,no,19,0.2631578947368421,-3.5954526315789477,-68.31360000000001
bollinger_lower,trailing_15pct,no,19,0.21052631578947367,-4.621063157894736,-87.80019999999999
bollinger_lower,trailing_5pct,no,19,0.05263157894736842,-2.982015789473684,-56.6583
bollinger_tight,atr_trail_1x,no,10,0.1,-1.28316,-12.8316
bollinger_tight,atr_trail_2x,no,10,0.2,-3.33646,-33.3646
bollinger_tight,atr_trail_mae_conditional,no,10,0.1,-1.28316,-12.8316
bollinger_tight,atr_trail_vix_conditional,no,10,0.1,-1.83879,-18.3879
bollinger_tight,break_even_at_1r,no,10,0.1,-1.26896,-12.6896
bollinger_tight,breakeven_plus_trail,no,10,0.2,-0.6575199999999999,-6.575199999999999
bollinger_tight,chandelier_3x,no,10,0.0,-0.50424,-5.0424
bollinger_tight,class_time_stop,no,10,0.3,-2.61578,-26.1578
bollinger_tight,earnings_blackout,no,10,0.6,29.40808,294.0808
bollinger_tight,fixed_4r_2r,no,10,0.1,-2.67949,-26.7949
bollinger_tight,hybrid_50pct_target,no,10,0.5,-1.09024,-10.9024
bollinger_tight,ma_exit_ema9,no,10,0.4,-0.21093,-2.1093
bollinger_tight,mfe_lockin_trail,no,10,0.1,-1.01957,-10.1957
bollinger_tight,multi_tier_partial,no,10,0.2,-0.9922600000000001,-9.922600000000001
bollinger_tight,next_pivot_target,no,10,0.8,-0.060819999999999964,-0.6081999999999996
bollinger_tight,r_multiple_2r,no,10,0.2,-0.5149500000000001,-5.1495000000000015
bollinger_tight,r_multiple_3r,no,10,0.1,-0.7008599999999999,-7.0085999999999995
bollinger_tight,regime_flip,no,10,0.2,-1.0215999999999998,-10.216
bollinger_tight,reverse_signal,no,10,0.1,-1.28316,-12.8316
bollinger_tight,smc_mitigation_zone,no,10,0.3,-0.11103,-1.1103
bollinger_tight,time_stop_10d,no,10,0.6,1.58834,15.883400000000002
bollinger_tight,time_stop_20d,no,10,0.2,-1.0215999999999998,-10.216
bollinger_tight,trailing_10pct,no,10,0.3,-1.79936,-17.9936
bollinger_tight,trailing_15pct,no,10,0.2,-4.996180000000001,-49.961800000000004
bollinger_tight,trailing_5pct,no,10,0.0,-3.8076099999999995,-38.0761
cpr_narrow_bullish,atr_trail_1x,no,17,0.4117647058823529,-0.18828235294117648,-3.2008
cpr_narrow_bullish,atr_trail_2x,no,17,0.4117647058823529,-0.6442941176470589,-10.953000000000001
cpr_narrow_bullish,atr_trail_mae_conditional,no,17,0.4117647058823529,-0.18828235294117648,-3.2008
cpr_narrow_bullish,atr_trail_vix_conditional,no,17,0.29411764705882354,-0.4999470588235294,-8.4991
cpr_narrow_bullish,break_even_at_1r,no,17,0.11764705882352941,0.7431411764705882,12.6334
cpr_narrow_bullish,breakeven_plus_trail,no,17,0.17647058823529413,0.42242941176470583,7.181299999999999
cpr_narrow_bullish,chandelier_3x,no,17,0.35294117647058826,-1.066529411764706,-18.131
cpr_narrow_bullish,class_time_stop,no,17,0.47058823529411764,-0.24479411764705877,-4.161499999999999
cpr_narrow_bullish,earnings_blackout,no,17,0.5294117647058824,-3.553941176470588,-60.416999999999994
cpr_narrow_bullish,fixed_4r_2r,no,17,0.29411764705882354,-0.8898823529411766,-15.128000000000002
cpr_narrow_bullish,hybrid_50pct_target,no,17,0.5882352941176471,-1.8735941176470587,-31.8511
