exit_method,regime_at_entry,sector,cap_band,vol_band,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct,sharpe_proxy
mfe_lockin_trail,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-1.7148,-10.2888,-6.64288140952399
multi_tier_partial,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.16666666666666666,-1.6757,-10.0542,-3.1183714477842472
multi_tier_partial,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.5714285714285714,-0.07551428571428558,-0.5285999999999991,-0.07671599170077138
multi_tier_partial,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-1.7148,-10.2888,-6.64288140952399
next_pivot_target,bear,Health Care,unknown,high_25_40,long_ge_11d,6,1.0,2.188216666666667,13.1293,1.6744244908140744
next_pivot_target,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.8571428571428571,3.2811,22.9677,1.533155017428961
next_pivot_target,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.16666666666666666,-6.8495833333333325,-41.0975,-3.8043740497202267
r_multiple_2r,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.16666666666666666,-1.2366666666666666,-7.42,-0.9214156481780337
r_multiple_2r,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.42857142857142855,1.5200142857142858,10.6401,0.7019461183275513
r_multiple_2r,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-3.3544,-20.1264,-8.548580502975407
r_multiple_3r,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.16666666666666666,-0.7840333333333334,-4.7042,-0.4373648336120081
r_multiple_3r,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.2857142857142857,0.9714285714285715,6.800000000000001,0.4182136046096867
r_multiple_3r,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-3.3544,-20.1264,-8.548580502975407
regime_flip,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.6666666666666666,2.6838333333333337,16.103,1.414083175875063
regime_flip,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,4.899714285714286,34.298,0.7113904556022733
regime_flip,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.3333333333333333,-1.6089333333333335,-9.6536,-0.9285318789253133
reverse_signal,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.0,-1.8705833333333333,-11.2235,-5.279378748117966
reverse_signal,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.2857142857142857,-0.5325857142857143,-3.7281000000000004,-0.5564891188823781
reverse_signal,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-1.7148,-10.2888,-6.64288140952399
smc_mitigation_zone,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.16666666666666666,-1.5786333333333333,-9.4718,-3.4574937896823914
smc_mitigation_zone,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.2857142857142857,-0.14651428571428582,-1.0256000000000007,-0.17085098488290282
smc_mitigation_zone,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.8333333333333334,0.4498333333333333,2.699,0.8242375172537694
time_stop_10d,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.3333333333333333,0.1638666666666666,0.9831999999999996,0.24781700947670404
time_stop_10d,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.8571428571428571,2.424157142857143,16.9691,1.1915973717346986
time_stop_10d,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.3333333333333333,-1.3038333333333334,-7.823,-0.803729306504606
time_stop_20d,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.6666666666666666,2.6838333333333337,16.103,1.414083175875063
time_stop_20d,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,4.899714285714286,34.298,0.7113904556022733
time_stop_20d,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.3333333333333333,-1.6089333333333335,-9.6536,-0.9285318789253133
trailing_10pct,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.3333333333333333,-4.444466666666667,-26.666800000000002,-1.9285435986760846
trailing_10pct,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,10.959357142857142,76.71549999999999,1.4373997327690773
trailing_10pct,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-7.92355,-47.5413,-6.417521427775419
trailing_15pct,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.16666666666666666,-2.526733333333333,-15.1604,-1.1286685066101323
trailing_15pct,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,12.8416,89.8912,1.4396594727858332
trailing_15pct,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-11.5205,-69.123,-15.373529420012265
trailing_5pct,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.3333333333333333,-0.05064999999999994,-0.3038999999999996,-0.019836310196965683
trailing_5pct,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,5.558857142857143,38.912,1.891143816158585
trailing_5pct,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.16666666666666666,-2.7566333333333333,-16.5398,-3.3163268128888594
