tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,1,1.0,3.4184,inf,3.4184,HIGH
HIGH,136,0.2206,-2.1053,0.5703,-286.325,MEDIUM
