strategy,exit_reason,regime,is_in_sample,n_trades,wins,sum_pnl_pct,mean_pnl_pct
pre_rebalance_long,end_of_backtest,bear,True,1,0,-0.2011888888888889,-0.2011888888888889
stochrsi_overbought_short,time_stop_30d_mfe<0.5pct_batch213,bear,True,1,0,-0.5933555555555555,-0.5933555555555555
stochrsi_overbought_short,trailing_stop,bear,True,1,0,-2.470655555555555,-2.470655555555555
vix_backwardation_long,circuit_breaker_1,bear,False,1,0,-19.458104761904764,-19.458104761904764
vix_backwardation_long,end_of_backtest,bear,False,2,2,48.31460952380952,24.15730476190476
vix_backwardation_long,trailing_stop,bear,False,6,1,-43.819020634920626,-7.303170105820104
volume_spike_breakout,circuit_breaker_1,bear,True,1,0,-5.863504761904761,-5.863504761904761
volume_spike_breakout,trailing_stop,bear,True,3,1,7.14344285714286,2.38114761904762
xs_combined_momentum_low_ivol,end_of_backtest,bear,True,1,0,-2.2094047619047616,-2.2094047619047616
xs_combined_momentum_low_ivol,trailing_stop,bear,True,1,1,1.1287809523809529,1.1287809523809529
xs_low_beta_long,end_of_backtest,bull,False,1,1,6.899828571428571,6.899828571428571
xs_low_beta_long,time_stop_20d_mfe<0.5pct_batch213,bull,False,1,0,-0.5250301587301587,-0.5250301587301587
xs_low_beta_long,time_stop_20d_mfe<0.5pct_batch213,bull,True,3,0,-4.259563492063492,-1.4198544973544973
xs_low_beta_long,trailing_stop,bull,False,14,3,-37.08082380952381,-2.6486302721088433
xs_low_beta_long,trailing_stop,bull,True,9,1,-56.8626746031746,-6.318074955908289
xs_momentum_bottom_decile_short,trailing_stop,bear,False,1,1,3.3905666666666665,3.3905666666666665
xs_momentum_bottom_decile_short,trailing_stop,bear,True,1,1,4.9941566961881945,4.9941566961881945
xs_momentum_top_decile,circuit_breaker_1,neutral,True,1,0,-11.62734761904762,-11.62734761904762
xs_momentum_top_decile,class_time_stop_factor_20d_batch284,bull,True,4,2,5.532733333333337,1.3831833333333343
xs_momentum_top_decile,class_time_stop_factor_20d_batch284,neutral,False,1,1,3.1680968253968254,3.1680968253968254
xs_momentum_top_decile,class_time_stop_factor_20d_batch284,neutral,True,1,0,-1.8979301587301585,-1.8979301587301585
xs_momentum_top_decile,trailing_stop,bull,True,1,0,-10.399084126984128,-10.399084126984128
xs_quality_top_quintile_long,end_of_backtest,neutral,False,1,0,-0.6708587301587301,-0.6708587301587301
xs_quality_top_quintile_long,trailing_stop,bull,False,7,1,-44.541355555555555,-6.363050793650793
xs_quality_top_quintile_long,trailing_stop,bull,True,14,4,157.59683968253967,11.256917120181404
