tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,1,1.0,5.1318,inf,5.1318,HIGH
HIGH,235,0.2936,-2.5601,0.5574,-601.633,MEDIUM
