strategy,exit_method,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct
ultimate_oscillator,breakeven_plus_trail,short_le_3d,1,1.0,17.7923,17.7923
ultimate_oscillator,class_time_stop,long_ge_11d,4,0.25,-0.8529999999999998,-3.411999999999999
ultimate_oscillator,class_time_stop,short_le_3d,1,1.0,18.43,18.43
ultimate_oscillator,earnings_blackout,long_ge_11d,4,0.75,41.258025,165.0321
ultimate_oscillator,earnings_blackout,short_le_3d,1,0.0,-31.017,-31.017
ultimate_oscillator,fixed_4r_2r,long_ge_11d,4,0.25,-0.9469249999999994,-3.7876999999999974
ultimate_oscillator,fixed_4r_2r,short_le_3d,1,0.0,-14.3047,-14.3047
ultimate_oscillator,hybrid_50pct_target,long_ge_11d,4,0.5,5.031975,20.1279
ultimate_oscillator,hybrid_50pct_target,short_le_3d,1,0.0,-10.0,-10.0
ultimate_oscillator,ma_exit_ema9,long_ge_11d,4,0.25,-0.908375,-3.6335
ultimate_oscillator,ma_exit_ema9,short_le_3d,1,1.0,3.2467,3.2467
ultimate_oscillator,next_pivot_target,long_ge_11d,4,0.5,-2.7497499999999997,-10.998999999999999
ultimate_oscillator,next_pivot_target,short_le_3d,1,0.0,-10.0,-10.0
ultimate_oscillator,r_multiple_2r,long_ge_11d,4,0.0,-3.7805750000000002,-15.122300000000001
ultimate_oscillator,r_multiple_2r,short_le_3d,1,0.0,-7.1524,-7.1524
ultimate_oscillator,r_multiple_3r,long_ge_11d,4,0.0,-3.7805750000000002,-15.122300000000001
ultimate_oscillator,r_multiple_3r,short_le_3d,1,0.0,-7.1524,-7.1524
ultimate_oscillator,regime_flip,long_ge_11d,4,0.25,-1.3198999999999999,-5.279599999999999
ultimate_oscillator,regime_flip,short_le_3d,1,1.0,14.7354,14.7354
ultimate_oscillator,time_stop_10d,long_ge_11d,4,0.25,-3.65175,-14.607
ultimate_oscillator,time_stop_10d,short_le_3d,1,0.0,-4.6992,-4.6992
ultimate_oscillator,time_stop_20d,long_ge_11d,4,0.25,-1.3198999999999999,-5.279599999999999
ultimate_oscillator,time_stop_20d,short_le_3d,1,1.0,14.7354,14.7354
ultimate_oscillator,trailing_10pct,long_ge_11d,4,0.25,6.924025,27.6961
ultimate_oscillator,trailing_10pct,short_le_3d,1,0.0,-7.078,-7.078
