strategy,point_sharpe,ci_low,ci_high,n_trades,method
avwap_252_breakout,5.196612413463492,,,6,insufficient_sample
avwap_50_reclaim,0.0,,,1,insufficient_sample
bollinger_tight,-26.325781857620843,,,3,insufficient_sample
buyback_8k_recent_long,8.544711975486038,,,14,insufficient_sample
cmf_flip,-18.752205069194257,,,2,insufficient_sample
cpr_narrow_bullish,-4.097379344813578,,,11,insufficient_sample
htf_aligned_breakout_long,-3.563460171813399,,,4,insufficient_sample
insider_cluster_long,0.0,,,1,insufficient_sample
macd_fast_crossover,-18.1099673388744,,,2,insufficient_sample
monthly_bias_momentum_long,1.2555136154841715,,,25,insufficient_sample
orb_stocks_in_play_long,0.0,,,1,insufficient_sample
pivot_r1_breakout,0.0,,,1,insufficient_sample
po3_bullish,-11.077759499255878,,,15,insufficient_sample
po3_htf_aligned_long,-49.46755331473545,,,2,insufficient_sample
prev_day_high_break,-3.241445336208727,,,2,insufficient_sample
prev_day_low_bounce,0.0,,,1,insufficient_sample
smc_fvg_retest_long,-10.387477810862636,,,3,insufficient_sample
smc_inverse_fvg,-5.166667922541147,-9.442309725995091,-2.180877742174531,115,bootstrap
stochrsi_oversold,0.0,,,1,insufficient_sample
supertrend_macd,7.611852598567437,,,4,insufficient_sample
ultimate_oscillator,0.0,,,1,insufficient_sample
williams_r_oversold,8.553167045691055,,,4,insufficient_sample
xs_momentum_bottom_decile_short,-44.34506305306521,,,2,insufficient_sample
xs_momentum_top_decile,-7.85729612587579,,,25,insufficient_sample
