strategy,exit_method,cap_band,n,win_rate,avg_pnl_pct,total_pnl_pct
adx_initiation,atr_trail_1x,unknown,955,0.2680628272251309,-2.4143730890052355,-2305.7263
adx_initiation,atr_trail_2x,unknown,955,0.34973821989528797,-1.2404851308900526,-1184.6633000000002
adx_initiation,atr_trail_mae_conditional,unknown,955,0.2680628272251309,-2.4143730890052355,-2305.7263
adx_initiation,atr_trail_vix_conditional,unknown,955,0.27015706806282724,-1.9676114136125655,-1879.0689
adx_initiation,break_even_at_1r,unknown,955,0.20837696335078534,0.1613091099476441,154.05020000000013
adx_initiation,breakeven_plus_trail,unknown,955,0.4806282722513089,12.5197877486911,11956.3973
adx_initiation,chandelier_3x,unknown,955,0.09842931937172775,-0.013717696335078555,-13.10040000000002
adx_initiation,class_time_stop,unknown,955,0.4952879581151832,76.6022347643979,73155.1342
adx_initiation,earnings_blackout,unknown,955,0.5015706806282723,53.91617664921466,51489.9487
adx_initiation,fixed_4r_2r,unknown,955,0.3643979057591623,12.546564921465968,11981.9695
adx_initiation,hybrid_50pct_target,unknown,955,0.4544502617801047,-0.3265875392670158,-311.89110000000005
adx_initiation,ma_exit_ema9,unknown,955,0.3539267015706806,0.062217591623036646,59.4178
adx_initiation,mfe_lockin_trail,unknown,955,0.2743455497382199,-2.203373821989529,-2104.222
adx_initiation,multi_tier_partial,unknown,955,0.42303664921465967,-1.4262574869109947,-1362.0759
adx_initiation,next_pivot_target,unknown,955,0.6994764397905759,3.337331623036649,3187.1517
adx_initiation,r_multiple_2r,unknown,955,0.3424083769633508,7.917363769633508,7561.0824
adx_initiation,r_multiple_3r,unknown,955,0.27958115183246074,8.271163979057592,7898.9616
adx_initiation,regime_flip,unknown,955,0.48586387434554973,38.098021989528796,36383.611
adx_initiation,reverse_signal,unknown,955,0.2680628272251309,-2.4143730890052355,-2305.7263
adx_initiation,smc_mitigation_zone,unknown,955,0.2680628272251309,-2.4143730890052355,-2305.7263
adx_initiation,time_stop_10d,unknown,955,0.4816753926701571,2.5836857591623037,2467.4199
adx_initiation,time_stop_20d,unknown,955,0.48586387434554973,38.098021989528796,36383.611
adx_initiation,trailing_10pct,unknown,955,0.29109947643979056,-1.4652107853403142,-1399.2763
adx_initiation,trailing_15pct,unknown,955,0.3089005235602094,-0.24549267015706805,-234.44549999999998
adx_initiation,trailing_5pct,unknown,955,0.20418848167539266,-1.7756807329842932,-1695.7751
avwap_252_breakout,atr_trail_1x,unknown,179,0.2346368715083799,-2.068422905027933,-370.2477
