preliminary_tier,confidence_tier,trades,win_rate,upgraded,downgraded
EXCEPTIONAL,EXCEPTIONAL,8,0.375,False,False
HIGH,HIGH,3755,0.3011984021304927,False,False
LOW,LOW,583,0.2761578044596912,False,False
MEDIUM,MEDIUM,670,0.2507462686567164,False,False
MEDIUM_HIGH,MEDIUM_HIGH,571,0.3169877408056042,False,False
VERY_HIGH,VERY_HIGH,263,0.2737642585551331,False,False
EXCEPTIONAL,EXCEPTIONAL,28,0.2142857142857142,False,False
HIGH,HIGH,3775,0.2932450331125827,False,False
LOW,LOW,616,0.2775974025974026,False,False
MEDIUM,MEDIUM,737,0.2659430122116689,False,False
MEDIUM_HIGH,MEDIUM_HIGH,575,0.3165217391304348,False,False
VERY_HIGH,VERY_HIGH,234,0.2777777777777778,False,False
EXCEPTIONAL,EXCEPTIONAL,29,0.4137931034482758,False,False
HIGH,HIGH,3437,0.2874599941809718,False,False
LOW,LOW,612,0.2696078431372549,False,False
MEDIUM,MEDIUM,654,0.2752293577981651,False,False
MEDIUM_HIGH,MEDIUM_HIGH,574,0.2735191637630662,False,False
VERY_HIGH,VERY_HIGH,272,0.2647058823529412,False,False
EXCEPTIONAL,EXCEPTIONAL,13,0.3076923076923077,False,False
HIGH,HIGH,3797,0.2918093231498551,False,False
LOW,LOW,506,0.2944664031620553,False,False
MEDIUM,MEDIUM,786,0.2569974554707379,False,False
MEDIUM_HIGH,MEDIUM_HIGH,602,0.287375415282392,False,False
VERY_HIGH,VERY_HIGH,269,0.3271375464684015,False,False
EXCEPTIONAL,EXCEPTIONAL,27,0.1851851851851851,False,False
HIGH,HIGH,3738,0.2929373996789727,False,False
LOW,LOW,532,0.2781954887218045,False,False
MEDIUM,MEDIUM,775,0.2980645161290322,False,False
MEDIUM_HIGH,MEDIUM_HIGH,614,0.2801302931596091,False,False
VERY_HIGH,VERY_HIGH,308,0.2987012987012987,False,False
