strategy,feature_a,bucket_a,feature_b,bucket_b,n_joint,n_single_a,n_single_b,n_baseline,wr_baseline,wr_joint,pnl_baseline,pnl_joint,sharpe_baseline,sharpe_single_a,sharpe_single_b,sharpe_joint,lift_vs_baseline,lift_vs_single_a,lift_vs_single_b,incremental_lift,wr_lift_pp
pairs_mean_reversion_long,smart_money_score,sm_score_le_0,regime,regime_bear,61,175,422,1145,0.2978,0.4098,0.6724,8.8231,0.5593,1.8052,2.1187,5.172,4.6127,3.3668,3.0533,3.0533,11.2
adx_initiation,macro_score,macro_neutral,confidence_tier,tier_LOW,42,138,261,955,0.2534,0.381,-0.5607,5.9243,-0.3972,1.8446,0.6452,3.7042,4.1014,1.8597,3.0591,1.8597,12.75
pairs_mean_reversion_long,macro_score,macro_neutral,sentiment_score,sentiment_positive,67,150,551,1145,0.2978,0.3881,0.6724,3.8176,0.5593,1.6679,1.4804,3.4658,2.9066,1.7979,1.9855,1.7979,9.02
adx_initiation,confidence_tier,tier_HIGH,regime,regime_bear,50,198,371,955,0.2534,0.32,-0.5607,9.239,-0.3972,-0.2921,0.5433,2.3286,2.7258,2.6207,1.7854,1.7854,6.66
adx_initiation,sentiment_score,sentiment_positive,confidence_tier,tier_LOW,125,463,261,955,0.2534,0.352,-0.5607,3.0212,-0.3972,-0.0311,0.6452,2.3885,2.7857,2.4196,1.7433,1.7433,9.86
pairs_mean_reversion_long,smart_money_score,sm_score_le_0,macro_score,macro_negative,49,175,382,1145,0.2978,0.3265,0.6724,6.0686,0.5593,1.8052,0.8544,3.5417,2.9824,1.7364,2.6873,1.7364,2.87
monthly_bias_momentum_long,macro_score,macro_positive,regime,regime_neutral,62,966,82,1335,0.2884,0.4839,1.0988,11.9277,0.7997,0.9849,3.8975,5.6006,4.8008,4.6156,1.7031,1.7031,19.55
monthly_bias_momentum_long,macro_score,macro_neutral,sentiment_score,sentiment_positive,39,96,510,1335,0.2884,0.359,1.0988,4.2186,0.7997,0.7513,0.9178,2.5486,1.7489,1.7974,1.6308,1.6308,7.06
adx_initiation,macro_score,macro_negative,sentiment_score,sentiment_positive,135,278,463,955,0.2534,0.3333,-0.5607,1.9622,-0.3972,-0.4696,-0.0311,1.5899,1.9871,2.0595,1.621,1.621,7.99
xs_quality_top_quintile_long,smart_money_score,sm_score_le_0,macro_score,macro_negative,35,140,149,607,0.2735,0.2571,0.2875,2.4143,0.2083,-0.3585,0.447,1.9397,1.7315,2.2983,1.4928,1.4928,-1.63
cmf_flip,macro_score,macro_negative,confidence_tier,tier_LOW,70,223,163,636,0.294,0.3714,1.1931,4.4642,0.8259,1.2986,1.2856,2.6077,1.7818,1.3091,1.3221,1.3091,7.74
monthly_bias_momentum_long,macro_score,macro_negative,regime,regime_bear,101,273,231,1335,0.2884,0.2475,1.0988,2.9365,0.7997,0.1099,0.3844,1.6777,0.878,1.5678,1.2933,1.2933,-4.09
xs_momentum_top_decile,smart_money_score,sm_score_le_0,regime,regime_bull,50,75,215,383,0.2559,0.34,-0.3234,2.9752,-0.2796,1.1857,-0.6471,2.4641,2.7437,1.2783,3.1111,1.2783,8.41
xs_quality_top_quintile_long,macro_score,macro_negative,sentiment_score,sentiment_neutral,57,149,256,607,0.2735,0.2281,0.2875,2.6322,0.2083,0.447,0.2207,1.719,1.5107,1.272,1.4983,1.272,-4.54
adx_initiation,macro_score,macro_neutral,regime,regime_bear,63,138,371,955,0.2534,0.3492,-0.5607,4.1493,-0.3972,1.8446,0.5433,3.0864,3.4836,1.2419,2.5432,1.2419,9.58
xs_quality_top_quintile_long,sentiment_score,sentiment_neutral,regime,regime_bear,55,256,144,607,0.2735,0.2364,0.2875,2.2458,0.2083,0.2207,0.4927,1.6853,1.477,1.4646,1.1926,1.1926,-3.71
pairs_mean_reversion_long,macro_score,macro_positive,sentiment_score,sentiment_negative,90,613,176,1145,0.2978,0.3444,0.6724,1.7637,0.5593,0.1401,-0.1789,1.3164,0.7572,1.1763,1.4954,1.1763,4.66
xs_low_beta_long,macro_score,macro_positive,sentiment_score,sentiment_negative,104,574,165,1079,0.2984,0.4712,0.3781,4.3576,0.3351,0.3983,2.7438,3.9146,3.5796,3.5163,1.1708,1.1708,17.27
monthly_bias_momentum_long,macro_score,macro_neutral,regime,regime_bull,54,96,1022,1335,0.2884,0.3148,1.0988,2.6291,0.7997,0.7513,0.5407,1.8883,1.0886,1.137,1.3476,1.137,2.64
pead_long,macro_score,macro_neutral,regime,regime_bull,30,58,289,528,0.2595,0.4,1.8846,7.7396,1.1326,3.3958,2.3029,4.5306,3.398,1.1348,2.2278,1.1348,14.05
xs_momentum_top_decile,smart_money_score,sm_score_le_0,macro_score,macro_positive,45,75,195,383,0.2559,0.3111,-0.3234,3.1641,-0.2796,1.1857,-0.4445,2.3201,2.5997,1.1343,2.7645,1.1343,5.52
pairs_mean_reversion_long,macro_score,macro_negative,sentiment_score,sentiment_positive,209,382,551,1145,0.2978,0.3732,0.6724,3.2392,0.5593,0.8544,1.4804,2.5561,1.9968,1.7017,1.0757,1.0757,7.54
pead_long,sentiment_score,sentiment_neutral,regime,regime_bull,129,240,289,528,0.2595,0.3101,1.8846,5.402,1.1326,1.3181,2.3029,3.2943,2.1617,1.9762,0.9914,0.9914,5.06
cmf_flip,macro_score,macro_negative,sentiment_score,sentiment_positive,138,223,317,636,0.294,0.3696,1.1931,3.7073,0.8259,1.2986,1.6655,2.611,1.7851,1.3124,0.9455,0.9455,7.55
adx_initiation,sentiment_score,sentiment_neutral,confidence_tier,tier_HIGH,83,370,198,955,0.2534,0.2048,-0.5607,2.5229,-0.3972,-0.1268,-0.2921,0.8002,1.1973,0.927,1.0923,0.927,-4.86
pairs_mean_reversion_long,smart_money_score,sm_score_le_0,sentiment_score,sentiment_positive,87,175,551,1145,0.2978,0.3448,0.6724,3.7957,0.5593,1.8052,1.4804,2.7312,2.1719,0.926,1.2508,0.926,4.7
xs_low_beta_long,macro_score,macro_positive,regime,regime_bear,142,574,442,1079,0.2984,0.2958,0.3781,1.5883,0.3351,0.3983,0.2218,1.2838,0.9488,0.8855,1.062,0.8855,-0.26
