strategy,feature_a,bucket_a,feature_b,bucket_b,n_joint,n_single_a,n_single_b,n_baseline,wr_baseline,wr_joint,pnl_baseline,pnl_joint,sharpe_baseline,sharpe_single_a,sharpe_single_b,sharpe_joint,lift_vs_baseline,lift_vs_single_a,lift_vs_single_b,incremental_lift,wr_lift_pp
bollinger_tight,sentiment_score,sentiment_neutral,confidence_tier,tier_HIGH,103,154,264,380,0.3105,0.3398,-0.0662,2.4121,-0.0606,0.8064,-0.1632,1.6722,1.7328,0.8658,1.8355,0.8658,2.93
xs_quality_top_quintile_long,macro_score,macro_negative,sentiment_score,sentiment_positive,63,149,242,607,0.2735,0.381,0.2875,1.4076,0.2083,0.447,0.3291,1.2934,1.0851,0.8464,0.9643,0.8464,10.75
bollinger_tight,macro_score,macro_negative,sentiment_score,sentiment_positive,53,90,186,380,0.3105,0.3962,-0.0662,0.6079,-0.0606,-0.1667,-0.898,0.6766,0.7372,0.8433,1.5746,0.8433,8.57
pead_long,smart_money_score,sm_score_le_0,confidence_tier,tier_HIGH,63,98,310,528,0.2595,0.3492,1.8846,5.2325,1.1326,2.4593,1.0787,3.2984,2.1659,0.8391,2.2197,0.8391,8.97
cmf_flip,sentiment_score,sentiment_positive,confidence_tier,tier_LOW,75,317,163,636,0.294,0.2933,1.1931,4.6348,0.8259,1.6655,1.2856,2.5004,1.6745,0.8348,1.2148,0.8348,-0.07
pead_long,smart_money_score,sm_score_le_0,sentiment_score,sentiment_positive,31,98,184,528,0.2595,0.3548,1.8846,5.6881,1.1326,2.4593,1.3037,3.2641,2.1315,0.8047,1.9603,0.8047,9.54
cmf_flip,macro_score,macro_neutral,sentiment_score,sentiment_neutral,31,68,245,636,0.294,0.2903,1.1931,1.5774,0.8259,0.3778,-0.3451,1.1635,0.3376,0.7857,1.5086,0.7857,-0.37
bollinger_tight,macro_score,macro_negative,confidence_tier,tier_HIGH,57,90,264,380,0.3105,0.3333,-0.0662,0.6416,-0.0606,-0.1667,-0.1632,0.6181,0.6787,0.7847,0.7813,0.7813,2.28
monthly_bias_momentum_long,macro_score,macro_positive,sentiment_score,sentiment_negative,168,966,226,1335,0.2884,0.3393,1.0988,2.1875,0.7997,0.9849,0.7773,1.7463,0.9465,0.7614,0.969,0.7614,5.09
xs_momentum_top_decile,macro_score,macro_neutral,regime,regime_bull,31,70,215,383,0.2559,0.3226,-0.3234,3.2618,-0.2796,1.3807,-0.6471,2.1347,2.4143,0.754,2.7817,0.754,6.67
xs_quality_top_quintile_long,macro_score,macro_negative,regime,regime_bull,74,149,439,607,0.2735,0.2973,0.2875,1.6295,0.2083,0.447,0.0183,1.1606,0.9524,0.7137,1.1423,0.7137,2.38
adx_initiation,macro_score,macro_neutral,sentiment_score,sentiment_positive,74,138,463,955,0.2534,0.3514,-0.5607,3.571,-0.3972,1.8446,-0.0311,2.554,2.9512,0.7094,2.5851,0.7094,9.79
cmf_flip,confidence_tier,tier_LOW,regime,regime_bear,82,163,281,636,0.294,0.3415,1.1931,4.9986,0.8259,1.2856,2.1182,2.8137,1.9878,1.5281,0.6955,0.6955,4.74
adx_initiation,macro_score,macro_negative,confidence_tier,tier_HIGH,33,278,198,955,0.2534,0.2121,-0.5607,0.7841,-0.3972,-0.4696,-0.2921,0.4027,0.7999,0.8723,0.6948,0.6948,-4.13
monthly_bias_momentum_long,smart_money_score,sm_score_le_0,sentiment_score,sentiment_positive,113,311,510,1335,0.2884,0.2478,1.0988,4.7865,0.7997,1.6877,0.9178,2.3772,1.5775,0.6894,1.4594,0.6894,-4.06
xs_low_beta_long,smart_money_score,sm_score_le_0,macro_score,macro_negative,42,160,363,1079,0.2984,0.3095,0.3781,1.2062,0.3351,-1.3795,0.9154,1.6046,1.2695,2.984,0.6891,0.6891,1.11
cmf_flip,sentiment_score,sentiment_positive,regime,regime_bear,204,317,281,636,0.294,0.3284,1.1931,4.8024,0.8259,1.6655,2.1182,2.8,1.9741,1.1344,0.6818,0.6818,3.44
bollinger_tight,macro_score,macro_negative,regime,regime_bear,45,90,108,380,0.3105,0.4444,-0.0662,0.476,-0.0606,-0.1667,-2.6379,0.5002,0.5608,0.6669,3.1381,0.6669,13.39
xs_momentum_top_decile,sentiment_score,sentiment_positive,regime,regime_bear,95,154,153,383,0.2559,0.2947,-0.3234,3.159,-0.2796,1.3874,0.267,2.0413,2.3209,0.6539,1.7742,0.6539,3.89
xs_low_beta_long,smart_money_score,sm_score_le_0,sentiment_score,sentiment_neutral,61,160,418,1079,0.2984,0.2951,0.3781,0.5499,0.3351,-1.3795,-0.1207,0.5284,0.1933,1.9079,0.6491,0.6491,-0.33
pairs_mean_reversion_long,macro_score,macro_negative,confidence_tier,tier_HIGH,227,382,626,1145,0.2978,0.3216,0.6724,1.8761,0.5593,0.8544,0.6758,1.5005,0.9412,0.6461,0.8247,0.6461,2.38
pead_long,macro_score,macro_neutral,sentiment_score,sentiment_positive,32,58,184,528,0.2595,0.3438,1.8846,6.7208,1.1326,3.3958,1.3037,4.0265,2.8939,0.6307,2.7227,0.6307,8.43
adx_initiation,macro_score,macro_positive,sentiment_score,sentiment_neutral,219,539,370,955,0.2534,0.2694,-0.5607,0.9744,-0.3972,-0.8254,-0.1268,0.4619,0.8591,1.2873,0.5887,0.5887,1.6
pairs_mean_reversion_long,macro_score,macro_neutral,regime,regime_bear,61,150,422,1145,0.2978,0.3443,0.6724,3.0991,0.5593,1.6679,2.1187,2.697,2.1377,1.0291,0.5783,0.5783,4.64
pairs_mean_reversion_long,smart_money_score,sm_score_le_0,confidence_tier,tier_HIGH,118,175,626,1145,0.2978,0.3475,0.6724,3.1498,0.5593,1.8052,0.6758,2.3776,1.8183,0.5724,1.7018,0.5724,4.96
bollinger_tight,sentiment_score,sentiment_neutral,regime,regime_bull,104,154,218,380,0.3105,0.3365,-0.0662,3.0479,-0.0606,0.8064,1.6182,2.1824,2.243,1.376,0.5642,0.5642,2.6
xs_low_beta_long,macro_score,macro_negative,regime,regime_bull,119,363,591,1079,0.2984,0.3025,0.3781,1.8789,0.3351,0.9154,0.9334,1.4945,1.1595,0.5791,0.5611,0.5611,0.41
cmf_flip,smart_money_score,sm_score_gt_0,confidence_tier,tier_LOW,141,536,163,636,0.294,0.2979,1.1931,2.9687,0.8259,1.2779,1.2856,1.8368,1.011,0.559,0.5512,0.5512,0.38
xs_low_beta_long,macro_score,macro_positive,confidence_tier,tier_MEDIUM,93,574,195,1079,0.2984,0.3441,0.3781,1.215,0.3351,0.3983,0.6596,1.2063,0.8712,0.808,0.5468,0.5468,4.57
monthly_bias_momentum_long,confidence_tier,tier_HIGH,regime,regime_neutral,73,1263,82,1335,0.2884,0.4384,1.0988,8.9341,0.7997,0.946,3.8975,4.4333,3.6336,3.4873,0.5358,0.5358,15.0
pead_long,sentiment_score,sentiment_positive,confidence_tier,tier_LOW,31,184,57,528,0.2595,0.3226,1.8846,9.8913,1.1326,1.3037,2.4136,2.9467,1.8141,1.643,0.5331,0.5331,6.31
cmf_flip,smart_money_score,sm_score_gt_0,macro_score,macro_neutral,60,536,68,636,0.294,0.3167,1.1931,2.0364,0.8259,1.2779,0.3778,1.8104,0.9845,0.5325,1.4326,0.5325,2.26
xs_low_beta_long,macro_score,macro_negative,sentiment_score,sentiment_positive,192,363,496,1079,0.2984,0.2448,0.3781,1.8146,0.3351,0.9154,-0.2067,1.4459,1.1108,0.5304,1.6526,0.5304,-5.36
cmf_flip,smart_money_score,sm_score_gt_0,macro_score,macro_negative,199,536,223,636,0.294,0.3367,1.1931,2.2893,0.8259,1.2779,1.2986,1.825,0.9991,0.5472,0.5264,0.5264,4.27
cmf_flip,macro_score,macro_positive,regime,regime_bear,99,345,281,636,0.294,0.2828,1.1931,5.1263,0.8259,0.6708,2.1182,2.6388,1.8129,1.9679,0.5206,0.5206,-1.12
pairs_mean_reversion_long,sentiment_score,sentiment_positive,regime,regime_bear,273,551,422,1145,0.2978,0.3407,0.6724,4.0551,0.5593,1.4804,2.1187,2.6295,2.0702,1.1491,0.5108,0.5108,4.28
cmf_flip,sentiment_score,sentiment_negative,regime,regime_bull,68,74,293,636,0.294,0.2794,1.1931,1.0336,0.8259,0.2618,-0.8913,0.7721,-0.0538,0.5103,1.6634,0.5103,-1.46
cmf_flip,macro_score,macro_negative,confidence_tier,tier_MEDIUM,58,223,189,636,0.294,0.3103,1.1931,2.0735,0.8259,1.2986,0.5951,1.7927,0.9668,0.494,1.1976,0.494,1.63
xs_momentum_top_decile,macro_score,macro_positive,regime,regime_bear,46,195,153,383,0.2559,0.1957,-0.3234,1.0732,-0.2796,-0.4445,0.267,0.7602,1.0398,1.2047,0.4932,0.4932,-6.02
xs_low_beta_long,sentiment_score,sentiment_positive,regime,regime_bear,309,496,442,1079,0.2984,0.2557,0.3781,0.8361,0.3351,-0.2067,0.2218,0.7098,0.3748,0.9165,0.488,0.488,-4.28
xs_low_beta_long,sentiment_score,sentiment_neutral,confidence_tier,tier_MEDIUM,87,418,195,1079,0.2984,0.3103,0.3781,1.1887,0.3351,-0.1207,0.6596,1.1269,0.7918,1.2476,0.4673,0.4673,1.19
monthly_bias_momentum_long,sentiment_score,sentiment_positive,regime,regime_bear,113,510,231,1335,0.2884,0.2832,1.0988,2.214,0.7997,0.9178,0.3844,1.3777,0.5779,0.4599,0.9932,0.4599,-0.52
monthly_bias_momentum_long,smart_money_score,sm_score_le_0,sentiment_score,sentiment_negative,55,311,226,1335,0.2884,0.3273,1.0988,3.0584,0.7997,1.6877,0.7773,2.1433,1.3436,0.4556,1.366,0.4556,3.89
bollinger_tight,smart_money_score,sm_score_gt_0,macro_score,macro_negative,75,305,90,380,0.3105,0.3733,-0.0662,0.2738,-0.0606,-0.1448,-0.1667,0.2997,0.3603,0.4445,0.4664,0.4445,6.28
xs_low_beta_long,macro_score,macro_neutral,regime,regime_bull,74,142,591,1079,0.2984,0.3108,0.3781,1.9675,0.3351,-1.2549,0.9334,1.3521,1.017,2.607,0.4187,0.4187,1.24
adx_initiation,macro_score,macro_neutral,sentiment_score,sentiment_neutral,44,138,370,955,0.2534,0.3409,-0.5607,2.5277,-0.3972,1.8446,-0.1268,2.2619,2.6591,0.4173,2.3887,0.4173,8.75
adx_initiation,smart_money_score,sm_score_gt_0,macro_score,macro_neutral,122,834,138,955,0.2534,0.3361,-0.5607,2.8589,-0.3972,-0.0973,1.8446,2.2497,2.6469,2.347,0.4051,0.4051,8.27
cmf_flip,sentiment_score,sentiment_positive,confidence_tier,tier_MEDIUM,82,317,189,636,0.294,0.2805,1.1931,3.8491,0.8259,1.6655,0.5951,2.0462,1.2203,0.3807,1.4511,0.3807,-1.35
adx_initiation,sentiment_score,sentiment_positive,regime,regime_bear,242,463,371,955,0.2534,0.2934,-0.5607,1.1403,-0.3972,-0.0311,0.5433,0.9179,1.315,0.949,0.3746,0.3746,4.0
xs_momentum_top_decile,macro_score,macro_neutral,sentiment_score,sentiment_positive,41,70,154,383,0.2559,0.3415,-0.3234,2.5218,-0.2796,1.3807,1.3874,1.739,2.0186,0.3583,0.3516,0.3516,8.56
pairs_mean_reversion_long,confidence_tier,tier_HIGH,regime,regime_bear,230,626,422,1145,0.2978,0.3261,0.6724,3.3947,0.5593,0.6758,2.1187,2.4667,1.9074,1.7909,0.3479,0.3479,2.83
cmf_flip,smart_money_score,sm_score_le_0,confidence_tier,tier_HIGH,37,100,184,636,0.294,0.3243,1.1931,-0.5131,0.8259,-2.5136,-0.7565,-0.41,-1.2359,2.1036,0.3465,0.3465,3.03
xs_quality_top_quintile_long,macro_score,macro_negative,confidence_tier,tier_HIGH,142,149,580,607,0.2735,0.2887,0.2875,0.9886,0.2083,0.447,0.2717,0.7894,0.5812,0.3425,0.5177,0.3425,1.53
xs_low_beta_long,smart_money_score,sm_score_gt_0,regime,regime_bull,497,919,591,1079,0.2984,0.3501,0.3781,1.4388,0.3351,0.5331,0.9334,1.2744,0.9393,0.7413,0.341,0.341,5.17
monthly_bias_momentum_long,smart_money_score,sm_score_le_0,macro_score,macro_negative,59,311,273,1335,0.2884,0.2712,1.0988,3.8618,0.7997,1.6877,0.1099,2.0114,1.2116,0.3236,1.9015,0.3236,-1.72
adx_initiation,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_neutral,317,834,370,955,0.2534,0.2744,-0.5607,0.392,-0.3972,-0.0973,-0.1268,0.2118,0.609,0.3091,0.3386,0.3091,2.1
monthly_bias_momentum_long,sentiment_score,sentiment_negative,regime,regime_bull,219,226,1022,1335,0.2884,0.3196,1.0988,1.2918,0.7997,0.7773,0.5407,1.0756,0.2759,0.2983,0.5349,0.2983,3.12
cmf_flip,smart_money_score,sm_score_gt_0,regime,regime_neutral,51,536,62,636,0.294,0.3137,1.1931,3.6393,0.8259,1.2779,1.2925,1.5908,0.7649,0.3129,0.2982,0.2982,1.97
pead_long,smart_money_score,sm_score_le_0,sentiment_score,sentiment_neutral,39,98,240,528,0.2595,0.359,1.8846,3.3221,1.1326,2.4593,1.3181,2.7562,1.6236,0.2969,1.4381,0.2969,9.95
adx_initiation,macro_score,macro_negative,confidence_tier,tier_LOW,107,278,261,955,0.2534,0.3364,-0.5607,0.9432,-0.3972,-0.4696,0.6452,0.9393,1.3365,1.409,0.2942,0.2942,8.3
adx_initiation,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_positive,412,834,463,955,0.2534,0.2864,-0.5607,0.3143,-0.3972,-0.0973,-0.0311,0.2602,0.6574,0.3575,0.2913,0.2913,3.3
pead_long,sentiment_score,sentiment_positive,regime,regime_bull,63,184,289,528,0.2595,0.3016,1.8846,3.9546,1.1326,1.3037,2.3029,2.593,1.4605,1.2893,0.2902,0.2902,4.21
xs_momentum_top_decile,macro_score,macro_negative,sentiment_score,sentiment_positive,50,118,154,383,0.2559,0.28,-0.3234,2.5666,-0.2796,-1.2271,1.3874,1.6644,1.944,2.8915,0.277,0.277,2.41
cmf_flip,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_negative,62,536,74,636,0.294,0.3065,1.1931,2.1421,0.8259,1.2779,0.2618,1.5495,0.7237,0.2717,1.2877,0.2717,1.24
xs_low_beta_long,sentiment_score,sentiment_positive,confidence_tier,tier_HIGH,255,496,566,1079,0.2984,0.3059,0.3781,0.5132,0.3351,-0.2067,0.2598,0.5278,0.1927,0.7345,0.268,0.268,0.75
pairs_mean_reversion_long,sentiment_score,sentiment_positive,confidence_tier,tier_HIGH,334,551,626,1145,0.2978,0.3323,0.6724,2.1559,0.5593,1.4804,0.6758,1.7442,1.1849,0.2638,1.0684,0.2638,3.45
pairs_mean_reversion_long,confidence_tier,tier_LOW,regime,regime_bear,54,126,422,1145,0.2978,0.3519,0.6724,2.7787,0.5593,0.6967,2.1187,2.3699,1.8106,1.6731,0.2511,0.2511,5.4
pead_long,confidence_tier,tier_LOW,regime,regime_bear,32,57,173,528,0.2595,0.3125,1.8846,8.7579,1.1326,2.4136,0.7202,2.6612,1.5286,0.2476,1.941,0.2476,5.3
pead_long,macro_score,macro_positive,confidence_tier,tier_HIGH,220,321,310,528,0.2595,0.2455,1.8846,2.3498,1.1326,1.0232,1.0787,1.3256,0.193,0.3024,0.2468,0.2468,-1.4
pairs_mean_reversion_long,macro_score,macro_negative,regime,regime_bear,224,382,422,1145,0.2978,0.3438,0.6724,2.8999,0.5593,0.8544,2.1187,2.3647,1.8054,1.5103,0.2459,0.2459,4.59
xs_low_beta_long,macro_score,macro_negative,confidence_tier,tier_HIGH,178,363,566,1079,0.2984,0.2865,0.3781,1.1695,0.3351,0.9154,0.2598,1.1445,0.8094,0.2291,0.8847,0.2291,-1.19
adx_initiation,macro_score,macro_negative,sentiment_score,sentiment_negative,36,278,122,955,0.2534,0.1667,-0.5607,-0.4446,-0.3972,-0.4696,-3.3679,-0.2436,0.1536,0.2261,3.1243,0.2261,-8.67
xs_low_beta_long,smart_money_score,sm_score_gt_0,macro_score,macro_positive,473,919,574,1079,0.2984,0.3446,0.3781,0.7872,0.3351,0.5331,0.3983,0.7592,0.4241,0.2261,0.3609,0.2261,4.62
xs_quality_top_quintile_long,macro_score,macro_positive,regime,regime_bear,54,382,144,607,0.2735,0.2963,0.2875,0.8025,0.2083,-1.4735,0.4927,0.7151,0.5068,2.1886,0.2223,0.2223,2.28
xs_momentum_top_decile,smart_money_score,sm_score_gt_0,regime,regime_bear,129,308,153,383,0.2559,0.2403,-0.3234,0.6743,-0.2796,-0.6541,0.267,0.4863,0.766,1.1404,0.2193,0.2193,-1.56
pairs_mean_reversion_long,macro_score,macro_neutral,confidence_tier,tier_HIGH,77,150,626,1145,0.2978,0.3636,0.6724,2.1846,0.5593,1.6679,0.6758,1.8862,1.3269,0.2183,1.2104,0.2183,6.58
cmf_flip,smart_money_score,sm_score_gt_0,confidence_tier,tier_MEDIUM,157,536,189,636,0.294,0.3057,1.1931,2.1522,0.8259,1.2779,0.5951,1.4911,0.6652,0.2132,0.896,0.2132,1.17
xs_momentum_top_decile,smart_money_score,sm_score_gt_0,macro_score,macro_neutral,58,308,70,383,0.2559,0.3276,-0.3234,2.3661,-0.2796,-0.6541,1.3807,1.5821,1.8617,2.2361,0.2014,0.2014,7.17
adx_initiation,smart_money_score,sm_score_gt_0,confidence_tier,tier_LOW,232,834,261,955,0.2534,0.3276,-0.5607,0.9286,-0.3972,-0.0973,0.6452,0.8402,1.2374,0.9375,0.195,0.195,7.42
pead_long,macro_score,macro_positive,sentiment_score,sentiment_negative,62,321,104,528,0.2595,0.3387,1.8846,1.3681,1.1326,1.0232,0.0817,1.2017,0.0691,0.1785,1.12,0.1785,7.92
xs_low_beta_long,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_negative,138,919,165,1079,0.2984,0.3696,0.3781,3.9959,0.3351,0.5331,2.7438,2.9216,2.5865,2.3885,0.1778,0.1778,7.11
xs_low_beta_long,macro_score,macro_positive,confidence_tier,tier_HIGH,317,574,566,1079,0.2984,0.3659,0.3781,0.5626,0.3351,0.3983,0.2598,0.5717,0.2366,0.1733,0.3119,0.1733,6.75
cmf_flip,macro_score,macro_positive,sentiment_score,sentiment_negative,39,345,74,636,0.294,0.2564,1.1931,1.3046,0.8259,0.6708,0.2618,0.8429,0.017,0.172,0.581,0.172,-3.76
xs_momentum_top_decile,sentiment_score,sentiment_positive,confidence_tier,tier_HIGH,151,154,373,383,0.2559,0.298,-0.3234,2.1858,-0.2796,1.3874,-0.1128,1.5476,1.8272,0.1602,1.6605,0.1602,4.21
xs_quality_top_quintile_long,macro_score,macro_neutral,regime,regime_bull,55,76,439,607,0.2735,0.3091,0.2875,9.9314,0.2083,3.0684,0.0183,3.2277,3.0194,0.1594,3.2094,0.1594,3.56
xs_quality_top_quintile_long,smart_money_score,sm_score_gt_0,regime,regime_bear,120,467,144,607,0.2735,0.3083,0.2875,0.7408,0.2083,0.3384,0.4927,0.6512,0.4429,0.3128,0.1585,0.1585,3.49
adx_initiation,confidence_tier,tier_LOW,regime,regime_bear,132,261,371,955,0.2534,0.3106,-0.5607,0.9055,-0.3972,0.6452,0.5433,0.8007,1.1979,0.1555,0.2574,0.1555,5.72
xs_low_beta_long,confidence_tier,tier_MEDIUM,regime,regime_bear,91,195,442,1079,0.2984,0.2198,0.3781,1.2031,0.3351,0.6596,0.2218,0.8136,0.4786,0.1541,0.5918,0.1541,-7.86
monthly_bias_momentum_long,smart_money_score,sm_score_le_0,confidence_tier,tier_HIGH,302,311,1263,1335,0.2884,0.3079,1.0988,2.8722,0.7997,1.6877,0.946,1.8405,1.0408,0.1528,0.8945,0.1528,1.96
xs_quality_top_quintile_long,smart_money_score,sm_score_gt_0,sentiment_score,sentiment_positive,193,467,242,607,0.2735,0.3368,0.2875,0.5163,0.2083,0.3384,0.3291,0.4853,0.277,0.1469,0.1561,0.1469,6.33
pairs_mean_reversion_long,smart_money_score,sm_score_gt_0,macro_score,macro_neutral,131,970,150,1145,0.2978,0.3435,0.6724,2.0953,0.5593,0.3111,1.6679,1.8112,1.252,1.5001,0.1433,0.1433,4.57
adx_initiation,smart_money_score,sm_score_gt_0,regime,regime_bear,339,834,371,955,0.2534,0.2861,-0.5607,1.2535,-0.3972,-0.0973,0.5433,0.6701,1.0673,0.7675,0.1269,0.1269,3.27
monthly_bias_momentum_long,macro_score,macro_positive,confidence_tier,tier_HIGH,921,966,1263,1335,0.2884,0.3018,1.0988,1.5827,0.7997,0.9849,0.946,1.1101,0.3104,0.1252,0.1641,0.1252,1.35
pead_long,macro_score,macro_negative,sentiment_score,sentiment_positive,67,149,184,528,0.2595,0.2985,1.8846,3.3905,1.1326,0.6417,1.3037,1.4164,0.2838,0.7747,0.1127,0.1127,3.9
pead_long,sentiment_score,sentiment_neutral,confidence_tier,tier_HIGH,163,240,310,528,0.2595,0.2515,1.8846,2.5913,1.1326,1.3181,1.0787,1.4307,0.2981,0.1125,0.3519,0.1125,-0.79
xs_momentum_top_decile,confidence_tier,tier_HIGH,regime,regime_bear,150,373,153,383,0.2559,0.2333,-0.3234,0.5183,-0.2796,-0.1128,0.267,0.3786,0.6583,0.4915,0.1116,0.1116,-2.25
monthly_bias_momentum_long,smart_money_score,sm_score_le_0,regime,regime_bear,42,311,231,1335,0.2884,0.1905,1.0988,4.0658,0.7997,1.6877,0.3844,1.7965,0.9967,0.1087,1.412,0.1087,-9.79
bollinger_tight,smart_money_score,sm_score_gt_0,regime,regime_bull,163,305,218,380,0.3105,0.3374,-0.0662,2.1847,-0.0606,-0.1448,1.6182,1.7259,1.7865,1.8707,0.1077,0.1077,2.69
