exit_method,n,win_rate,avg_pnl_pct,total_pnl_pct,median_pnl_pct
earnings_blackout,29180,0.4911240575736806,9.264500870459218,270338.13539999997,-0.2247
breakeven_plus_trail,29180,0.3874571624400274,3.24157153529815,94589.0574,0.0
class_time_stop,29180,0.4887251542152159,1.2197865558601781,35593.371699999996,-0.32355
regime_flip,29180,0.48968471555860177,0.8201254489376285,23931.2606,-0.30310000000000004
time_stop_20d,29180,0.48968471555860177,0.8201254489376285,23931.2606,-0.30310000000000004
ma_exit_ema9,29180,0.338793694311172,0.1826871967100754,5330.812400000001,-1.3019
time_stop_10d,29180,0.4876627827278958,-0.04415271076079506,-1288.3760999999997,-0.2452
next_pivot_target,29180,0.6928032899246059,-0.3044426113776559,-8883.6354,0.79345
r_multiple_2r,29180,0.3197395476353667,-0.30938456477039067,-9027.8416,-3.35365
fixed_4r_2r,29180,0.33296778615490064,-0.3324399897189856,-9700.598899999999,-6.40815
r_multiple_3r,29180,0.24386566141192598,-0.390610305003427,-11398.0087,-3.78835
trailing_15pct,29180,0.3457162440027416,-0.4560466655243317,-13307.4417,-6.1357
chandelier_3x,29180,0.1905071967100754,-0.9758105894448251,-28474.153,-0.4481
atr_trail_2x,29180,0.3407470870459219,-1.1464729952021933,-33454.082,-3.3305
trailing_10pct,29180,0.3198080877313228,-1.2201192666209733,-35603.0802,-4.6352
mfe_lockin_trail,29180,0.2478067169294037,-1.3256582076764907,-38682.7065,-2.15415
multi_tier_partial,29180,0.390815627141878,-1.3265109766963674,-38707.5903,-1.9632
reverse_signal,29180,0.26038382453735437,-1.339611812885538,-39089.8727,-2.0735
atr_trail_vix_conditional,29180,0.251028101439342,-1.3535606511309115,-39496.8998,-2.0730000000000004
break_even_at_1r,29180,0.1529129540781357,-1.4761339787525702,-43073.5895,-2.1351
atr_trail_1x,29180,0.24578478409869775,-1.4886804386566141,-43439.6952,-2.1593
atr_trail_mae_conditional,29180,0.24578478409869775,-1.4886804386566141,-43439.6952,-2.1593
smc_mitigation_zone,29180,0.24578478409869775,-1.4886804386566141,-43439.6952,-2.1593
trailing_5pct,29180,0.2377998629198081,-1.5895970390678547,-46384.4416,-2.9455
hybrid_50pct_target,29180,0.5915010281014393,-9.971688324194654,-290973.8653,4.8343
