strategy,feature,bucket,n_filtered,n_baseline,wr_baseline,wr_filtered,pnl_baseline,pnl_filtered,sharpe_baseline,sharpe_filtered,lift,wr_lift_pp
pairs_mean_reversion_long,sentiment_score,sentiment_neutral,418,1145,0.2978,0.2679,0.6724,-0.6007,0.5593,-0.5866,-1.1458,-2.99
cmf_flip,sentiment_score,sentiment_neutral,245,636,0.294,0.2898,1.1931,-0.4392,0.8259,-0.3451,-1.171,-0.42
adx_initiation,confidence_tier,tier_MEDIUM,333,955,0.2534,0.2402,-0.5607,-1.7769,-0.3972,-1.6873,-1.2901,-1.32
cmf_flip,confidence_tier,tier_HIGH,184,636,0.294,0.3152,1.1931,-0.7632,0.8259,-0.7565,-1.5824,2.12
xs_low_beta_long,macro_score,macro_neutral,142,1079,0.2984,0.2394,0.3781,-1.6358,0.3351,-1.2549,-1.59,-5.9
xs_momentum_top_decile,sentiment_score,sentiment_negative,60,383,0.2559,0.2167,-0.3234,-1.6049,-0.2796,-1.9216,-1.6419,-3.92
xs_quality_top_quintile_long,macro_score,macro_positive,382,607,0.2735,0.2618,0.2875,-1.4172,0.2083,-1.4735,-1.6818,-1.17
xs_momentum_top_decile,sentiment_score,sentiment_neutral,169,383,0.2559,0.2367,-0.3234,-1.9363,-0.2796,-1.9622,-1.6826,-1.92
xs_low_beta_long,smart_money_score,sm_score_le_0,160,1079,0.2984,0.3,0.3781,-1.0615,0.3351,-1.3795,-1.7146,0.16
cmf_flip,regime,regime_bull,293,636,0.294,0.2628,1.1931,-1.0524,0.8259,-0.8913,-1.7172,-3.12
bollinger_tight,regime,regime_bear,108,380,0.3105,0.3241,-0.0662,-2.1887,-0.0606,-2.6379,-2.5773,1.35
pead_long,regime,regime_neutral,66,528,0.2595,0.1667,1.8846,-3.1417,1.1326,-1.6543,-2.7869,-9.28
pairs_mean_reversion_long,confidence_tier,tier_MEDIUM,151,1145,0.2978,0.2384,0.6724,-2.1271,0.5593,-2.3355,-2.8948,-5.94
adx_initiation,sentiment_score,sentiment_negative,122,955,0.2534,0.1803,-0.5607,-3.583,-0.3972,-3.3679,-2.9707,-7.31
pead_long,confidence_tier,tier_MEDIUM,72,528,0.2595,0.1944,1.8846,-2.7476,1.1326,-2.1223,-3.2549,-6.5
cmf_flip,smart_money_score,sm_score_le_0,100,636,0.294,0.26,1.1931,-2.6902,0.8259,-2.5136,-3.3395,-3.4
adx_initiation,smart_money_score,sm_score_le_0,121,955,0.2534,0.157,-0.5607,-3.4335,-0.3972,-4.2976,-3.9004,-9.64
pairs_mean_reversion_long,regime,regime_neutral,85,1145,0.2978,0.2706,0.6724,-2.8216,0.5593,-4.306,-4.8653,-2.72
adx_initiation,regime,regime_neutral,102,955,0.2534,0.2059,-0.5607,-3.877,-0.3972,-5.2903,-4.8931,-4.75
bollinger_tight,regime,regime_neutral,54,380,0.3105,0.2407,-0.0662,-4.3858,-0.0606,-7.2786,-7.218,-6.98
xs_low_beta_long,regime,regime_neutral,46,1079,0.2984,0.1522,0.3781,-6.7251,0.3351,-19.3383,-19.6734,-14.63
