exit_method,regime_at_entry,sector,cap_band,vol_band,hold_duration_band,total_pnl_pct,runner_up_method,runner_up_metric,edge_over_runner_up,n,n_exits_in_cell,rank_in_cell
atr_trail_vix_conditional,neutral,Communication Services,unknown,mid_15_25,medium_4_10d,-46.5368,ma_exit_ema9,-63.3988,16.862000000000002,22,25,1.0
break_even_at_1r,neutral,Financials,unknown,mid_15_25,medium_4_10d,-57.193599999999996,r_multiple_3r,-75.4324,18.238800000000005,43,25,1.0
break_even_at_1r,neutral,Commodities,unknown,mid_15_25,long_ge_11d,56.762600000000006,breakeven_plus_trail,49.474700000000006,7.2879000000000005,10,25,1.0
breakeven_plus_trail,bull,Health Care,unknown,mid_15_25,long_ge_11d,9661.425,regime_flip,5252.7994,4408.625599999999,1322,25,1.0
breakeven_plus_trail,bull,Information Technology,unknown,mid_15_25,long_ge_11d,8299.1745,time_stop_10d,6064.7216,2234.4528999999993,1260,25,1.0
breakeven_plus_trail,bull,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,3384.0061,time_stop_10d,1430.3801,1953.626,789,25,1.0
breakeven_plus_trail,bull,Industrials,unknown,mid_15_25,long_ge_11d,5022.1041,earnings_blackout,3625.9681,1396.1359999999995,788,25,1.0
breakeven_plus_trail,bear,Information Technology,unknown,mid_15_25,long_ge_11d,2786.0196,trailing_15pct,1723.2351999999998,1062.7844000000002,403,25,1.0
breakeven_plus_trail,bear,Health Care,unknown,mid_15_25,long_ge_11d,2734.9872,time_stop_10d,1678.9459,1056.0413,364,25,1.0
breakeven_plus_trail,bear,Consumer Discretionary,unknown,high_25_40,long_ge_11d,2381.0674,trailing_15pct,1501.309,879.7583999999999,400,25,1.0
breakeven_plus_trail,bull,Health Care,unknown,mid_15_25,medium_4_10d,-452.8463999999999,next_pivot_target,-1289.9406,837.0942,518,25,1.0
breakeven_plus_trail,bull,Health Care,unknown,low_lt_15,short_le_3d,147.3563,earnings_blackout,-633.3044999999998,780.6607999999999,151,25,1.0
breakeven_plus_trail,bull,Health Care,unknown,mid_15_25,short_le_3d,-602.0932,trailing_5pct,-1328.0794,725.9862,327,25,1.0
breakeven_plus_trail,bull,Information Technology,unknown,low_lt_15,long_ge_11d,2763.8897,regime_flip,2052.2269,711.6628000000001,594,25,1.0
breakeven_plus_trail,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,1798.8703,time_stop_10d,1098.9054,699.9649,435,25,1.0
breakeven_plus_trail,bear,Financials,unknown,mid_15_25,medium_4_10d,1206.6863,earnings_blackout,524.8543,681.8320000000001,85,25,1.0
breakeven_plus_trail,bear,Consumer Discretionary,unknown,mid_15_25,long_ge_11d,1616.8412,time_stop_10d,1028.2947,588.5465000000002,312,25,1.0
breakeven_plus_trail,bull,Health Care,unknown,low_lt_15,long_ge_11d,6238.8847,earnings_blackout,5660.6251,578.2595999999994,746,25,1.0
breakeven_plus_trail,bear,Materials,unknown,high_25_40,long_ge_11d,1534.151,trailing_15pct,1016.3442,517.8068000000001,204,25,1.0
breakeven_plus_trail,bear,Health Care,unknown,high_25_40,long_ge_11d,3130.3201,fixed_4r_2r,2684.8535,445.46659999999974,461,25,1.0
breakeven_plus_trail,bull,Materials,unknown,mid_15_25,short_le_3d,86.86779999999999,regime_flip,-345.3253,432.1931,103,25,1.0
breakeven_plus_trail,neutral,Consumer Discretionary,unknown,mid_15_25,medium_4_10d,337.1614,ma_exit_ema9,-1.7005000000000101,338.86190000000005,77,25,1.0
breakeven_plus_trail,bear,Health Care,unknown,high_25_40,short_le_3d,-576.1361,trailing_5pct,-897.9425,321.80639999999994,203,25,1.0
chandelier_3x,bull,Energy,unknown,mid_15_25,short_le_3d,-152.82489999999999,trailing_5pct,-242.3591,89.53420000000003,77,25,1.0
chandelier_3x,bear,Consumer Discretionary,unknown,mid_15_25,short_le_3d,-234.8147,ma_exit_ema9,-281.1006,46.2859,80,25,1.0
chandelier_3x,bull,Consumer Discretionary,unknown,mid_15_25,short_le_3d,-536.5272,breakeven_plus_trail,-564.0055,27.47829999999999,148,25,1.0
chandelier_3x,neutral,Industrials,unknown,mid_15_25,medium_4_10d,-14.833400000000008,next_pivot_target,-40.319,25.485599999999994,57,25,1.0
chandelier_3x,neutral,Communication Services,unknown,mid_15_25,short_le_3d,-61.3032,fixed_4r_2r,-81.01279999999998,19.709599999999988,24,25,1.0
chandelier_3x,bear,Energy,unknown,high_25_40,short_le_3d,-329.1629,trailing_5pct,-335.3108,6.147899999999993,74,25,1.0
chandelier_3x,neutral,Health Care,unknown,high_25_40,short_le_3d,-70.5675,trailing_5pct,-75.0164,4.448900000000009,17,25,1.0
chandelier_3x,bear,Real Estate,unknown,high_25_40,medium_4_10d,23.202,ma_exit_ema9,19.2012,4.000800000000002,23,25,1.0
class_time_stop,bull,Financials,unknown,low_lt_15,short_le_3d,41365.2518,earnings_blackout,32446.733200000002,8918.518599999996,63,25,1.0
class_time_stop,bull,Health Care,unknown,mid_atr_1_2.5pct,long_ge_11d,261.7816,regime_flip,113.62939999999999,148.15220000000005,11,25,1.0
class_time_stop,neutral,Energy,unknown,high_25_40,long_ge_11d,447.36740000000003,breakeven_plus_trail,402.5881,44.779300000000035,27,25,1.0
class_time_stop,bear,Real Estate,unknown,high_25_40,short_le_3d,-11.744800000000003,hybrid_50pct_target,-51.917100000000005,40.1723,16,25,1.0
class_time_stop,bull,Financials,unknown,high_25_40,long_ge_11d,189.0498,fixed_4r_2r,153.8227,35.22710000000001,20,25,1.0
class_time_stop,bear,Industrials,unknown,mid_15_25,short_le_3d,143.1816,hybrid_50pct_target,113.2962,29.885400000000004,50,25,1.0
class_time_stop,neutral,Materials,unknown,high_25_40,medium_4_10d,62.042500000000004,earnings_blackout,43.57769999999999,18.46480000000001,10,25,1.0
class_time_stop,bull,Health Care,unknown,high_25_40,long_ge_11d,278.5142,earnings_blackout,263.42900000000003,15.085199999999986,28,25,1.0
class_time_stop,bull,Information Technology,unknown,high_25_40,short_le_3d,17.656099999999995,earnings_blackout,3.388400000000008,14.267699999999987,11,25,1.0
class_time_stop,neutral,Materials,unknown,mid_15_25,short_le_3d,-144.279,chandelier_3x,-151.7959,7.516899999999993,34,25,1.0
class_time_stop,bear,Fixed Income,unknown,high_25_40,long_ge_11d,8.781399999999998,fixed_4r_2r,7.180699999999999,1.600699999999999,10,25,1.0
earnings_blackout,bull,Financials,unknown,mid_15_25,medium_4_10d,4100.211499999999,breakeven_plus_trail,544.6270000000001,3555.5844999999995,210,25,1.0
earnings_blackout,neutral,Energy,unknown,mid_15_25,long_ge_11d,3293.4279,breakeven_plus_trail,871.1698,2422.2581,133,25,1.0
earnings_blackout,bear,Materials,unknown,mid_15_25,long_ge_11d,2072.6295,breakeven_plus_trail,621.2423,1451.3872000000001,156,25,1.0
earnings_blackout,bull,Energy,unknown,mid_15_25,long_ge_11d,3349.69,breakeven_plus_trail,1908.9818,1440.7082,498,25,1.0
