strategy,regime,trades,win_rate,avg_pnl,total_roi
adx_initiation,bear,91,0.3407,6.3489,577.753
adx_initiation,bull,88,0.25,1.8035,158.7047
adx_initiation,neutral,17,0.1176,-7.3038,-124.164
avwap_252_breakout,bear,15,0.4,-0.7706,-11.5588
avwap_252_breakout,bull,20,0.4,4.5739,91.4774
avwap_252_breakout,neutral,7,0.4286,2.713,18.9907
avwap_50_reclaim,bear,126,0.381,-2.0918,-263.5707
avwap_50_reclaim,bull,134,0.4328,-1.0966,-146.9416
avwap_50_reclaim,neutral,17,0.4706,0.0462,0.7861
awesome_oscillator,bear,14,0.2857,-1.7491,-24.4871
awesome_oscillator,bull,37,0.2703,-2.8556,-105.6583
awesome_oscillator,neutral,5,0.2,-4.7647,-23.8233
bollinger_lower,bear,8,0.125,-1.8243,-14.5941
bollinger_lower,bull,18,0.1111,-1.8525,-33.3447
bollinger_lower,neutral,6,0.3333,2.6806,16.0838
bollinger_tight,bear,18,0.3333,-3.7075,-66.7354
bollinger_tight,bull,36,0.3611,1.7472,62.899
bollinger_tight,neutral,13,0.3077,-1.3845,-17.9981
break_retest_confluence,bear,9,0.2222,-5.3496,-48.1468
break_retest_confluence,bull,8,0.375,-2.3863,-19.0906
break_retest_volume,bear,17,0.1176,-1.9035,-32.3587
break_retest_volume,bull,42,0.1905,-5.2957,-222.4213
break_retest_volume,neutral,19,0.2632,0.4742,9.0102
bullish_engulfing_support,bull,6,0.3333,-4.4437,-26.6622
buyback_8k_recent_long,bear,6,0.0,-7.8475,-47.0851
buyback_8k_recent_long,bull,39,0.2821,0.2951,11.5083
buyback_8k_recent_long,neutral,3,0.0,-7.4124,-22.2373
camarilla_r3_breakout,bear,15,0.2667,-2.5988,-38.9824
camarilla_r3_breakout,bull,24,0.2083,-1.0457,-25.0975
camarilla_r3_breakout,neutral,7,0.1429,-1.6164,-11.3145
cmf_flip,bear,63,0.3968,2.8257,178.0217
cmf_flip,bull,47,0.1702,-5.0672,-238.1596
cmf_flip,neutral,8,0.625,32.9131,263.305
cpr_narrow_bullish,bear,152,0.2632,-3.3498,-509.1654
cpr_narrow_bullish,bull,232,0.3405,-0.0552,-12.8082
cpr_narrow_bullish,neutral,53,0.5283,2.6749,141.7689
cpr_narrow_momentum,bear,27,0.1852,-6.7376,-181.9159
cpr_narrow_momentum,bull,26,0.3462,1.6249,42.2463
cpr_narrow_momentum,neutral,13,0.3077,4.0755,52.9818
cpr_narrow_momentum_short,bear,4,0.25,-4.2447,-16.9787
cpr_narrow_momentum_short,bull,20,0.45,1.1508,23.0151
cpr_narrow_momentum_short,neutral,4,0.0,-10.3869,-41.5476
double_bottom_long,bull,6,0.5,1.2507,7.5044
double_bottom_long,neutral,5,0.2,-7.0884,-35.4419
force_index_breakout,bear,49,0.2041,-3.3208,-162.7216
force_index_breakout,bull,62,0.2581,-1.0251,-63.5535
force_index_breakout,neutral,24,0.1667,-5.0177,-120.4255
golden_cross_9_21,bear,13,0.1538,-3.057,-39.7408
golden_cross_9_21,bull,11,0.0,-6.237,-68.6068
golden_cross_9_21,neutral,9,0.3333,2.6415,23.7733
htf_aligned_breakout_long,bear,10,0.4,1.6565,16.5652
htf_aligned_breakout_long,bull,27,0.2593,-0.6533,-17.6392
htf_aligned_breakout_short,bear,37,0.2432,-1.5856,-58.6664
htf_aligned_breakout_short,bull,28,0.4286,2.7345,76.5655
hull_rsi,bear,26,0.2308,-4.4479,-115.6443
hull_rsi,bull,47,0.3191,1.65,77.5492
hull_rsi,neutral,6,0.3333,-3.0294,-18.1764
hull_rsi_short,bear,19,0.3158,-5.1416,-97.6912
hull_rsi_short,bull,37,0.2973,0.2646,9.7892
ichimoku_cloud_breakout,bear,18,0.1667,-6.5084,-117.1506
ichimoku_cloud_breakout,bull,41,0.3171,-1.0364,-42.4936
ichimoku_cloud_breakout,neutral,15,0.1333,-5.0456,-75.6834
ichimoku_tk_cross,bear,3,0.3333,2.9077,8.7232
ichimoku_tk_cross,bull,5,0.4,-4.7321,-23.6603
ichimoku_tk_cross,neutral,4,0.25,-6.7543,-27.0173
inside_bar_breakout,bull,4,0.5,-1.6607,-6.6426
insider_cluster_long,bear,3,0.3333,1.4785,4.4356
insider_cluster_long,bull,5,0.0,-8.8027,-44.0136
institutional_buy_momentum_long,bear,11,0.3636,7.0102,77.1123
institutional_buy_momentum_long,bull,11,0.3636,17.9525,197.477
institutional_buy_momentum_long,neutral,3,0.3333,-0.5859,-1.7578
institutional_cluster_long,bear,8,0.375,8.1546,65.2371
institutional_cluster_long,bull,15,0.2,-0.0642,-0.9632
institutional_cluster_long,neutral,13,0.2308,-5.7553,-74.8184
lead_lag_sector_rotation,bear,44,0.3182,0.3388,14.9074
lead_lag_sector_rotation,bull,23,0.3043,0.8135,18.7104
lead_lag_sector_rotation,neutral,5,0.2,-7.7048,-38.5238
macd_crossover,bear,8,0.0,-6.3529,-50.8234
macd_crossover,bull,18,0.2778,-1.5432,-27.7773
macd_crossover,neutral,3,0.6667,-1.0851,-3.2553
macd_fast_crossover,bear,17,0.2353,-3.0634,-52.0775
macd_fast_crossover,bull,25,0.32,25.8632,646.5795
macd_fast_crossover,neutral,10,0.4,5.1966,51.9661
monthly_bias_momentum_long,bear,48,0.2708,-1.4196,-68.1398
monthly_bias_momentum_long,bull,216,0.2685,0.6311,136.3201
monthly_bias_momentum_long,neutral,15,0.4,2.2957,34.4352
morning_star,bear,15,0.2,0.2132,3.1976
morning_star,bull,27,0.2222,-3.6518,-98.5991
morning_star,neutral,5,0.4,3.8586,19.293
news_sentiment_long,neutral,3,0.0,-9.0639,-27.1916
orb_stocks_in_play_long,bear,8,0.25,-0.7214,-5.7714
orb_stocks_in_play_long,bull,28,0.1786,-2.1888,-61.2865
orb_stocks_in_play_long,neutral,5,0.4,7.202,36.01
orb_stocks_in_play_short,bear,11,0.1818,-6.9405,-76.3459
orb_stocks_in_play_short,bull,22,0.2273,-5.5004,-121.0078
pairs_mean_reversion_long,bear,92,0.2717,2.0517,188.7575
pairs_mean_reversion_long,bull,129,0.2636,-0.8729,-112.6073
pairs_mean_reversion_long,neutral,16,0.25,-5.0834,-81.334
pairs_mean_reversion_short,bear,26,0.2692,-4.427,-115.103
pairs_mean_reversion_short,bull,8,0.0,-9.7823,-78.2586
pairs_mean_reversion_short,neutral,3,0.3333,-2.6689,-8.0068
parabolic_sar_flip,bear,27,0.1852,-1.5444,-41.6995
parabolic_sar_flip,bull,36,0.3611,0.8939,32.1798
parabolic_sar_flip,neutral,18,0.6111,2.1555,38.7987
pead_long,bear,42,0.3571,1.441,60.5218
