strategy,exit_method,earnings_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
adx_initiation,atr_trail_1x,no,142,0.2676056338028169,-1.4771873239436621,-209.7606
adx_initiation,atr_trail_1x,yes,54,0.35185185185185186,-0.04294814814814823,-2.3192000000000044
adx_initiation,atr_trail_2x,no,142,0.30985915492957744,-1.141912676056338,-162.1516
adx_initiation,atr_trail_2x,yes,54,0.5555555555555556,5.163516666666667,278.8299
adx_initiation,atr_trail_mae_conditional,no,142,0.2676056338028169,-1.4771873239436621,-209.7606
adx_initiation,atr_trail_mae_conditional,yes,54,0.35185185185185186,-0.04294814814814823,-2.3192000000000044
adx_initiation,atr_trail_vix_conditional,no,142,0.22535211267605634,-1.7428422535211268,-247.4836
adx_initiation,atr_trail_vix_conditional,yes,54,0.3888888888888889,1.07655,58.13369999999999
adx_initiation,break_even_at_1r,no,142,0.23943661971830985,-2.2729915492957744,-322.7648
adx_initiation,break_even_at_1r,yes,54,0.2037037037037037,1.6718666666666664,90.28079999999999
adx_initiation,breakeven_plus_trail,no,142,0.45774647887323944,1.4365183098591547,203.98559999999998
adx_initiation,breakeven_plus_trail,yes,54,0.6111111111111112,13.53353888888889,730.8111
adx_initiation,chandelier_3x,no,142,0.07746478873239436,-0.3849035211267606,-54.6563
adx_initiation,chandelier_3x,yes,54,0.18518518518518517,1.4983592592592592,80.9114
adx_initiation,class_time_stop,no,142,0.44366197183098594,-0.27067323943661975,-38.43560000000001
adx_initiation,class_time_stop,yes,54,0.6296296296296297,16.090127777777777,868.8669
adx_initiation,earnings_blackout,no,142,0.4507042253521127,6.226185211267606,884.1183000000001
adx_initiation,earnings_blackout,yes,54,0.6666666666666666,8.878192592592592,479.4224
adx_initiation,fixed_4r_2r,no,142,0.323943661971831,-0.9285971830985916,-131.8608
adx_initiation,fixed_4r_2r,yes,54,0.6296296296296297,12.36138148148148,667.5146
adx_initiation,hybrid_50pct_target,no,142,0.3873239436619718,-0.694449295774648,-98.61180000000002
adx_initiation,hybrid_50pct_target,yes,54,0.7777777777777778,8.045937037037037,434.4806
adx_initiation,ma_exit_ema9,no,142,0.3732394366197183,0.6000161971830986,85.20230000000001
adx_initiation,ma_exit_ema9,yes,54,0.4444444444444444,0.8327888888888887,44.97059999999999
adx_initiation,mfe_lockin_trail,no,142,0.2746478873239437,-1.4955288732394365,-212.36509999999998
adx_initiation,mfe_lockin_trail,yes,54,0.35185185185185186,-0.08843333333333332,-4.775399999999999
adx_initiation,multi_tier_partial,no,142,0.38028169014084506,-0.9673105633802815,-137.35809999999998
