preliminary_tier,confidence_tier,trades,win_rate,upgraded,downgraded
HIGH,HIGH,1,1.0,False,False
LOW,LOW,8,0.25,False,False
MEDIUM_HIGH,MEDIUM_HIGH,1,0.0,False,False
VERY_HIGH,VERY_HIGH,2,0.5,False,False
