preliminary_tier,confidence_tier,trades,win_rate,upgraded,downgraded
HIGH,HIGH,291,0.2886597938144329,False,False
HIGH,HIGH,407,0.3316953316953317,False,False
HIGH,HIGH,206,0.2912621359223301,False,False
HIGH,HIGH,247,0.2955465587044534,False,False
MEDIUM_HIGH,MEDIUM_HIGH,1,0.0,False,False
HIGH,HIGH,262,0.2824427480916031,False,False
HIGH,HIGH,229,0.2751091703056768,False,False
HIGH,HIGH,289,0.3252595155709342,False,False
HIGH,HIGH,282,0.3262411347517731,False,False
HIGH,HIGH,294,0.3435374149659864,False,False
HIGH,HIGH,224,0.28125,False,False
HIGH,HIGH,427,0.3138173302107728,False,False
MEDIUM_HIGH,MEDIUM_HIGH,1,0.0,False,False
HIGH,HIGH,213,0.2535211267605634,False,False
MEDIUM_HIGH,MEDIUM_HIGH,1,1.0,False,False
HIGH,HIGH,253,0.300395256916996,False,False
MEDIUM_HIGH,MEDIUM_HIGH,2,0.0,False,False
HIGH,HIGH,546,0.3534798534798535,False,False
HIGH,HIGH,266,0.2593984962406015,False,False
MEDIUM_HIGH,MEDIUM_HIGH,1,1.0,False,False
HIGH,HIGH,218,0.2385321100917431,False,False
MEDIUM_HIGH,MEDIUM_HIGH,1,0.0,False,False
HIGH,HIGH,215,0.3162790697674418,False,False
HIGH,HIGH,288,0.2638888888888889,False,False
MEDIUM_HIGH,MEDIUM_HIGH,2,0.5,False,False
HIGH,HIGH,191,0.2827225130890052,False,False
HIGH,HIGH,388,0.3041237113402061,False,False
MEDIUM_HIGH,MEDIUM_HIGH,2,0.0,False,False
HIGH,HIGH,255,0.2862745098039215,False,False
MEDIUM_HIGH,MEDIUM_HIGH,1,0.0,False,False
HIGH,HIGH,226,0.3008849557522124,False,False
HIGH,HIGH,384,0.2526041666666667,False,False
MEDIUM,MEDIUM,1,1.0,False,False
HIGH,HIGH,284,0.2746478873239437,False,False
MEDIUM_HIGH,MEDIUM_HIGH,2,0.0,False,False
HIGH,HIGH,291,0.3264604810996563,False,False
