strategy,exit_reason,is_n,is_wr_pct,is_mean_pct,is_sum_pp,oos_n,oos_wr_pct,oos_mean_pct,oos_sum_pp
hull_rsi_short,trailing_stop,5.0,20.0,-3.52,-17.61,0.0,0.0,0.0,0.0
ichimoku_cloud_breakout,end_of_backtest,0.0,0.0,0.0,0.0,1.0,0.0,-0.73,-0.73
ichimoku_cloud_breakout,trailing_stop,5.0,60.0,2.42,12.12,9.0,22.22,3.15,28.32
ichimoku_tk_cross,trailing_stop,8.0,25.0,-4.33,-34.61,2.0,50.0,2.86,5.72
insider_cluster_long,trailing_stop,10.0,20.0,-7.0,-70.0,9.0,22.22,-4.12,-37.11
lead_lag_sector_rotation,circuit_breaker_1,1.0,0.0,-2.73,-2.73,0.0,0.0,0.0,0.0
lead_lag_sector_rotation,time_stop_20d_mfe<0.5pct_batch213,0.0,0.0,0.0,0.0,1.0,0.0,-7.84,-7.84
lead_lag_sector_rotation,trailing_stop,14.0,14.29,-4.59,-64.31,5.0,60.0,31.07,155.33
macd_fast_crossover,circuit_breaker_1,2.0,0.0,-16.6,-33.2,1.0,100.0,8.42,8.42
macd_fast_crossover,end_of_backtest,0.0,0.0,0.0,0.0,4.0,25.0,3.45,13.8
macd_fast_crossover,time_stop_30d_mfe<0.5pct_batch213,0.0,0.0,0.0,0.0,1.0,0.0,-6.53,-6.53
macd_fast_crossover,trailing_stop,83.0,34.94,-1.69,-140.41,24.0,33.33,-2.96,-71.11
macd_ichimoku,trailing_stop,11.0,18.18,-10.36,-114.01,4.0,0.0,-8.63,-34.53
monthly_bias_momentum_long,circuit_breaker_1,9.0,22.22,-13.29,-119.58,10.0,30.0,-4.62,-46.21
monthly_bias_momentum_long,end_of_backtest,5.0,80.0,2.64,13.22,47.0,82.98,7.96,373.98
monthly_bias_momentum_long,time_stop_20d_mfe<0.5pct_batch213,10.0,0.0,-4.63,-46.27,7.0,0.0,-6.99,-48.93
monthly_bias_momentum_long,trailing_stop,219.0,29.68,-0.56,-122.16,194.0,21.13,-1.99,-385.69
orb_stocks_in_play_long,circuit_breaker_1,3.0,33.33,0.77,2.32,4.0,50.0,16.58,66.31
orb_stocks_in_play_long,end_of_backtest,0.0,0.0,0.0,0.0,9.0,77.78,6.52,58.68
orb_stocks_in_play_long,trailing_stop,22.0,22.73,16.51,363.16,54.0,22.22,-1.87,-100.93
orb_stocks_in_play_short,circuit_breaker_1,1.0,0.0,-10.58,-10.58,0.0,0.0,0.0,0.0
orb_stocks_in_play_short,trailing_stop,93.0,31.18,-2.31,-214.48,20.0,35.0,-2.29,-45.78
pivot_r1_breakout,circuit_breaker_1,1.0,0.0,-18.51,-18.51,1.0,0.0,-3.33,-3.33
pivot_r1_breakout,end_of_backtest,0.0,0.0,0.0,0.0,5.0,80.0,9.5,47.48
pivot_r1_breakout,trailing_stop,52.0,19.23,-4.34,-225.44,37.0,32.43,-1.5,-55.37
pivot_r2_continuation,trailing_stop,0.0,0.0,0.0,0.0,1.0,0.0,-10.52,-10.52
pivot_s1_bounce,end_of_backtest,3.0,33.33,-0.01,-0.03,0.0,0.0,0.0,0.0
pivot_s1_bounce,trailing_stop,16.0,50.0,7.95,127.27,1.0,0.0,-5.38,-5.38
pivot_s2_bounce,trailing_stop,5.0,60.0,6.23,31.14,1.0,0.0,-10.49,-10.49
pivot_s3_capitulation,trailing_stop,3.0,33.33,-4.3,-12.91,0.0,0.0,0.0,0.0
po3_bearish,circuit_breaker_1,2.0,50.0,9.2,18.4,0.0,0.0,0.0,0.0
po3_bearish,ma_exit_ema9_above_batch285,248.0,26.61,-1.27,-314.22,113.0,18.58,-4.46,-503.57
po3_bearish,trailing_stop,11.0,45.45,-7.42,-81.61,29.0,10.34,-7.91,-229.52
po3_bullish,circuit_breaker_1,1.0,0.0,-26.32,-26.32,2.0,0.0,-7.01,-14.02
po3_bullish,class_time_stop_po3_20d_batch284,144.0,54.86,1.88,271.02,136.0,53.68,2.91,395.15
po3_bullish,end_of_backtest,1.0,0.0,-0.12,-0.12,13.0,46.15,-0.25,-3.28
po3_bullish,trailing_stop,47.0,0.0,-10.0,-469.88,72.0,1.39,-7.75,-557.86
po3_htf_aligned_long,end_of_backtest,1.0,0.0,-61.43,-61.43,2.0,50.0,1.05,2.11
po3_htf_aligned_long,time_stop_20d_mfe<0.5pct_batch213,1.0,0.0,-4.85,-4.85,0.0,0.0,0.0,0.0
po3_htf_aligned_long,trailing_stop,29.0,17.24,-1.79,-51.82,11.0,9.09,-6.18,-67.97
po3_htf_aligned_short,trailing_stop,14.0,35.71,0.91,12.8,4.0,0.0,-7.89,-31.55
prev_day_high_break,trailing_stop,4.0,50.0,-11.91,-47.66,1.0,0.0,-5.78,-5.78
prev_day_low_bounce,trailing_stop,11.0,9.09,-6.79,-74.73,0.0,0.0,0.0,0.0
r1_break_retest,circuit_breaker_1,0.0,0.0,0.0,0.0,1.0,0.0,-16.74,-16.74
risk_off_bond_equity_short,trailing_stop,3.0,0.0,-5.94,-17.81,0.0,0.0,0.0,0.0
roc_burst,circuit_breaker_1,1.0,0.0,-13.8,-13.8,0.0,0.0,0.0,0.0
roc_burst,trailing_stop,3.0,0.0,-10.44,-31.31,0.0,0.0,0.0,0.0
rsi21_slow,trailing_stop,1.0,100.0,16.85,16.85,0.0,0.0,0.0,0.0
rsi_oversold,trailing_stop,0.0,0.0,0.0,0.0,1.0,0.0,-10.31,-10.31
smc_bos_continuation,circuit_breaker_1,2.0,50.0,-2.36,-4.72,1.0,0.0,-10.71,-10.71
smc_bos_continuation,end_of_backtest,0.0,0.0,0.0,0.0,4.0,75.0,4.81,19.25
smc_bos_continuation,time_stop_20d_mfe<0.5pct_batch213,0.0,0.0,0.0,0.0,1.0,0.0,-3.04,-3.04
