strategy,regime,trades,win_rate,avg_pnl,total_roi
avwap_50_reclaim,bull,3,0.6667,7.0009,21.0026
buyback_8k_recent_long,bull,22,0.4545,2.8768,63.2892
buyback_8k_recent_long,neutral,4,0.25,-5.0588,-20.235
cmf_flip,bear,5,0.2,-2.2109,-11.0546
cmf_flip,bull,4,0.0,-7.0433,-28.1732
cpr_narrow_bullish,neutral,8,0.375,-2.9352,-23.4815
htf_aligned_breakout_long,bull,9,0.2222,-4.151,-37.3594
hull_rsi,bear,4,0.25,-2.7365,-10.9459
monthly_bias_momentum_long,bull,18,0.2778,-3.4244,-61.6385
monthly_bias_momentum_long,neutral,5,0.2,-3.205,-16.0252
orb_stocks_in_play_short,bear,3,0.0,-6.887,-20.661
po3_bearish,bear,4,0.25,-5.1198,-20.4792
po3_bullish,bull,14,0.2857,-1.5174,-21.2436
po3_htf_aligned_long,bull,3,0.6667,-0.922,-2.766
smc_inverse_fvg,bear,19,0.2105,-4.8015,-91.2277
smc_inverse_fvg,bull,30,0.2667,-1.9627,-58.8825
smc_inverse_fvg,neutral,35,0.3714,-1.2459,-43.6065
supertrend_macd,neutral,3,0.3333,3.2874,9.8622
xs_combined_momentum_low_ivol,bear,3,0.0,-3.3126,-9.9378
xs_low_beta_long,bull,18,0.3889,-1.8107,-32.5924
xs_momentum_bottom_decile_short,bear,3,0.3333,-5.5924,-16.7772
xs_momentum_top_decile,bull,9,0.5556,1.8711,16.8399
xs_momentum_top_decile,neutral,5,0.0,-6.2835,-31.4175
