strategy,exit_method,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct
buyback_8k_recent_long,smc_mitigation_zone,short_le_3d,3,0.3333333333333333,-1.1705666666666665,-3.5117
buyback_8k_recent_long,time_stop_10d,long_ge_11d,22,0.8636363636363636,2.106654545454546,46.3464
buyback_8k_recent_long,time_stop_10d,medium_4_10d,1,0.0,-20.1401,-20.1401
buyback_8k_recent_long,time_stop_10d,short_le_3d,3,0.3333333333333333,0.14333333333333323,0.4299999999999997
buyback_8k_recent_long,time_stop_20d,long_ge_11d,22,0.5909090909090909,2.3503045454545455,51.706700000000005
buyback_8k_recent_long,time_stop_20d,medium_4_10d,1,0.0,-21.3227,-21.3227
buyback_8k_recent_long,time_stop_20d,short_le_3d,3,0.6666666666666666,4.386,13.158000000000001
buyback_8k_recent_long,trailing_10pct,long_ge_11d,22,0.45454545454545453,5.906927272727273,129.9524
buyback_8k_recent_long,trailing_10pct,medium_4_10d,1,0.0,-10.0,-10.0
buyback_8k_recent_long,trailing_10pct,short_le_3d,3,0.6666666666666666,6.573133333333334,19.7194
buyback_8k_recent_long,trailing_15pct,long_ge_11d,22,0.5,9.343972727272726,205.5674
buyback_8k_recent_long,trailing_15pct,medium_4_10d,1,0.0,-15.0,-15.0
buyback_8k_recent_long,trailing_15pct,short_le_3d,3,0.6666666666666666,27.696,83.08800000000001
buyback_8k_recent_long,trailing_5pct,long_ge_11d,22,0.4090909090909091,0.2456681818181818,5.4047
buyback_8k_recent_long,trailing_5pct,medium_4_10d,1,0.0,-5.0,-5.0
buyback_8k_recent_long,trailing_5pct,short_le_3d,3,0.3333333333333333,0.5680666666666667,1.7042000000000002
cmf_flip,atr_trail_1x,long_ge_11d,8,0.25,-1.606775,-12.8542
cmf_flip,atr_trail_1x,medium_4_10d,3,0.0,-4.8058000000000005,-14.4174
cmf_flip,atr_trail_2x,long_ge_11d,8,0.25,-2.7307125,-21.8457
cmf_flip,atr_trail_2x,medium_4_10d,3,0.0,-7.5459000000000005,-22.637700000000002
cmf_flip,atr_trail_mae_conditional,long_ge_11d,8,0.25,-1.606775,-12.8542
cmf_flip,atr_trail_mae_conditional,medium_4_10d,3,0.0,-4.8058000000000005,-14.4174
cmf_flip,atr_trail_vix_conditional,long_ge_11d,8,0.25,-3.056425,-24.4514
cmf_flip,atr_trail_vix_conditional,medium_4_10d,3,0.0,-7.333433333333335,-22.000300000000003
cmf_flip,break_even_at_1r,long_ge_11d,8,0.0,-1.68795,-13.5036
cmf_flip,break_even_at_1r,medium_4_10d,3,0.0,-4.8058000000000005,-14.4174
cmf_flip,breakeven_plus_trail,long_ge_11d,8,0.0,-3.9647875,-31.7183
cmf_flip,breakeven_plus_trail,medium_4_10d,3,0.0,-9.611633333333334,-28.8349
cmf_flip,chandelier_3x,long_ge_11d,8,0.0,-0.2255625,-1.8045
cmf_flip,chandelier_3x,medium_4_10d,3,0.0,-0.2473,-0.7419
cmf_flip,class_time_stop,long_ge_11d,8,0.25,-3.8938625,-31.1509
cmf_flip,class_time_stop,medium_4_10d,3,0.0,-5.425166666666666,-16.275499999999997
cmf_flip,earnings_blackout,long_ge_11d,8,0.5,163.85098750000003,1310.8079000000002
cmf_flip,earnings_blackout,medium_4_10d,3,0.6666666666666666,5.589866666666668,16.769600000000004
cmf_flip,fixed_4r_2r,long_ge_11d,8,0.125,-5.1301125,-41.0409
cmf_flip,fixed_4r_2r,medium_4_10d,3,0.0,-9.611633333333334,-28.8349
cmf_flip,hybrid_50pct_target,long_ge_11d,8,0.375,-4.3649375,-34.9195
cmf_flip,hybrid_50pct_target,medium_4_10d,3,0.0,-10.0,-30.0
cmf_flip,ma_exit_ema9,long_ge_11d,8,0.375,-0.832775,-6.6622
cmf_flip,ma_exit_ema9,medium_4_10d,3,0.0,-2.3504666666666667,-7.0514
cmf_flip,mfe_lockin_trail,long_ge_11d,8,0.25,-1.606775,-12.8542
cmf_flip,mfe_lockin_trail,medium_4_10d,3,0.0,-4.8058000000000005,-14.4174
cmf_flip,multi_tier_partial,long_ge_11d,8,0.5,-1.1951749999999999,-9.561399999999999
cmf_flip,multi_tier_partial,medium_4_10d,3,0.0,-4.8058000000000005,-14.4174
cmf_flip,next_pivot_target,long_ge_11d,8,0.75,-0.8831500000000001,-7.065200000000001
cmf_flip,next_pivot_target,medium_4_10d,3,0.0,-10.032933333333334,-30.0988
cmf_flip,r_multiple_2r,long_ge_11d,8,0.25,-1.8994625000000003,-15.195700000000002
cmf_flip,r_multiple_2r,medium_4_10d,3,0.0,-4.8058000000000005,-14.4174
cmf_flip,r_multiple_3r,long_ge_11d,8,0.125,-2.773325,-22.1866
cmf_flip,r_multiple_3r,medium_4_10d,3,0.0,-4.8058000000000005,-14.4174
cmf_flip,regime_flip,long_ge_11d,8,0.375,-3.4066125,-27.2529
