tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,2,0.5,-3.5489,0.3251,-7.0978,HIGH
HIGH,130,0.2692,-2.0214,0.5302,-262.7819,MEDIUM
