strategy,exit_method,hy_oas_band_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,smc_mitigation_zone,no_data,19,0.3157894736842105,-0.2393684210526316,-4.548
bollinger_lower,time_stop_10d,no_data,19,0.3157894736842105,-0.46094736842105277,-8.758000000000003
bollinger_lower,time_stop_20d,no_data,19,0.3684210526315789,0.8178789473684208,15.539699999999996
bollinger_lower,trailing_10pct,no_data,19,0.2631578947368421,-3.5954526315789477,-68.31360000000001
bollinger_lower,trailing_15pct,no_data,19,0.21052631578947367,-4.621063157894736,-87.80019999999999
bollinger_lower,trailing_5pct,no_data,19,0.05263157894736842,-2.982015789473684,-56.6583
bollinger_tight,atr_trail_1x,no_data,10,0.1,-1.28316,-12.8316
bollinger_tight,atr_trail_1x,normal_3_5,1,0.0,-0.225,-0.225
bollinger_tight,atr_trail_2x,no_data,10,0.2,-3.33646,-33.3646
bollinger_tight,atr_trail_2x,normal_3_5,1,0.0,-2.3502,-2.3502
bollinger_tight,atr_trail_mae_conditional,no_data,10,0.1,-1.28316,-12.8316
bollinger_tight,atr_trail_mae_conditional,normal_3_5,1,0.0,-0.225,-0.225
bollinger_tight,atr_trail_vix_conditional,no_data,10,0.1,-1.83879,-18.3879
bollinger_tight,atr_trail_vix_conditional,normal_3_5,1,0.0,-1.4196,-1.4196
bollinger_tight,break_even_at_1r,no_data,10,0.1,-1.26896,-12.6896
bollinger_tight,break_even_at_1r,normal_3_5,1,0.0,-0.225,-0.225
bollinger_tight,breakeven_plus_trail,no_data,10,0.2,-0.6575199999999999,-6.575199999999999
bollinger_tight,breakeven_plus_trail,normal_3_5,1,0.0,0.0,0.0
bollinger_tight,chandelier_3x,no_data,10,0.0,-0.50424,-5.0424
bollinger_tight,chandelier_3x,normal_3_5,1,0.0,-1.5913,-1.5913
bollinger_tight,class_time_stop,no_data,10,0.3,-2.61578,-26.1578
bollinger_tight,class_time_stop,normal_3_5,1,1.0,9.2213,9.2213
bollinger_tight,earnings_blackout,no_data,10,0.6,29.40808,294.0808
bollinger_tight,earnings_blackout,normal_3_5,1,1.0,29.1842,29.1842
bollinger_tight,fixed_4r_2r,no_data,10,0.1,-2.67949,-26.7949
bollinger_tight,fixed_4r_2r,normal_3_5,1,1.0,10.28,10.28
bollinger_tight,hybrid_50pct_target,no_data,10,0.5,-1.09024,-10.9024
bollinger_tight,hybrid_50pct_target,normal_3_5,1,1.0,7.1238,7.1238
bollinger_tight,ma_exit_ema9,no_data,10,0.4,-0.21093,-2.1093
bollinger_tight,ma_exit_ema9,normal_3_5,1,0.0,-0.4628,-0.4628
bollinger_tight,mfe_lockin_trail,no_data,10,0.1,-1.01957,-10.1957
bollinger_tight,mfe_lockin_trail,normal_3_5,1,0.0,-0.225,-0.225
bollinger_tight,multi_tier_partial,no_data,10,0.2,-0.9922600000000001,-9.922600000000001
bollinger_tight,multi_tier_partial,normal_3_5,1,1.0,0.7067,0.7067
bollinger_tight,next_pivot_target,no_data,10,0.8,-0.060819999999999964,-0.6081999999999996
bollinger_tight,next_pivot_target,normal_3_5,1,1.0,7.71,7.71
bollinger_tight,r_multiple_2r,no_data,10,0.2,-0.5149500000000001,-5.1495000000000015
bollinger_tight,r_multiple_2r,normal_3_5,1,1.0,5.14,5.14
bollinger_tight,r_multiple_3r,no_data,10,0.1,-0.7008599999999999,-7.0085999999999995
bollinger_tight,r_multiple_3r,normal_3_5,1,1.0,7.71,7.71
bollinger_tight,regime_flip,no_data,10,0.2,-1.0215999999999998,-10.216
bollinger_tight,regime_flip,normal_3_5,1,1.0,2.7338,2.7338
bollinger_tight,reverse_signal,no_data,10,0.1,-1.28316,-12.8316
bollinger_tight,reverse_signal,normal_3_5,1,0.0,-0.225,-0.225
bollinger_tight,smc_mitigation_zone,no_data,10,0.3,-0.11103,-1.1103
bollinger_tight,smc_mitigation_zone,normal_3_5,1,1.0,0.0526,0.0526
bollinger_tight,time_stop_10d,no_data,10,0.6,1.58834,15.883400000000002
bollinger_tight,time_stop_10d,normal_3_5,1,1.0,2.0499,2.0499
bollinger_tight,time_stop_20d,no_data,10,0.2,-1.0215999999999998,-10.216
bollinger_tight,time_stop_20d,normal_3_5,1,1.0,2.7338,2.7338
bollinger_tight,trailing_10pct,no_data,10,0.3,-1.79936,-17.9936
bollinger_tight,trailing_10pct,normal_3_5,1,1.0,6.5376,6.5376
bollinger_tight,trailing_15pct,no_data,10,0.2,-4.996180000000001,-49.961800000000004
bollinger_tight,trailing_15pct,normal_3_5,1,1.0,0.6188,0.6188
bollinger_tight,trailing_5pct,no_data,10,0.0,-3.8076099999999995,-38.0761
bollinger_tight,trailing_5pct,normal_3_5,1,0.0,-2.4264,-2.4264
cpr_narrow_bullish,atr_trail_1x,no_data,9,0.3333333333333333,0.40561111111111114,3.6505
cpr_narrow_bullish,atr_trail_1x,normal_3_5,10,0.3,-1.12108,-11.2108
cpr_narrow_bullish,atr_trail_2x,no_data,9,0.3333333333333333,-0.4681333333333334,-4.2132000000000005
