strategy,regime,trades,win_rate,avg_pnl,total_roi
bollinger_lower,neutral,57,0.2982,-0.4537,-25.8604
bollinger_tight,neutral,39,0.3333,-2.1938,-85.5597
cpr_narrow_bullish,neutral,25,0.24,-6.7615,-169.0372
ichimoku_cloud_breakout,neutral,5,0.0,-6.6112,-33.0558
macd_crossover,neutral,3,0.6667,14.6575,43.9725
pivot_r1_breakout,neutral,44,0.25,-0.9622,-42.3368
pivot_r2_continuation,neutral,14,0.1429,-4.0656,-56.9179
stochrsi_oversold,neutral,22,0.2727,0.0655,1.4419
supertrend_macd,neutral,3,0.0,-6.284,-18.8521
williams_r_oversold,neutral,11,0.3636,-1.6183,-17.8013
