ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
GH,bollinger_lower,2022-05-05,long,47.1713,trailing_10pct,-10.0,False,1,42.4542,2022-05-06,neutral,Health Care,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,T2,no,0.0,0.1068933864447238,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,low_1_5,yes,thu,56,unknown,no_data,25_100M,unknown,no_data
UAA,bollinger_lower,2022-05-05,long,11.2805,trailing_10pct,-10.0,False,5,10.1524,2022-05-10,neutral,Consumer Discretionary,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,T1a,no,0.0,0.06412836310447233,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,yes,thu,56,unknown,no_data,25_100M,unknown,no_data
MELI,bollinger_lower,2022-05-05,long,964.33,trailing_10pct,-10.0,False,4,867.897,2022-05-09,neutral,Consumer Discretionary,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,T1c,no,0.0,0.07294235375856813,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,mid_6_20,yes,thu,56,unknown,no_data,100_500M,unknown,no_data
ESTC,bollinger_lower,2022-05-05,long,67.1722,trailing_10pct,-10.0,False,4,60.455,2022-05-09,neutral,Information Technology,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,T2,no,0.0,0.08831778622704035,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,thu,56,unknown,no_data,100_500M,unknown,no_data
DISH,bollinger_lower,2022-05-09,long,21.8175,trailing_10pct,-10.0,False,2,19.6357,2022-05-11,neutral,Communication Services,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,T1a,no,0.0,0.07832244757648678,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no_data,mon,52,unknown,no_data,100_500M,unknown,no_data
RKLB,bollinger_lower,2022-05-09,long,5.8663,trailing_10pct,-10.0,False,2,5.2797,2022-05-11,neutral,Industrials,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,T2,no,0.0,0.08961355539266658,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,mon,52,unknown,no_data,5_25M,unknown,no_data
CPRX,bollinger_lower,2022-05-09,long,6.6601,trailing_10pct,-2.1036,False,32,6.52,2022-06-10,neutral,Health Care,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,loss,unknown,no,0.0,0.05926337442380745,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,mid_6_20,yes,mon,52,unknown,no_data,5_25M,unknown,no_data
XLRE,bollinger_lower,2022-05-05,long,44.9521,trailing_10pct,-10.7939,False,39,40.1,2022-06-13,neutral,Real Estate,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,T1ETF,no,0.0,0.02578300012680164,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,no,thu,56,unknown,no_data,100_500M,unknown,no_data
LYV,bollinger_lower,2022-05-09,long,88.7375,trailing_10pct,-1.4171,False,35,87.48,2022-06-13,neutral,Communication Services,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,loss,T1a,no,0.0,0.062434709113959715,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,no,mon,52,unknown,no_data,100_500M,unknown,no_data
HASI,bollinger_lower,2022-05-12,long,36.1411,trailing_10pct,0.1823,True,32,36.207,2022-06-13,neutral,Financials,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,loss,T2,no,0.0,0.05574263096585328,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,yes,thu,49,unknown,no_data,25_100M,unknown,no_data
AXP,bollinger_lower,2022-05-12,long,156.4677,trailing_10pct,-4.223,False,32,149.86,2022-06-13,neutral,Financials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,T1a,no,0.0,0.0390713227074981,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,thu,49,unknown,no_data,ge_500M,unknown,no_data
IRM,bollinger_lower,2022-05-19,long,49.6186,trailing_10pct,-0.3479,False,25,49.446,2022-06-13,neutral,Real Estate,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,T1a,no,0.0,0.03412631553490022,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,no,thu,42,unknown,no_data,25_100M,unknown,no_data
QS,bollinger_lower,2022-06-13,long,8.9856,trailing_10pct,-7.7524,False,3,8.289,2022-06-16,neutral,Industrials,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,unknown,no,0.0,0.11656428062678065,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,mon,17,unknown,no_data,25_100M,unknown,no_data
NVTS,bollinger_lower,2022-06-13,long,5.3952,trailing_10pct,-8.919,False,3,4.914,2022-06-16,neutral,Information Technology,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,unknown,no,0.0,0.11454626334519573,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,mon,17,unknown,no_data,5_25M,unknown,no_data
ADBE,bollinger_lower,2022-06-13,long,372.0181,trailing_10pct,-8.8141,False,4,339.228,2022-06-17,neutral,Information Technology,HIGH,unknown,high_atr_2.5_5pct,medium_4_10d,loss,T1c,no,0.0,0.04721060615061471,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,mon,17,unknown,no_data,ge_500M,unknown,no_data
DOMO,bollinger_lower,2022-06-13,long,24.7671,trailing_10pct,12.0438,True,10,27.75,2022-06-23,neutral,Information Technology,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,win,unknown,no,0.0,0.11717157034937478,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,17,unknown,no_data,5_25M,unknown,no_data
WOLF,bollinger_lower,2022-06-16,long,59.0886,trailing_10pct,8.7519,True,13,64.26,2022-06-29,neutral,Information Technology,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,win,unknown,no,0.0,0.08595058945380328,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,yes,thu,14,unknown,no_data,100_500M,unknown,no_data
SWIM,bollinger_lower,2022-06-16,long,6.7672,trailing_10pct,-4.377,False,7,6.471,2022-06-23,neutral,Materials,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,win,unknown,no,0.0,0.12291642038065966,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,thu,14,unknown,no_data,5_25M,unknown,no_data
PXD,bollinger_lower,2022-06-16,long,240.166,trailing_10pct,-10.0,False,19,216.1494,2022-07-05,neutral,Energy,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,T1a,no,0.0,0.04470741070759391,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,no_data,thu,14,unknown,no_data,ge_500M,unknown,no_data
NG,bollinger_lower,2022-06-30,long,4.6997,trailing_10pct,-6.3557,False,6,4.401,2022-07-06,neutral,Materials,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,unknown,no,0.0,0.06432325467583037,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,thu,0,unknown,no_data,5_25M,unknown,no_data
SGEN,bollinger_lower,2022-05-09,long,114.8545,trailing_10pct,28.9109,True,39,148.06,2022-06-17,neutral,Health Care,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,win,T1c,no,0.0,0.05354600821038793,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,no_data,mon,52,unknown,no_data,100_500M,unknown,no_data
VRSN,bollinger_lower,2022-06-16,long,156.7448,trailing_10pct,18.4664,True,74,185.69,2022-08-29,neutral,Information Technology,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1c,no,0.0,0.03581362826709403,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,mid_6_20,yes,thu,14,unknown,no_data,100_500M,unknown,no_data
DWAC,bollinger_lower,2022-08-29,long,25.5564,trailing_10pct,-10.0,False,3,23.0008,2022-09-01,neutral,Unknown,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,unknown,no,0.0,0.06649606360833295,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,no_data,mon,32,unknown,no_data,5_25M,unknown,no_data
ACI,bollinger_lower,2022-06-30,long,26.8592,trailing_10pct,-0.4475,False,82,26.739,2022-09-20,neutral,Consumer Discretionary,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,T3,no,0.0,0.04249568118186692,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,mid_6_20,yes,thu,0,unknown,no_data,25_100M,unknown,no_data
