date,ticker,level,reason,exit_price,event,z_score,today_dispersion,dd_from_peak,rolling_peak_equity,current_equity,action,new_stop
2022-05-06,UAA,1.0,overnight_gap_down_21.4pct,11.23,,,,,,,,
2022-05-10,,,,,dispersion_cb_triggered_dec128,3.3845,0.058045,,,,,
2022-06-17,,6.0,,,halt_triggered,,,-0.2003,100000.0,79974.65,,
2022-06-30,,6.0,,,halt_resumed,,,-0.1758,100000.0,82420.9,,
2022-07-01,,,,,dispersion_cb_triggered_dec128,4.1222,0.057213,,,,,
2022-07-04,,,,,dispersion_cb_triggered_dec128,4.1222,0.057213,,,,,
2022-07-06,,6.0,,,halt_triggered,,,-0.2089,100000.0,79114.22,,
2022-07-26,TRU,1.0,overnight_gap_down_12.8pct,76.5,,,,,,,,
2022-08-29,,6.0,,,halt_resumed,,,-0.188,100000.0,81195.31,,
2022-09-06,,6.0,,,halt_triggered,,,-0.204,100000.0,79604.67,,
2022-09-15,,6.0,,,halt_resumed,,,-0.1609,100000.0,83911.44,,
2022-09-22,,6.0,,,halt_triggered,,,-0.2199,100000.0,78011.29000000001,,
2022-10-04,BHVN,1.0,overnight_gap_down_95.2pct,7.3,,,,,,,,
2022-11-22,,6.0,,,halt_triggered,,,-0.3588,100000.0,64117.07,,
2023-01-24,,6.0,,,halt_triggered,,,-0.3938,100000.0,60615.62,,
2023-02-07,,6.0,,,halt_resumed,,,-0.3204,100000.0,67961.08,,
2023-02-08,,6.0,,,halt_triggered,,,-0.3204,100000.0,67961.08,,
2023-04-11,,6.0,,,halt_triggered,,,-0.3899,100000.0,61007.96,,
2023-06-13,,6.0,,,halt_triggered,,,-0.4106,100000.0,58940.54,,
2023-08-01,,6.0,,,halt_resumed,,,-0.3941,100000.0,60586.44,,
2023-08-02,,6.0,,,halt_triggered,,,-0.4042,100000.0,59579.21,,
2023-08-17,,6.0,,,halt_resumed,,,-0.3855,100000.0,61448.96,,
2023-08-18,,6.0,,,halt_triggered,,,-0.3855,100000.0,61448.96,,
2023-09-28,,6.0,,,halt_resumed,,,-0.362,100000.0,63795.090000000004,,
2023-09-29,,6.0,,,halt_triggered,,,-0.3157,100000.0,68434.97,,
2023-11-29,,6.0,,,halt_triggered,,,-0.3492,100000.0,65077.68,,
2024-01-02,,6.0,,,halt_resumed,,,-0.3316,100000.0,66835.36,,
2024-01-03,,6.0,,,halt_triggered,,,-0.3316,100000.0,66835.36,,
2024-01-30,CALX,1.0,overnight_gap_down_24.5pct,33.49,,,,,,,,
2024-02-21,ZS,1.0,overnight_gap_down_14.5pct,213.0,,,,,,,,
2024-02-29,IRWD,1.0,overnight_gap_down_29.5pct,10.66,,,,,,,,
2024-03-05,,6.0,,,halt_triggered,,,-0.3689,100000.0,63114.49,,
2024-05-07,,6.0,,,halt_triggered,,,-0.3835,100000.0,61653.04,,
2024-05-23,,6.0,,,halt_resumed,,,-0.3315,100000.0,66845.79000000001,,
2024-05-24,,6.0,,,halt_triggered,,,-0.3315,100000.0,66845.79000000001,,
2024-07-24,,6.0,,,halt_triggered,,,-0.3208,100000.0,67919.29000000001,,
2024-08-02,,6.0,,,halt_resumed,,,-0.2889,100000.0,71114.6,,
2024-08-05,,6.0,,,halt_triggered,,,-0.3016,100000.0,69835.93,,
2024-10-07,,6.0,,,halt_triggered,,,-0.3205,100000.0,67949.68,,
2024-12-09,,6.0,,,halt_triggered,,,-0.3062,100000.0,69379.53,,
2024-12-18,,6.0,,,halt_resumed,,,-0.2627,100000.0,73731.1,,
2024-12-19,,6.0,,,halt_triggered,,,-0.2627,100000.0,73731.1,,
2025-02-18,,6.0,,,halt_triggered,,,-0.2627,100000.0,73731.1,,
2025-04-04,NI,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,39.168499999999995
2025-04-04,GDDY,5.0,vix_crisis_45.3,,,,,,,,tighten_stop,174.98049999999998
2025-04-04,,6.0,,,halt_resumed,,,-0.2389,100000.0,76109.12,,
2025-04-07,,6.0,,,halt_triggered,,,-0.2389,100000.0,76109.12,,
2025-06-06,,,,,dispersion_cb_triggered_dec128,4.5989,0.069099,,,,,
2025-06-09,,6.0,,,halt_triggered,,,-0.2389,100000.0,76109.12,,
2025-08-11,,6.0,,,halt_triggered,,,-0.2389,100000.0,76109.12,,
2025-10-13,,6.0,,,halt_triggered,,,-0.2394,100000.0,76063.02,,
2025-12-15,,6.0,,,halt_triggered,,,-0.2388,100000.0,76123.24,,
2026-02-16,,6.0,,,halt_triggered,,,-0.2527,100000.0,74732.63,,
2026-04-20,,6.0,,,halt_triggered,,,-0.273,100000.0,72702.19,,
