tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,2,0.5,-1.3214,0.7482,-2.6428,HIGH
HIGH,22,0.4091,0.3455,1.1351,7.6007,MEDIUM
MEDIUM,2,0.5,-4.9881,0.052,-9.9762,LOW
LOW,11,0.5455,0.9128,1.8142,10.0405,LOW
