strategy,exit_method,universe_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_fast_crossover,chandelier_3x,T1c,2,0.0,-1.48745,-2.9749
macd_fast_crossover,class_time_stop,T1ETF,1,0.0,-6.5003,-6.5003
macd_fast_crossover,class_time_stop,T1a,4,0.5,-0.09927499999999995,-0.3970999999999998
macd_fast_crossover,class_time_stop,T1c,2,0.0,-24.3167,-48.6334
macd_fast_crossover,earnings_blackout,T1ETF,1,0.0,-6.5003,-6.5003
macd_fast_crossover,earnings_blackout,T1a,4,0.75,0.269525,1.0781
macd_fast_crossover,earnings_blackout,T1c,2,0.0,-12.873750000000001,-25.747500000000002
macd_fast_crossover,fixed_4r_2r,T1ETF,1,0.0,-1.7386,-1.7386
macd_fast_crossover,fixed_4r_2r,T1a,4,0.5,-0.9668749999999999,-3.8674999999999997
macd_fast_crossover,fixed_4r_2r,T1c,2,0.0,-3.74435,-7.4887
macd_fast_crossover,hybrid_50pct_target,T1ETF,1,0.0,-6.5003,-6.5003
macd_fast_crossover,hybrid_50pct_target,T1a,4,0.75,0.269525,1.0781
macd_fast_crossover,hybrid_50pct_target,T1c,2,0.0,-25.39585,-50.7917
macd_fast_crossover,ma_exit_ema9,T1ETF,1,0.0,-1.0863,-1.0863
macd_fast_crossover,ma_exit_ema9,T1a,4,0.0,-0.7631,-3.0524
macd_fast_crossover,ma_exit_ema9,T1c,2,0.0,-1.9062000000000001,-3.8124000000000002
macd_fast_crossover,mfe_lockin_trail,T1ETF,1,0.0,-0.8693,-0.8693
macd_fast_crossover,mfe_lockin_trail,T1a,4,0.0,-1.027475,-4.1099
macd_fast_crossover,mfe_lockin_trail,T1c,2,0.0,-1.7197,-3.4394
macd_fast_crossover,multi_tier_partial,T1ETF,1,0.0,-0.8693,-0.8693
macd_fast_crossover,multi_tier_partial,T1a,4,0.5,-0.38937499999999997,-1.5574999999999999
macd_fast_crossover,multi_tier_partial,T1c,2,0.0,-1.7197,-3.4394
macd_fast_crossover,next_pivot_target,T1ETF,1,0.0,-1.7386,-1.7386
macd_fast_crossover,next_pivot_target,T1a,4,0.5,-1.0714,-4.2856
macd_fast_crossover,next_pivot_target,T1c,2,0.0,-3.74435,-7.4887
macd_fast_crossover,r_multiple_2r,T1ETF,1,0.0,-0.8693,-0.8693
macd_fast_crossover,r_multiple_2r,T1a,4,0.0,-1.347825,-5.3913
macd_fast_crossover,r_multiple_2r,T1c,2,0.0,-1.8721999999999999,-3.7443999999999997
macd_fast_crossover,r_multiple_3r,T1ETF,1,0.0,-0.8693,-0.8693
macd_fast_crossover,r_multiple_3r,T1a,4,0.0,-1.347825,-5.3913
macd_fast_crossover,r_multiple_3r,T1c,2,0.0,-1.8721999999999999,-3.7443999999999997
macd_fast_crossover,regime_flip,T1ETF,1,0.0,-4.818,-4.818
macd_fast_crossover,regime_flip,T1a,4,0.75,0.2921750000000001,1.1687000000000003
macd_fast_crossover,regime_flip,T1c,2,0.0,-10.5534,-21.1068
macd_fast_crossover,reverse_signal,T1ETF,1,0.0,-0.8693,-0.8693
macd_fast_crossover,reverse_signal,T1a,4,0.0,-1.027475,-4.1099
macd_fast_crossover,reverse_signal,T1c,2,0.0,-1.7197,-3.4394
macd_fast_crossover,smart_money_reversal,T1ETF,1,0.0,-0.8693,-0.8693
macd_fast_crossover,smart_money_reversal,T1a,4,0.0,-1.027475,-4.1099
macd_fast_crossover,smart_money_reversal,T1c,2,0.0,-1.7197,-3.4394
macd_fast_crossover,smc_mitigation_zone,T1ETF,1,0.0,-0.1953,-0.1953
macd_fast_crossover,smc_mitigation_zone,T1a,4,0.25,-0.25434999999999997,-1.0173999999999999
macd_fast_crossover,smc_mitigation_zone,T1c,2,0.5,-0.26589999999999997,-0.5317999999999999
macd_fast_crossover,time_stop_10d,T1ETF,1,0.0,-4.1412,-4.1412
macd_fast_crossover,time_stop_10d,T1a,4,0.25,-1.7208,-6.8832
macd_fast_crossover,time_stop_10d,T1c,2,0.0,-6.2941,-12.5882
macd_fast_crossover,time_stop_20d,T1ETF,1,0.0,-4.818,-4.818
macd_fast_crossover,time_stop_20d,T1a,4,0.75,0.2921750000000001,1.1687000000000003
macd_fast_crossover,time_stop_20d,T1c,2,0.0,-10.5534,-21.1068
macd_fast_crossover,trailing_10pct,T1ETF,1,0.0,-6.5003,-6.5003
macd_fast_crossover,trailing_10pct,T1a,4,0.75,0.269525,1.0781
macd_fast_crossover,trailing_10pct,T1c,2,0.0,-9.87915,-19.7583
macd_fast_crossover,trailing_15pct,T1ETF,1,0.0,-6.5003,-6.5003
macd_fast_crossover,trailing_15pct,T1a,4,0.75,0.269525,1.0781
macd_fast_crossover,trailing_15pct,T1c,2,0.0,-12.6425,-25.285
macd_fast_crossover,trailing_5pct,T1ETF,1,0.0,-5.0,-5.0
macd_fast_crossover,trailing_5pct,T1a,4,0.5,-1.115525,-4.4621
macd_fast_crossover,trailing_5pct,T1c,2,0.0,-4.8732,-9.7464
po3_bullish,atr_trail_1x,T1ETF,1,0.0,-0.8262,-0.8262
po3_bullish,atr_trail_1x,T1a,4,0.25,-0.28245,-1.1298
po3_bullish,atr_trail_1x,T1c,1,0.0,-4.3804,-4.3804
po3_bullish,atr_trail_2x,T1ETF,1,1.0,2.6828,2.6828
po3_bullish,atr_trail_2x,T1a,4,0.25,-0.8841749999999999,-3.5366999999999997
po3_bullish,atr_trail_2x,T1c,1,0.0,-2.0618,-2.0618
po3_bullish,atr_trail_mae_conditional,T1ETF,1,0.0,-0.8262,-0.8262
po3_bullish,atr_trail_mae_conditional,T1a,4,0.25,-0.28245,-1.1298
po3_bullish,atr_trail_mae_conditional,T1c,1,0.0,-4.3804,-4.3804
po3_bullish,atr_trail_vix_conditional,T1ETF,1,0.0,-0.6197,-0.6197
po3_bullish,atr_trail_vix_conditional,T1a,4,0.25,-0.213725,-0.8549
po3_bullish,atr_trail_vix_conditional,T1c,1,0.0,-1.9449,-1.9449
po3_bullish,break_even_at_1r,T1ETF,1,0.0,-0.8262,-0.8262
po3_bullish,break_even_at_1r,T1a,4,0.0,-0.361225,-1.4449
po3_bullish,break_even_at_1r,T1c,1,0.0,-4.3804,-4.3804
po3_bullish,breakeven_plus_trail,T1ETF,1,1.0,6.6309,6.6309
po3_bullish,breakeven_plus_trail,T1a,4,0.25,0.399475,1.5979
po3_bullish,breakeven_plus_trail,T1c,1,0.0,-2.0618,-2.0618
po3_bullish,chandelier_3x,T1ETF,1,1.0,4.4276,4.4276
po3_bullish,chandelier_3x,T1a,4,0.25,-1.85285,-7.4114
po3_bullish,chandelier_3x,T1c,1,0.0,-2.0618,-2.0618
po3_bullish,class_time_stop,T1ETF,1,1.0,5.9002,5.9002
po3_bullish,class_time_stop,T1a,4,0.75,1.2384,4.9536
po3_bullish,class_time_stop,T1c,1,0.0,-2.0618,-2.0618
po3_bullish,earnings_blackout,T1ETF,1,1.0,6.6309,6.6309
po3_bullish,earnings_blackout,T1a,4,1.0,2.493775,9.9751
po3_bullish,earnings_blackout,T1c,1,0.0,-2.0618,-2.0618
po3_bullish,fixed_4r_2r,T1ETF,1,1.0,3.6147,3.6147
po3_bullish,fixed_4r_2r,T1a,4,0.25,-2.05845,-8.2338
po3_bullish,fixed_4r_2r,T1c,1,0.0,-2.0618,-2.0618
po3_bullish,hybrid_50pct_target,T1ETF,1,1.0,4.5548,4.5548
po3_bullish,hybrid_50pct_target,T1a,4,1.0,1.823225,7.2929
po3_bullish,hybrid_50pct_target,T1c,1,0.0,-2.0618,-2.0618
po3_bullish,ma_exit_ema9,T1ETF,1,0.0,-0.4253,-0.4253
po3_bullish,ma_exit_ema9,T1a,4,0.25,-0.475925,-1.9037
po3_bullish,ma_exit_ema9,T1c,1,0.0,-2.0618,-2.0618
po3_bullish,mfe_lockin_trail,T1ETF,1,0.0,-0.8262,-0.8262
po3_bullish,mfe_lockin_trail,T1a,4,0.25,-0.28245,-1.1298
po3_bullish,mfe_lockin_trail,T1c,1,0.0,-4.3804,-4.3804
po3_bullish,multi_tier_partial,T1ETF,1,0.0,-0.8262,-0.8262
po3_bullish,multi_tier_partial,T1a,4,0.75,0.1512,0.6048
po3_bullish,multi_tier_partial,T1c,1,0.0,-4.3804,-4.3804
po3_bullish,next_pivot_target,T1ETF,1,1.0,1.3455,1.3455
po3_bullish,next_pivot_target,T1a,4,0.5,-1.7131500000000002,-6.852600000000001
po3_bullish,next_pivot_target,T1c,1,0.0,-2.0618,-2.0618
po3_bullish,r_multiple_2r,T1ETF,1,0.0,-0.8262,-0.8262
po3_bullish,r_multiple_2r,T1a,4,0.25,-0.5400999999999999,-2.1603999999999997
po3_bullish,r_multiple_2r,T1c,1,0.0,-4.3804,-4.3804
po3_bullish,r_multiple_3r,T1ETF,1,0.0,-0.8262,-0.8262
po3_bullish,r_multiple_3r,T1a,4,0.25,-0.19279999999999997,-0.7711999999999999
po3_bullish,r_multiple_3r,T1c,1,0.0,-4.3804,-4.3804
po3_bullish,regime_flip,T1ETF,1,1.0,2.5676,2.5676
po3_bullish,regime_flip,T1a,4,1.0,1.6485,6.594
po3_bullish,regime_flip,T1c,1,0.0,-2.0618,-2.0618
po3_bullish,reverse_signal,T1ETF,1,0.0,-0.8262,-0.8262
