strategy,regime,trades,win_rate,avg_pnl,total_roi
lead_lag_sector_rotation,bull,5,1.0,7.7285,38.6424
macd_fast_crossover,bull,7,0.4286,-4.1364,-28.9549
pairs_mean_reversion_short,bull,3,0.3333,-0.1987,-0.596
po3_bullish,bull,6,0.3333,-0.2812,-1.687
williams_r_oversold,bull,7,0.4286,3.1108,21.7758
xs_low_beta_long,bull,4,0.25,-2.4807,-9.9229
