strategy,regime,sector,verdict,gates_passed,n_trades,gate_1_sample_size_value,gate_1_sample_size_passed
pre_fomc_long_sleeve,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
pre_fomc_long_sleeve,bull,Financials,INSUFFICIENT_SAMPLE,0,1,1,False
pre_fomc_long_sleeve,bull,Industrials,INSUFFICIENT_SAMPLE,0,2,2,False
pre_fomc_long_sleeve,bull,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
pre_fomc_long_sleeve,bull,Materials,INSUFFICIENT_SAMPLE,0,1,1,False
smc_bos_continuation,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
smc_bos_continuation,bull,Health Care,INSUFFICIENT_SAMPLE,0,2,2,False
smc_bos_retest_entry,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
smc_choch_reversal,bull,Broad Market,INSUFFICIENT_SAMPLE,0,1,1,False
smc_choch_reversal,bull,Financials,INSUFFICIENT_SAMPLE,0,1,1,False
smc_choch_reversal,bull,Health Care,INSUFFICIENT_SAMPLE,0,2,2,False
smc_choch_reversal,bull,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False
smc_choch_reversal,bull,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
smc_discount_long,bull,Financials,INSUFFICIENT_SAMPLE,0,1,1,False
smc_fvg_retest_long,bull,Materials,INSUFFICIENT_SAMPLE,0,1,1,False
smc_inverse_fvg,bull,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False
smc_inverse_fvg,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
smc_inverse_fvg,bull,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False
smc_inverse_fvg,bull,Information Technology,INSUFFICIENT_SAMPLE,0,2,2,False
smc_order_block_bounce,bull,Financials,INSUFFICIENT_SAMPLE,0,2,2,False
smc_order_block_bounce,bull,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
smc_order_block_bounce,bull,Industrials,INSUFFICIENT_SAMPLE,0,2,2,False
smc_order_block_bounce,bull,Materials,INSUFFICIENT_SAMPLE,0,2,2,False
stochrsi_oversold,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
stochrsi_oversold,bull,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False
stochrsi_oversold,bull,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
supertrend_macd,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
supertrend_macd,bull,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False
supertrend_macd,bull,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
ultimate_oscillator,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,3,3,False
ultimate_oscillator,bull,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
ultimate_oscillator,bull,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False
ultimate_oscillator,bull,Materials,INSUFFICIENT_SAMPLE,0,1,1,False
williams_r_oversold,bull,Financials,INSUFFICIENT_SAMPLE,0,3,3,False
williams_r_oversold,bull,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
williams_r_oversold,bull,Materials,INSUFFICIENT_SAMPLE,0,2,2,False
williams_r_oversold,bull,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False
xs_low_beta_long,bull,Consumer Staples,INSUFFICIENT_SAMPLE,0,2,2,False
xs_low_beta_long,bull,Energy,INSUFFICIENT_SAMPLE,0,2,2,False
xs_low_beta_long,bull,Financials,INSUFFICIENT_SAMPLE,0,2,2,False
xs_low_beta_long,bull,Fixed Income,INSUFFICIENT_SAMPLE,0,1,1,False
xs_low_beta_long,bull,Health Care,INSUFFICIENT_SAMPLE,0,5,5,False
xs_low_beta_long,bull,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False
xs_low_beta_long,bull,Utilities,INSUFFICIENT_SAMPLE,0,2,2,False
xs_momentum_top_decile,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,3,3,False
xs_momentum_top_decile,bull,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False
xs_momentum_top_decile,bull,Information Technology,INSUFFICIENT_SAMPLE,0,3,3,False
xs_quality_top_quintile_long,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,11,11,False
xs_quality_top_quintile_long,bull,Health Care,INSUFFICIENT_SAMPLE,0,2,2,False
xs_quality_top_quintile_long,bull,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
xs_quality_top_quintile_long,bull,Unknown,INSUFFICIENT_SAMPLE,0,2,2,False
